,price,address,postcode,number_bedrooms
1,600000.0,"Stratton Drive, Barking, IG11",IG11,3.0
4,450000.0,"Fellowship Close, Dagenham, RM8",RM8,4.0
5,210000.0,"Whiting Avenue,
Barking,
IG11",IG11,1.0
7,325000.0,"Warrington Square, Dagenham, RM8 ",RM8,2.0
9,300000.0,"Mayswood Gardens, Dagenham, Essex, ., RM10",RM10,3.0
10,325000.0,"Hunters Square, Dagenham, RM10",RM10,2.0
12,400000.0,"Markyate Road, Dagenham, RM8",RM8,4.0
15,325000.0,"Blackborne Road, Dagenham, London, RM10",RM10,2.0
16,325000.0,"Lodge Avenue, Dagenham, RM8",RM8,3.0
17,365000.0,"Orchard Road , RM10",RM10,3.0
18,300000.0,"Rowdowns Road, Dagenham, RM9",RM9,3.0
19,335000.0,"Gay Gardens, Dagenham, Essex, ., RM10",RM10,3.0
21,400000.0,"Lincoln Avenue, Romford, RM7",RM7,3.0
23,400000.0,"Fuller Road, Dagenham, RM8 ",RM8,3.0
25,250000.0,"Blessing Way, Barking IG11",IG11,2.0
26,225000.0,"Waterside close, IG11",IG11,1.0
30,280000.0,"Saville Road, Chadwell Heath, RM6",RM6,2.0
32,375000.0,"Sheppey Road, Dagenham, RM9",RM9,3.0
35,260000.0,"Stern Close, Barking, IG11",IG11,2.0
36,775000.0,"Westrow Drive, Barking, IG11",IG11,6.0
38,375000.0,"Thorntons Farm Avenue, Rush Green, RM7",RM7,3.0
40,310000.0,"Wren Road,Dagenham, RM9",RM9,2.0
41,260000.0,"Bath House, 5 Arboretum Place, Barking, Essex, IG11 7PS",IG11,1.0
42,200000.0,"Stansgate Road, Dagenham, RM10",RM10,2.0
43,325000.0,"Porters Avenue, Dagenham, Essex, RM8",RM8,3.0
44,300000.0,"41 Academy Way, Dagenham, RM8",RM8,3.0
45,310000.0,"149-151 High Road, RM6",RM6,2.0
46,215000.0,"Linsdell Road, Barking, IG11 7LJ",IG11,1.0
48,325000.0,"Becontree Avenue, Dagenham, RM8",RM8,2.0
50,260000.0,"22-30 Longbridge Road, Barking, Essex, IG11 ",IG11,1.0
51,360000.0,"Movers Lane, Barking, Essex, United Kingdom, IG11",IG11,3.0
55,425000.0,"Perth Road, Barking, IG11",IG11,4.0
58,400000.0,"Harts Lane, Barking, IG11",IG11,4.0
62,400000.0,"Rose Glen, Romford, RM7",RM7,3.0
67,270000.0,"Abbey Road, BARKING, IG11",IG11,2.0
69,650000.0,"Hulse Avenue, Barking, IG11",IG11,5.0
72,200000.0,"Goresbrook Road, Dagenham, RM9",RM9,2.0
78,340000.0,"Romsey Road, Dagenham, Essex, ., RM9",RM9,3.0
79,250000.0,"Eagle Avenue, Romford, London, RM6",RM6,2.0
81,330000.0,"Langhorne Road, Dagenham, Essex, ., RM10",RM10,3.0
82,315000.0,"Kingsmill Road, Dagenham, RM9",RM9,2.0
84,335000.0,"Hunters Square, Dagenham, RM10",RM10,2.0
87,375000.0,"Baron Road, Dagenham, RM8",RM8,3.0
89,325000.0,"Barnmead Road, Dagenham, RM9",RM9,2.0
91,375000.0,"Strood Avenue, Romford, London, RM7",RM7,3.0
92,325000.0,"Barnmead Road, Dagenham, RM9",RM9,2.0
94,425000.0,"Middleton Grove, Barking IG11",IG11,3.0
95,450000.0,"Foxglove Road, Rush Green, Romford, Essex, RM7",RM7,3.0
96,440000.0,"Valentines Way, Rush Green, Romford, Havering, RM7",RM7,4.0
97,400000.0,"Kenneth Road, Chadwell Heath, RM6 ",RM6,3.0
98,335000.0,"Bragg Close, Dagenham, RM8",RM8,3.0
99,325000.0,"Ernest Websdale House, 1 Harlequin Close, Barking, IG11",IG11,3.0
101,400000.0,"Durell Road, Dagenham, RM9",RM9,3.0
103,650000.0,"Upney Lane, Barking, IG11",IG11,4.0
105,450000.0,"Burlington Gardens, Romford, RM6",RM6,3.0
106,200000.0,"Chadview Court, Chadwell Heath Lane, Chadwell Heath, RM6",RM6,1.0
109,500000.0,"Pelham Avenue, Barking, IG11",IG11,3.0
112,245000.0,"Longbridge Road, Barking, IG11",IG11,2.0
113,375000.0,"Grafton Road, Dagenham, London, RM8",RM8,3.0
114,300000.0,"Central Park Avenue, Dagenham, RM10",RM10,2.0
115,210000.0,"149-151 High Road, Romford, RM6 ",RM6,1.0
116,160000.0,"Beam Avenue, Dagenham, RM10",RM10,1.0
117,390000.0,"Edgehill Gardens, Dagenham, Essex, RM10",RM10,3.0
118,475000.0,"Salisbury Avenue, Barking, IG11",IG11,3.0
119,300000.0,"Grafton Road, Dagenham, Essex, RM8",RM8,2.0
121,300000.0,"Neesham Road, Dagenham, RM8",RM8,2.0
123,500000.0,"The Drive, Barking, Essex, IG11 ",IG11,3.0
125,260000.0,"Stern Close, Barking, IG11",IG11,2.0
128,325000.0,"Eastbrook Drive, Rush Green, RM7",RM7,3.0
129,220000.0,"Blanchard Apartments, Ager Avenue, Dagenham, London, RM8",RM8,1.0
130,170000.0,"Honey Close, Dagenham, RM10",RM10,1.0
131,210000.0,"New Enterprise House, 149-151 High Road, Chadwell Heath, RM6",RM6,1.0
134,650000.0,"Whalebone Lane North, Chadwell Heath, Romford, RM6",RM6,3.0
135,435000.0,Felton Road IG11,IG11,3.0
136,250000.0,"Rams Grove, Romfrod,  RM6",RM6,2.0
139,230000.0,"Marine Drive, Barking, IG11",IG11,2.0
140,385000.0,"Lake Gardens, Dagenham, Essex, RM10",RM10,4.0
141,400000.0,"Eric Road, Chadwell Heath, RM6",RM6,3.0
144,400000.0,"Fanshawe Avenue, Barking, IG11",IG11,3.0
145,195000.0,"Aidan Close, Dagenham, London, RM8",RM8,1.0
146,325000.0,"Stamford Gardens, Dagenham, RM9",RM9,3.0
150,175000.0,"Tenby Close, Chadwell Heath, RM6",RM6,1.0
152,300000.0,"Wood Lane, Dagenham, RM9",RM9,2.0
154,375000.0,"Cambeys Road, Dagenham, London, RM10",RM10,3.0
155,240000.0,"Thatches Grove, Romford, RM6",RM6,2.0
156,390000.0,"The Gables, Barking, Essex, IG11",IG11,3.0
157,550000.0,"Hulse Avenue, Barking, IG11",IG11,4.0
160,325000.0,"Valence Wood Road, Dagenham, London, RM8",RM8,3.0
164,315000.0,"Porters Avenue, Dagenham, RM8",RM8,3.0
165,450000.0,"Maxey Road, Dagenham, RM9",RM9,4.0
166,300000.0,"Broad Street, Dagenham, RM10",RM10,2.0
169,210000.0,"Waterman Court, 118 Axe Street, Barking, IG11",IG11,1.0
170,450000.0,"The Gables, Tanner Street, Barking, IG11",IG11,4.0
171,220000.0,"The Odeon, 22-30 Longbridge Road, Barking, IG11",IG11,1.0
172,350000.0,"Western Avenue, Dagenham, RM10",RM10,3.0
173,290000.0,"Saville Road, RM6",RM6,2.0
174,599995.0,"Whalebone Lane North, Chadwell Heath, RM6 6RJ",RM6,4.0
176,315000.0,"3 Sackett Road, Barking, IG11",IG11,2.0
177,112000.0,"Loxford Road, Barking, Essex, IG11",IG11,2.0
178,210000.0,"Aidan Close, Dagenham, London, RM8",RM8,1.0
180,325000.0,"Hitherfield Road, Dagenham, RM8",RM8,2.0
181,240000.0,"Eastern Avenue West, Romford, RM6",RM6,2.0
183,350000.0,"Grafton Road, Dagenham, London, RM8",RM8,3.0
184,230000.0,"Lupin Close, Rush Green, Romford, RM7",RM7,2.0
185,500000.0,"Suffolk Road, Barking, IG11",IG11,4.0
186,439995.0,"Suffolk Road, Barking, Essex, IG11 ",IG11,3.0
188,400000.0,"Stamford Road, Dagenham, Essex, ., RM9",RM9,3.0
189,285000.0,"Dagenham , RM8",RM8,2.0
191,499500.0,"Mill Lane, Chadwell Heath, Romford, RM6",RM6,5.0
192,350000.0,"Frizlands Lane, Dagenham, London, RM10",RM10,3.0
193,380000.0,"Cannington Road, Dagenham, Essex, RM9",RM9,4.0
196,310000.0,"Grafton Gardens, Dagenham, RM8",RM8,2.0
198,450000.0,"Strood Avenue, Romford, RM7",RM7,4.0
