,price,address,postcode,number_bedrooms
0,600000.0,"Hale Grove Gardens, Mill Hill, London, NW7 ",NW7,3.0
1,455000.0,"Golders Green Crescent, London, NW11",NW11,1.0
2,695000.0,"Tiverton Way, Mill Hill, London, NW7",NW7,4.0
4,679950.0,"Park Road, Hendon, NW4",NW4,3.0
5,500000.0,"Grasvenor Avenue, Barnet, Hertfordshire, EN5",EN5,3.0
6,350000.0,"High Barnet,Hertfordshire,EN5",EN5,1.0
12,375000.0,"Crocus Field, Barnet, Hertfordshire, United Kingdom, EN5",EN5,3.0
13,850000.0,"Barnet,London,EN5",EN5,3.0
14,390000.0,"Temple Fortune,London,NW11",NW11,1.0
15,600000.0,"Springcroft Avenue, East Finchley, N2",N2,2.0
16,1100000.0,"Lichfield Grove, London, London, N3",N3,3.0
17,249995.0,"Warwick Road, Barnet, North London, EN5",EN5,1.0
18,550000.0,"High Barnet,Hertfordshire,EN5",EN5,2.0
19,700000.0,"Madoc Close, London, NW2 ",NW2,2.0
22,600000.0,"Brookfield Crescent, Mill Hill, London, NW7 ",NW7,3.0
23,179995.0,"Leicester Road, Barnet, North London, EN5",EN5,0.0
35,915000.0,"Coleridge Walk, Hampstead Garden Suburb, NW11",NW11,3.0
36,400000.0,"Pendragon Walk, Kingsbury, London, Uk, NW9",NW9,2.0
38,550000.0,"New Southgate,Royal Drive London N11,N11",N11,2.0
40,450000.0,"Rookery Close, London, NW9",NW9,3.0
44,930000.0,"Derwent Crescent, Whetstone, London, N20 ",N20,4.0
46,1150000.0,"Leicester Road, East Finchley, N2",N2,4.0
48,1250000.0,"Maurice Browne Avenue, Mill Hill, London, NW7",NW7,4.0
50,385000.0,"399, London, NW9",NW9,1.0
51,365000.0,"Friern Park, London, N12",N12,2.0
59,700000.0,"Snowberry Close, High Barnet, Hertfordshire, EN5",EN5,4.0
60,395000.0,"Swannell Way, Barnet, London, NW2",NW2,1.0
61,400000.0,"Barnet,EN5,EN5",EN5,2.0
64,625000.0,"Church Hill Road, East Barnet, Barnet, EN4",EN4,4.0
65,275000.0,"Barford Close, Hendon, London, NW4",NW4,1.0
67,795000.0,"Mansfield Avenue, East Barnet, EN4",EN4,4.0
