,price,address,postcode,number_bedrooms
1,335000.0,"Ramillies Road, Sidcup, DA15",DA15,3.0
2,500000.0,"Cavendish Avenue, South Welling, Kent, DA16",DA16,3.0
3,325000.0,"Vanessa Close, Belvedere, Kent, DA17",DA17,2.0
6,200000.0,"Old College Court, Upper Holly Hill Road, Belvedere, Kent, DA17",DA17,2.0
7,350000.0,"Horsa Road, Northumberland Heath, Kent, DA8",DA8,3.0
9,435000.0,"Somerset Avenue, South Welling, Kent, DA16",DA16,4.0
11,475000.0,"North Cray Road, Sidcup, DA14",DA14,2.0
12,325000.0,"Ramillies Road, Sidcup, Kent, DA15",DA15,2.0
13,360000.0,"Lyndon Avenue, Sidcup, Kent, DA15",DA15,3.0
14,350000.0,"Lyndon Avenue, Sidcup, Kent, DA15",DA15,2.0
15,205000.0,"Station Road, Sidcup, DA15",DA15,0.0
16,465000.0,"Woodlands Avenue, Sidcup, DA15",DA15,3.0
17,550000.0,"Brampton Road, Bexleyheath, Kent, DA7",DA7,4.0
18,450000.0,"Ridgeway West, Sidcup, DA15",DA15,3.0
20,300000.0,"Crescent Road, Sidcup, DA15 7HN",DA15,2.0
21,270000.0,"Hallam Court, Hatherley Road, Sidcup, DA14 4FF",DA14,1.0
22,250000.0,Rainbow Road Erith DA8,DA8,2.0
23,625000.0,"Beverley Road, Bexleyheath, DA7",DA7,4.0
24,550000.0,Maxwell Road Welling DA16,DA16,5.0
25,245000.0,"Greenhaven Drive, London, SE28",SE28,2.0
27,250000.0,"Chislehurst Road, Sidcup, DA14 6DP",DA14,1.0
28,215000.0,"Warren Road, Bexleyheath, DA6",DA6,1.0
29,600000.0,Sycamore Avenue Sidcup DA15,DA15,4.0
31,650000.0,"Oaklands Close, Bexleyheath, Kent, DA6",DA6,5.0
32,250000.0,"Callender Road, Erith, DA8",DA8,2.0
33,260000.0,"49 Kingsley Court, 21 Pincott Road, Bexleyheath DA6 7LA",DA6,2.0
35,350000.0,"Overton Road, Abbey Wood, London, SE2 9SD",SE2,2.0
39,400000.0,"Clinton Avenue, South Welling, Kent, DA16",DA16,2.0
40,400000.0,"Hook Lane, South Welling, Kent, DA16",DA16,2.0
41,375000.0,Glenmore Road Welling DA16,DA16,2.0
42,695000.0,"Upton Road, Bexleyheath, DA6",DA6,4.0
43,425000.0,"Sutherland Avenue, South Welling, Kent, DA16",DA16,3.0
44,469950.0,Glengall Road Bexleyheath DA7,DA7,4.0
45,550000.0,"Days Lane, Sidcup, DA15",DA15,3.0
46,75000.0,"4 Appledore Avenue, Bexleyheath, DA7",DA7,3.0
47,300000.0,"Millbrook Avenue, South Welling, Kent, DA16",DA16,2.0
48,390000.0,"Ashcroft Avenue, Sidcup, DA15",DA15,3.0
49,800000.0,"Melville Road, Sidcup, DA14",DA14,5.0
50,500000.0,"Erith Road, Bexleyheath, Kent, DA7",DA7,4.0
53,300000.0,"Edwards Road, Belvedere, DA17",DA17,2.0
54,325000.0,Poppy Close Belvedere DA17,DA17,2.0
56,579995.0,"Bellegrove Road, Welling, Kent, DA16",DA16,4.0
57,365000.0,Northumberland Park Erith DA8,DA8,3.0
58,335000.0,"Crofton Avenue, Bexley, Kent, DA5",DA5,2.0
60,625000.0,"Falconwood Avenue, Welling, DA16",DA16,4.0
61,250000.0,"Sapphire Court, Rainbow Road, Slade Green, Kent, DA8",DA8,2.0
62,320000.0,"Brantwood Avenue, Northumberland Heath, Kent, DA8",DA8,3.0
63,269500.0,"Emblin Court, Sidcup, Kent, DA14",DA14,2.0
64,334995.0,"Radnor Avenue, South Welling, Kent, DA16",DA16,3.0
65,500000.0,"Erith Road, Bexleyheath, Kent, DA7",DA7,4.0
66,485000.0,"Burns Avenue, Sidcup, Kent, DA15",DA15,3.0
67,525000.0,"Burnt Oak Lane, Sidcup, Kent, DA15",DA15,3.0
68,435000.0,"Calvert Close, Belvedere, Kent, DA17",DA17,3.0
69,330000.0,"Sydney Road, London, SE2",SE2,2.0
70,425000.0,"Crofton Avenue, Bexley, Kent, DA5",DA5,3.0
71,290000.0,"Ducketts Road, Crayford, DA1",DA1,3.0
72,500000.0,"Brampton Road, Bexleyheath, DA7",DA7,3.0
74,305000.0,"Tunstock Way, DA17 * ONLY 0.8 MILE FROM CROSSRAIL AT ABBEY WOOD.",DA17,2.0
76,290000.0,Marwood Close Welling DA16,DA16,2.0
77,375000.0,"Ruskin Road, Belvedere, Kent, DA17",DA17,3.0
78,210000.0,"Gardner Court, 41 Crayford Way, Dartford, Kent, DA1",DA1,1.0
79,140000.0,"Upper Abbey Road, Belvedere, Kent, DA17",DA17,1.0
80,330000.0,Manor Road Sidcup DA15,DA15,3.0
81,325000.0,"Stanmore Road, Belvedere, Kent, DA17",DA17,3.0
84,349995.0,"Edwards Road, Belvedere, Kent, DA17",DA17,3.0
86,375000.0,"Wharfside Close, Erith, Kent, DA8 1QR",DA8,4.0
88,425000.0,"Totnes Road, Welling, Kent, DA16",DA16,3.0
89,170000.0,"St Marys Court, 7 New Road, Abbey Wood, London, SE2 0QH",SE2,1.0
90,325000.0,"Crescent Road, Sidcup, DA15",DA15,3.0
91,280000.0,"Halifield Drive, Belvedere, Kent, DA17 5RS",DA17,2.0
92,330000.0,"Sydney Road, Abbey Wood, SE2",SE2,2.0
93,400000.0,"Haddon Grove, Sidcup, DA15 8NA",DA15,3.0
94,350000.0,Lion Road Bexleyheath DA6,DA6,2.0
95,250000.0,"St Johns Road , Erith, DA8 1PE",DA8,2.0
96,360000.0,"Bexley High Street, Bexley, DA5",DA5,2.0
