,price,address,postcode,number_bedrooms
3,500000.0,"Fulwood Avenue,Wembley,HA0",HA0,3.0
4,650000.0,"Donaldson road, Queen's Park, London, NW6",NW6,2.0
8,325000.0,"Sunningdale Gardens, Kingsbury, NW9",NW9,2.0
9,300000.0,"Craven Park, London, NW10 9AZ",NW10,1.0
10,695000.0,"Brondesbury Villas, London, NW6",NW6,2.0
11,290000.0,"John Perrin Place, Harrow, Middlesex, HA3",HA3,1.0
16,344000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
17,335000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
18,347000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
19,419000.0,"Honeypot Lane,
London,
NW9",NW9,2.0
20,349000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
21,523000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,2.0
22,372000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,1.0
23,472000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,2.0
24,571000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,2.0
25,132000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
26,370000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,1.0
27,416000.0,"Lakeside Drive, 
Park Royal, 
London 
NW10 7HQ",NW10,1.0
28,600000.0,"Crummock Gardens, Kingsbury, NW9",NW9,3.0
34,675000.0,"Keswick Gardens, Wembley, HA9",HA9,3.0
35,645000.0,"Highfield Avenue, Kingsbury, NW9",NW9,4.0
36,700000.0,"Kenton Road, Greater London, HA3",HA3,5.0
44,340000.0,"Empire Court, North End Road, Wembley Park, HA9",HA9,2.0
48,765000.0,"Huddlestone Road, London, NW2",NW2,3.0
52,430000.0,"Brondesbury Road, London, NW6",NW6,1.0
53,799950.0,"Brondesbury Road, London, NW6",NW6,2.0
54,525000.0,"Charterhouse Avenue, Wembley, HA0",HA0,3.0
55,450000.0,"Yates Court, 228 Willesden Lane, London, NW2",NW2,2.0
56,475000.0,"Pember Road, London, NW10",NW10,1.0
