,price,address,postcode,number_bedrooms
2,350000.0,"Boswell Close, Orpington, Kent, BR5",BR5,3.0
5,390000.0,"Marlow Road, London, SE20 7UZ",SE20,3.0
8,285000.0,"High Street, Orpington, BR6",BR6,1.0
9,850000.0,"Upper Elmers End Road, Beckenham, BR3 ",BR3,3.0
11,530000.0,"Beaconsfield Road, London, SE9",SE9,4.0
19,300000.0,"5 Worcester Close , Anerley , London, SE20",SE20,1.0
20,335000.0,"Oaklands, 15 The Avenue, Beckenham, BR3 ",BR3,2.0
22,440000.0,"Station Approach, Orpington, BR6 0ST",BR6,3.0
24,700000.0,"Heath Rise, Bromley, BR2",BR2,4.0
26,185000.0,"Byron House, Porchester Mead, Beckenham, Kent, BR3",BR3,0.0
28,375000.0,"William Booth Road, Anerley, SE20",SE20,3.0
32,750000.0,"Cheyne Close, Bromley, BR2",BR2,4.0
33,500000.0,"Aylesford Avenue, Beckenham, BR3",BR3,3.0
34,300000.0,"Maple Road, Crystal Palace, London, SE20",SE20,2.0
35,625000.0,"Crossways Road, Beckenham, BR3",BR3,3.0
36,750000.0,"Ashfield Close, Beckenham, KENT, BR3",BR3,4.0
37,375000.0,"Madeira Avenue, Shortlands, Bromley, BR1",BR1,2.0
40,350000.0,"Cattistock Road, Mottingham, SE9",SE9,2.0
44,425000.0,"Albemarle Road, Beckenham, BR3",BR3,2.0
46,175000.0,"Keedonwood Road, Bromley, BR1",BR1,3.0
49,299000.0,"Buttermere Road, Orpington, Kent, BR5",BR5,2.0
51,425000.0,Clayhill Crescent London SE9,SE9,3.0
56,395000.0,"Marlow Road, Anerley , London, SE20",SE20,2.0
58,485000.0,"Eynsford Close, Petts Wood, BR5",BR5,2.0
60,550000.0,"St. Johns Road, London, SE20",SE20,2.0
63,699000.0,"Masefield View, Orpington, Kent, BR6 8PH",BR6,5.0
65,1450000.0,"Chislehurst Road, Petts Wood, Orpington, BR5",BR5,5.0
66,250000.0,Chinbrook Road Grove Park SE12,SE12,2.0
67,350000.0,"Berwick House, Orpington, Kent, BR6",BR6,1.0
68,350000.0,"Berwick House, Orpington, Kent, BR6",BR6,1.0
70,400000.0,"Shirley Crescent, Beckenham, BR3",BR3,2.0
75,425000.0,"Cowden Road, Orpington, BR6 0TP",BR6,3.0
76,700000.0,"Crockenhill Road, Orpington, Kent, BR5 4ER",BR5,4.0
80,610000.0,"The Glade, Bickley, Bromley, BR1",BR1,3.0
81,232500.0,"William Petty Way, Orpington, BR5",BR5,2.0
89,800000.0,"Priory Avenue, Petts Wood, Orpington, BR5",BR5,3.0
90,1350000.0,"Vale Road, Bromley, BR1",BR1,5.0
92,400000.0,"Highlands Road, Orpington, BR5",BR5,3.0
93,360000.0,"Ryarsh Crescent, Orpington, BR6",BR6,2.0
94,595000.0,"Seabrook Drive, West Wickham, BR4",BR4,4.0
98,545000.0,Heathfield Road Keston BR2,BR2,3.0
103,1350000.0,Vale Road Bromley BR1,BR1,5.0
106,260000.0,"Eden Park Avenue, Beckenham, BR3",BR3,1.0
112,500000.0,"Greenway, Chislehurst, BR7",BR7,3.0
122,600000.0,"Lytchet Road, Bromley, BR1",BR1,4.0
124,675000.0,"Anerley Park, Anerley SE20",SE20,4.0
125,425000.0,"Cowden Road, Orpington, BR6 0TP",BR6,3.0
130,390000.0,"Kedleston Drive, Poverest, Kent, BR5",BR5,3.0
139,550000.0,"Norsted Lane, Pratts Bottom, Orpington, Kent, BR6 7PQ",BR6,3.0
141,400000.0,"Helegan Close, Orpington, BR6",BR6,2.0
142,320000.0,"Weston Grove, Bromley, BR1",BR1,3.0
143,350000.0,"Blandford Road, Beckenham, Kent, ., BR3",BR3,2.0
144,285000.0,"Beckenham Lane, Bromley, BR2",BR2,1.0
146,340000.0,"Waratah Drive, Chislehurst, BR7 5FP",BR7,2.0
148,525000.0,"Victor Road, Penge, London, SE20",SE20,2.0
149,82500.0,"William Nash Court, Brantwood Way, Orpington, Kent, BR5",BR5,1.0
150,750000.0,"Cheyne Close, Bromley, BR2",BR2,4.0
153,420000.0,"Field Close, Bromley, BR1 2SF",BR1,3.0
155,450000.0,"Court Road, Orpington, BR6",BR6,4.0
157,385000.0,"Wendover Way, Orpington, BR6",BR6,3.0
158,300000.0,"Ashleigh Court, 81 Lawrie Park Road, SE26",SE26,1.0
161,280000.0,"Acer Road, Biggin Hill, Westerham, Kent, TN16",TN16,2.0
166,399995.0,"Belvedere Road, London, SE19",SE19,1.0
167,450000.0,"Anerley Road, Penge, SE20",SE20,3.0
168,725000.0,"Homemead Road, Bromley, BR2",BR2,4.0
170,485000.0,"Oregon Square, Orpington, BR6",BR6,2.0
176,375000.0,"Sanderson Square, Bromley, BR1 2FT",BR1,2.0
178,205000.0,"Highlands Road, Orpington, Kent, BR5 4JP",BR5,1.0
179,400000.0,"2 Blackbrook Lane, Bromley, BR2",BR2,2.0
182,550000.0,"Dorset Road, Beckenham, BR3",BR3,3.0
183,360000.0,"Waratah Drive, Chislehurst, BR7 5FS",BR7,2.0
184,700000.0,"Penhale Close, Orpington, BR6 9XS",BR6,4.0
185,385000.0,"Goodmead Road, Orpington, Kent, BR6 0HX",BR6,2.0
