,price,address,postcode,number_bedrooms
0,799000.0,"Centric Close,
Oval Road,
Camden, London,
NW1 7EP",NW1,2.0
1,1225000.0,"Pulse Apartments, Lymington Road,West Hampstead,NW6",NW6,3.0
2,465000.0,"Loveridge Road, London, NW6",NW6,1.0
3,325000.0,"Raglan Street, London, NW5",NW5,1.0
4,335000.0,"Rowley Way, South Hampstead, NW8 * CASH BUYERS *",NW8,1.0
5,450000.0,"Fortess Road, London, London, NW5",NW5,1.0
6,1200000.0,"Bertram Street, London, N19",N19,3.0
8,1295000.0,"Arkwright Road, Hampstead, NW3",NW3,3.0
9,400000.0,"Marquis Road, London, NW1",NW1,1.0
10,900000.0,"Regents Park Road, Primrose Hill, London, NW1",NW1,2.0
12,650000.0,"Centric Close,
Oval Road,
Camden, London,
NW1 7EP",NW1,1.0
13,880000.0,"Centric Close,
Oval Road,
Camden, London,
NW1 7EP",NW1,2.0
14,600000.0,"Centric Close,
Oval Road,
Camden, London,
NW1 7EP",NW1,1.0
15,1595000.0,"Fitzroy Road, Primrose Hill, London, NW1",NW1,4.0
16,685000.0,"Oval Road, London, NW1",NW1,1.0
17,1795000.0,"55 Holmes Road, Kentish Town, London, NW5",NW5,3.0
18,1280000.0,"Huntley Street, Bloomsbury, London, WC1E",WC1E,2.0
19,945000.0,"Upper Park Road, London, NW3",NW3,2.0
20,400000.0,"Embassy House, West Hampstead, London, NW6",NW6,1.0
21,550000.0,"College Place, London, NW1",NW1,2.0
22,650000.0,"Howitt Close, NW3, Belsize Park, London, NW3",NW3,2.0
23,1600000.0,"St.Pancras Chambers, London, NW1",NW1,0.0
24,1625000.0,"Westfield, 15 Kidderpore Avenue, Hampstead, London, NW3",NW3,3.0
25,1130000.0,"25 Parker Street,
London,
WC2B",WC2B,1.0
27,3750000.0,"Mecklenburgh Square, London WC1N",WC1N,3.0
28,720000.0,"Maygrove Road, West Hampstead, London, NW6 ",NW6,3.0
29,875000.0,"Fortess Grove, Kentish Town, London, NW5",NW5,2.0
30,445000.0,"Abbey Road, London NW6",NW6,1.0
31,1695000.0,"The Old Dairy, Wakefield Street, Bloomsbury, London, WC1N",WC1N,2.0
32,1475000.0,"The Old Dairy, Wakefield Street, Bloomsbury, London, WC1N",WC1N,2.0
33,620000.0,"Coptic Street, London, WC1A",WC1A,1.0
34,4450000.0,"55 Holmes Road, Kentish Town, London, NW5",NW5,4.0
35,1990000.0,"55 Holmes Road, Kentish Town, London, NW5",NW5,3.0
36,450000.0,"Adelaide Road, London, NW3",NW3,2.0
37,600000.0,"Marlborough House, Finchley Road,Hampstead,NW3",NW3,2.0
39,975000.0,"Englands Lane, London, NW3",NW3,2.0
42,1200000.0,"Avenue Road,St Johns Wood,NW8",NW8,3.0
44,375000.0,"Charlton Court, 75 Brecknock Road, London, N7",N7,1.0
45,1007500.0,"Rowland Hill Street,
Hampstead,
London,
NW3",NW3,1.0
46,735000.0,"Fordwych Road, London, NW2",NW2,2.0
48,450000.0,"Reachview Close, London, NW1 0TY",NW1,1.0
51,780000.0,"Ampton Street, Kings Cross, WC1X",WC1X,2.0
52,429950.0,"Weedington Road, Kentish Town NW5",NW5,2.0
53,280000.0,"Heath Street,Hampstead,NW3",NW3,0.0
55,300000.0,"Russell Square, Bloomsbury, London, WC1H",WC1H,0.0
56,1600000.0,"Macklin Street, Covent Garden, London, WC2B",WC2B,2.0
58,2700000.0,"Maresfield Gardens, Hampstead, London, NW3 ",NW3,3.0
59,700000.0,Brock Street Regent'S Place NW1,NW1,1.0
60,900000.0,"Netherhall Gardens, London, NW3",NW3,2.0
61,675000.0,"Eton Place, Eton College Road, London, NW3",NW3,2.0
62,1795000.0,"Queens Crescent, London, NW5",NW5,4.0
64,1800000.0,"Leather Lane, London, EC1N",EC1N,4.0
65,1075000.0,"Ridgmount Gardens, Bloomsbury, London, WC1E",WC1E,2.0
66,725000.0,"Chalton Street, Camden, London, NW1",NW1,2.0
67,480000.0,"Harben Road, Swiss Cottage, London, NW6",NW6,2.0
68,1395000.0,"Boydell Court, St. Johns Wood Park, London, NW8",NW8,3.0
69,1180000.0,"Clarence Way, London, NW1",NW1,2.0
70,520000.0,"Adelaide Road, London, NW3",NW3,4.0
74,2250000.0,"King Henrys Road, Primrose Hill, London, NW3",NW3,3.0
75,925000.0,"Park Place, London, NW6",NW6,3.0
77,13950000.0,"Frognal, London, NW3",NW3,6.0
78,1250000.0,"Hillview, 2-4 Primrose Hill Road, London, NW3",NW3,2.0
79,395000.0,"Albany House, 41 Judd Street, London, WC1H",WC1H,0.0
82,765000.0,"Warner Street, Clerkenwell, EC1R",EC1R,2.0
83,3600000.0,"PILGRIM'S LANE, HAMPSTEAD VILLAGE, NW3",NW3,5.0
84,1225000.0,"Rochester Place, London, NW1",NW1,3.0
87,970000.0,"Minster Road, West Hampstead Borders, NW2",NW2,4.0
