,price,address,postcode,number_bedrooms
0,1595000.0,"Pinks Mews, The Dyers Building, Holborn, EC1N",EC1N,2.0
1,1995000.0,"Pinks Mews, The Dyers Building, Holborn, EC1N",EC1N,0.0
2,1595000.0,"Pinks Mews, The Dyers Building, Holborn, EC1N",EC1N,2.0
3,825000.0,"Wexner Building, Spitalfields, London, E1",E1,2.0
6,1850000.0,"Shakespeare Tower, Barbican, London, EC2Y",EC2Y,3.0
7,445000.0,"Hosier Lane, London, EC1A",EC1A,0.0
8,1195000.0,"Trinity Square, London, EC3N",EC3N,2.0
9,615000.0,"Red Lion Court, Holborn, London EC4A",EC4A,1.0
10,355000.0,"Cullum Welch House, EC1Y",EC1Y,0.0
12,850000.0,"28 Bartholomew Close, London, EC1A",EC1A,2.0
13,1995000.0,"E3, Pinks Mews, 1-6 Dyer's Buildings, Holborn, London, EC1N",E3,2.0
14,900000.0,Lovat Lane London EC3R,EC3R,2.0
15,1376000.0,"Worship Street, EC2A",EC2A,2.0
16,500000.0,"Petticoat Square, City, London, E1",E1,2.0
17,899995.0,"Andrewes House, Barbican, London, EC2Y",EC2Y,1.0
18,740000.0,"The Heron,London, EC2Y",EC2Y,1.0
19,405000.0,"Charterhouse Square, EC1M",EC1M,0.0
20,735000.0,"Ben Jonson House, Barbican EC2Y",EC2Y,1.0
21,565000.0,Ben Jonson House Barbican EC2,EC2,1.0
23,800000.0,"Mitre street, City, London, EC3A",EC3A,2.0
25,500000.0,"Petticoat Square, City, London, E1",E1,2.0
26,900000.0,"Defoe House, Barbican, London, EC2Y",EC2Y,2.0
29,1660000.0,"Barts Square, 56 West Smithfield, Smithfield Market, City Of London, EC1A",EC1A,2.0
30,825000.0,"Furnival Street, London, EC4A",EC4A,1.0
31,875000.0,"Ludgate Square, City, London, EC4M",EC4M,2.0
32,525000.0,"Flat 101, 32 Cock Lane, London, EC1A 9BW",EC1A,1.0
33,5750000.0,"Principal Tower, Worship Street, EC2A",EC2A,3.0
34,5750000.0,"Principal Tower, Worship Street, EC2A",EC2A,3.0
35,1376000.0,"Worship Street, EC2A",EC2A,2.0
36,1950000.0,Shakespeare Tower Barbican EC2,EC2,3.0
37,675000.0,Andrewes House Barbican EC2,EC2,1.0
38,950000.0,"Victoria House, 25 Tudor Street, London, EC4Y",EC4Y,2.0
40,570000.0,"Bishopsgate, City of London, London, EC2M",EC2M,1.0
41,825000.0,"St Dunstans House, 133 137 Fetter Lane, London, EC4A",EC4A,1.0
42,995000.0,"Mountjoy House, Barbican, London, EC2Y",EC2Y,1.0
43,560000.0,"The Heron,5 Moor Lane, London, EC2Y",EC2Y,0.0
44,899950.0,"Andrewes House, Barbican, London, EC2Y",EC2Y,2.0
45,995000.0,"Hosier Lane, EC1A",EC1A,2.0
46,520000.0,"Breton House, Barbican, London, EC2Y",EC2Y,0.0
47,615000.0,"Little Britain, London, EC1A",EC1A,1.0
48,550000.0,"Octave House, 4 Botolph Alley, London, EC3R",EC3R,1.0
49,850000.0,"Dominion House, Bartholomew Close, EC1",EC1,1.0
50,679950.0,"Middle Street,
London,
EC1A",EC1A,2.0
51,2500000.0,"Canonbury Square, London, N1",N1,5.0
52,795000.0,"Vicary House, 24 Bartholomew Close, London, EC1A",EC1A,1.0
54,665000.0,"Breams Buildings, City, London, EC4A",EC4A,1.0
55,720000.0,"Ben Jonson House, Barbican, London, EC2Y",EC2Y,1.0
56,800000.0,"Lombard Lane, Fleet Street, Blackfriars, London, EC4Y",EC4Y,2.0
58,1995000.0,"Pinks Mews, Holborn, EC1N",EC1N,2.0
60,625000.0,"Bride Court, The City Of London, EC4Y",EC4Y,1.0
61,600000.0,"Red Lion Court, London, EC4A",EC4A,1.0
62,395000.0,"Florin Court, EC1M",EC1M,0.0
63,950000.0,"St. Dunstans House, 133-137 Fetter Lane, London, EC4A",EC4A,1.0
67,749999.0,"Creechurch Lane, EC3A, London",EC3A,2.0
68,1299999.0,"Roman House, Barbican, London, EC2Y",EC2Y,2.0
70,650000.0,"The Heron, Moor Lane, City Of London, EC2Y",EC2Y,0.0
71,660000.0,"Thomas More House, Barbican, London, EC2Y",EC2Y,1.0
72,8800000.0,"Aldersgate Street, London, EC1A",EC1A,3.0
74,700000.0,"Frobisher Crescent, Barbican, London, EC2Y",EC2Y,1.0
75,2750000.0,"The Postern, EC2Y",EC2Y,4.0
77,1100000.0,"Temple Avenue, London, EC4Y",EC4Y,2.0
78,1100000.0,"Ludgate Broadway, City Of London, EC4V",EC4V,2.0
79,850000.0,"Dominion House, Barts Square, Barbican, EC1A",EC1A,1.0
82,800000.0,"Willoughby House, Barbican, London, EC2Y",EC2Y,1.0
83,1275000.0,"Ben Jonson House, Barbican, London, EC2Y",EC2Y,2.0
86,1995000.0,"Defoe House, Barbican, London, EC2Y",EC2Y,3.0
89,585000.0,"High Timber Street, EC4V",EC4V,1.0
90,1225000.0,Fetter Lane London EC4A,EC4A,2.0
93,2790000.0,"Sir John Lyon House, High Timber Street, EC4V",EC4V,3.0
95,849950.0,"Andrewes House, Barbican, London, EC2Y",EC2Y,2.0
96,775000.0,"Andrewes House, Barbican, London, EC2Y",EC2Y,1.0
97,1450000.0,"Speed House, Barbican, London, EC2Y",EC2Y,3.0
98,900000.0,"Pemberton House, 7 Pemberton Row, London, EC4A",EC4A,2.0
99,565000.0,"Sir John Lyon House, High Timber Street, EC4V",EC4V,1.0
100,2750000.0,"The Postern, EC2Y",EC2Y,4.0
101,1000000.0,"Wood Street, Moorgate, London, EC2Y",EC2Y,2.0
102,1400000.0,"Tapestry Building, City, London, EC2M",EC2M,2.0
103,625000.0,"Sir John Lyon House, 8 High Timber Street, EC4V",EC4V,1.0
104,1100000.0,"Ludgate Broadway, City, London, EC4V",EC4V,2.0
105,700000.0,"London House, 172 Aldersgate Street, City of London, London, EC1A",EC1A,2.0
106,1695000.0,"Blake Tower, 2 Fann Street, London, EC2Y",EC2Y,2.0
107,522000.0,"Friar Street, St Pauls, London, EC4V",EC4V,1.0
108,999995.0,29 Essex Street London WC2R,WC2R,1.0
109,950000.0,"Werna House,  Monument Street, The City, EC3R",EC3R,2.0
112,1695000.0,Shakespeare Tower Barbican EC2,EC2,3.0
113,745000.0,Ben Jonson House Barbican EC2,EC2,1.0
115,800000.0,"Temple House, 6 Temple Avenue, London, EC4Y",EC4Y,2.0
116,780000.0,Moor Lane London EC3V,EC3V,1.0
118,1600000.0,"Dominion House, 59 Bartholomew Close, Farringdon, Barbican, London, EC1A",EC1A,2.0
119,495000.0,"Seddon House, Barbican, London, EC2Y",EC2Y,0.0
120,500000.0,"John Trundle Court, Barbican, London, EC2Y",EC2Y,0.0
