,price,address,postcode,number_bedrooms
2,230000,"South End, South Croydon, Croydon, CR0",CR0,1.0
9,335000,"Central Hill , Upper Norwood, London, SE19",SE19,1.0
11,625000,"The Woodfields, Sanderstead, CR2",CR2,3.0
12,320000," 1 Westow Hill,  London, SE19",SE19,1.0
13,300000,"5 Worcester Close , Anerley , London, SE20",SE20,1.0
18,375000,"Redbarn Close, Purley, Surrey, CR8",CR8,2.0
19,375000,"William Booth Road, Anerley, SE20",SE20,3.0
20,685000,"Beaumont Road, London, SE19",SE19,4.0
21,250000,"Whitehorse Lane, London, CR7",CR7,1.0
22,500000,"Aylesford Avenue, Beckenham, BR3",BR3,3.0
23,325000,"Northborough Road, Norbury, London, SW16",SW16,2.0
24,530000,"Coppice Yard, Croydon, CR0",CR0,3.0
26,280000,"Penge Road, Anerley, London, SE20",SE20,1.0
27,279950,"Stanley Road, Croydon, CR0",CR0,2.0
28,600000,"Wharncliffe Road, London, SE25",SE25,4.0
29,365000,"Homelands Drive, London SE19",SE19,2.0
30,425000,"Lower Road, Kenley, Surrey, ., CR8",CR8,3.0
31,480000,"Pinnacle Apartments, Saffron Central Square, Croydon, CR0",CR0,2.0
35,240000,"7-9 St. Peters Road, Croydon, CR0",CR0,2.0
37,550000,"Melfort Road, Thornton Heath, CR7",CR7,5.0
38,325000,"Church Road, London, SE19",SE19,2.0
39,350000,"Church Road, Upper Norwood, London, SE19",SE19,1.0
41,270000,"Sundale Avenue, Selsdon, South Croydon, Surrey, CR2",CR2,2.0
43,150000,"London Road, Croydon, CR0",CR0,0.0
44,350000,"Newlands Woods, Bardolph Avenue, Croydon,CR0 9JR",CR0,3.0
46,300000,High Street London SE25,SE25,1.0
47,325000,"Anderson Heights London Road, Norbury, SW16",SW16,2.0
48,240000,"Oakfield Road, Croydon, CR0",CR0,1.0
50,450000,"Woodside Green, London, SE25",SE25,3.0
53,215000,"Laurel Court, 146 Selhurst Road, London, SE25",SE25,1.0
56,550000,"Chartham Road, London, SE25",SE25,4.0
62,595000,"Church Way, Sanderstead, South Croydon, Surrey, cr2 0JU",cr2,2.0
63,310000,"Campden Road, South Croydon, CR2",CR2,1.0
64,290000,"St Augustines Avenue, South Croydon, Surrey, CR2",CR2,2.0
65,375000,"Chertsey Crescent, New Addington, Croydon, CR0 0DA",CR0,3.0
66,375000,"Parker Road, Central Croydon, CR0",CR0,2.0
67,425000,"Huntley Road, South Norwood, London, SE25",SE25,3.0
70,475000,"Epsom Road, Croydon, Surrey, England, CR0",CR0,3.0
71,365000,"Smitham Yard, Leaden Hill, Coulsdon, Surrey, CR5",CR5,2.0
74,675000,"Orchard Avenue, Shirley, CR0",CR0,4.0
75,350000,"Whitestone Way, Croydon, CR0",CR0,2.0
78,347500,"The Residences Croydon, 4 Edridge Road, Croydon, Surrey, CR0",CR0,2.0
81,825000,"Arkwright Road, Sanderstead, Surrey, CR2 0LP",CR2,4.0
82,300000,Moffat Road Thornton Heath CR7,CR7,1.0
84,425000,"Roke Lodge Road, Kenley, ., CR8",CR8,3.0
85,335000,"Scarbrook Road, Croydon, CR0",CR0,2.0
86,375000,"Addiscombe Road, CR0",CR0,2.0
87,325000,"Blenheim Crescent, South Croydon, CR2",CR2,2.0
89,450000,"Norfolk Road, Thornton Heath, CR7",CR7,5.0
90,370000,"St. Peters Street, South Croydon, CR2",CR2,2.0
91,395000,"Penshurst Road, Thornton Heath, CR7",CR7,2.0
93,350000,"Selsdon Road, South Croydon, CR2",CR2,2.0
94,325000,"Elmside, New Addington, CR0",CR0,3.0
97,420000,"Davidson Road, Croydon, CR0",CR0,2.0
98,415000,"Dalmally Road, Addiscombe, CR0",CR0,2.0
100,235200,"The Residences Croydon, 4 Edridge Road, Croydon, Surrey, CR0",CR0,1.0
101,425000,"Benson Road, Croydon, CR0",CR0,2.0
102,730000,"Hayes Lane, Kenley, Surrey, CR8",CR8,4.0
104,325000,"Gipsy Hill, Crystal Palace, SE19",SE19,1.0
105,625000,"St. Andrews Road, Coulsdon, CR5",CR5,4.0
106,325000,"Northcote Road, Croydon, CR0",CR0,2.0
107,239999,"Whitehorse Road, Croydon, Surrey, CR0 2LB",CR0,2.0
110,480000,"Hartley Road, Croydon, CR0",CR0,3.0
111,245000,"Reedham Court, Aveling Close, Purley, CR8",CR8,1.0
112,300000,"Blunt Road, South Croydon, CR2",CR2,1.0
113,230000,"Alpha Road, Croydon, CR0",CR0,1.0
114,800000,"Shirley Road, Shirley, Croydon, Surrey, CR0",CR0,6.0
116,450000,"Penshurst Road, Thornton Heath, CR7",CR7,3.0
117,300000,"Leicester Road, Croydon, CR0",CR0,2.0
119,350000,Harold Road SE19,SE19,1.0
125,215000,"Holmbury Grove, Featherbed Lane, Croydon CR0 9AP",CR0,1.0
132,215000,"Burnham Gardens, ., Croydon, Surrey, CR0",CR0,1.0
135,325000,"Cherry Orchard Road, Croydon, CR0",CR0,1.0
136,400000,"Moffat Road, Thornton Heath, CR7",CR7,3.0
138,215000,"Park Hill Court, Addiscombe Road, Croydon, Surrey, CR0 5PJ",CR0,1.0
140,750000,"Cullesden Road, Kenley, CR8",CR8,4.0
141,350000,"St Helens Crescent, Norbury, London, SW16 4LD",SW16,2.0
142,350000,"Headley Drive, New Addington, Croydon, CR0 0QL",CR0,3.0
143,365000,"Lodge Road, Croydon, CR0",CR0,2.0
146,250000,"Thornhill Road, Croydon, CR0",CR0,1.0
148,260000,"The Glade, Shirley, Croydon, Surrey, CR0",CR0,1.0
149,465000,"Borrowdale Drive, Sanderstead, CR2",CR2,2.0
151,275000,"Whitefield House, Whitefield Avenue, Purley, Surrey, CR8",CR8,2.0
152,800000,"Hereward Avenue, Purley, CR8",CR8,4.0
157,250000,"Maresfield, Park Hill, Croydon, Surrey, CR0",CR0,1.0
160,295000,"Brighton Road, Purley, CR8",CR8,2.0
161,399995,"Belvedere Road, London, SE19",SE19,1.0
162,450000,"Anerley Road, Penge, SE20",SE20,3.0
163,630000,"Melrose Road, Coulsdon, Surrey, CR5",CR5,4.0
164,1200000,"Eversley Road, London, SE19",SE19,4.0
167,375000,Harold Road London SE19,SE19,1.0
170,210000,Cameron Road Croydon CR0,CR0,1.0
171,300000,"Sylvan Road, London, SE19",SE19,1.0
172,370000,"Nihill Place, Croydon, CR0",CR0,2.0
173,450000,"Elgin Road, Croydon, CR0",CR0,2.0
178,560000,"Elder Place, South Croydon, CR2",CR2,4.0
