,price,address,postcode,number_bedrooms
6,625000.0,"Longfield House, 18-20 Uxbridge Road, Ealing, W5",W5,3.0
7,425000.0,"Horn Lane, London, W3",W3,1.0
9,660000.0,"Wilkinson Way, London, W4",W4,4.0
11,330000.0,"Buckingham Avenue, Perivale, Greenford, UB6",UB6,2.0
13,375000.0,"Bollo Lane, London, W4",W4,1.0
16,605000.0,"Bridge Road, Southall, Middlesex, UB2",UB2,3.0
17,490000.0,"Bridge Road, Southall, Middlesex, UB2",UB2,2.0
18,329000.0,"Clement Close, London, W4",W4,2.0
19,450000.0,"The Green, Ealing, W5",W5,2.0
22,849950.0,"Fowlers Walk, W5",W5,3.0
23,425000.0,"Fells Haugh, Horn lane, Acton, W3",W3,2.0
25,570000.0,"Central London Apartments, Victoria Road, London, W3",W3,1.0
28,848750.0,"Drayton Gardens, W13",W13,5.0
29,399950.0,"Grange Park, Ealing, W5",W5,1.0
30,1595000.0,"Buxton Gardens, Acton, W3",W3,4.0
31,400000.0,"Browning Avenue, London, W7",W7,2.0
32,645000.0,"Northcote Avenue, London, W5",W5,3.0
33,350000.0,"Allington Close, Greenford, UB6",UB6,2.0
35,385000.0,"Rowan Close, Ealing, W5",W5,2.0
37,700000.0,"Welsby Court, W5",W5,3.0
38,2500000.0,"Madeley Road, Ealing W5",W5,5.0
39,650000.0,"Culmington Road, Ealing, W13",W13,3.0
43,560000.0,"Islip Manor Road, Northolt, Middlesex, UB5 5DY",UB5,4.0
45,170000.0,"Damsonwood Road, Southall, UB2",UB2,1.0
47,550000.0,"1 Northcote Avenue, Ealing Broadway, W5",W5,2.0
51,499950.0,"Westcott Crescent, Hanwell, London, W7 1PA",W7,2.0
52,395000.0,"Bridge Road, Southall, Middlesex, UB2",UB2,1.0
55,550000.0,"Northfield Ave, W13",W13,2.0
56,420000.0,"Rochester House, 66 Little Ealing Lane, Ealing, W5",W5,1.0
57,399950.0,"Northfields Ave, W13 ",W13,1.0
60,530000.0,"Goodhall Street, Willesden Junction, NW10",NW10,3.0
64,485000.0,"Hawtrey Avenue, Northolt, Middlesex, UB5 5JB",UB5,3.0
66,435000.0,"Colonnade Gardens, London, W3",W3,1.0
67,524950.0,"Wadham Gardens, Greenford, Middlesex, UB6",UB6,3.0
68,590000.0,"Burwell Avenue, Greenford, Middlesex, UB6",UB6,4.0
69,320000.0,"Rowan Close, Ealing, W5",W5,1.0
70,210000.0,"Queens Road, Southall, UB2",UB2,1.0
74,350000.0,"St. Pauls Close, London, W5",W5,1.0
76,1600000.0,"Hartington Road, W13",W13,5.0
78,525000.0,"Pitshanger Lane, London, W5",W5,2.0
79,230000.0,"Barbican Road, Greenford, Middlesex, UB6",UB6,2.0
80,425000.0,"Shakespeare Road, Hanwell, W7",W7,2.0
81,445000.0,"Allison Road, W3",W3,2.0
82,375000.0,"Tentelow Lane, Norwood Green, Southall, UB2 4LQ",UB2,2.0
83,675000.0,"Woodcroft, Greenford, Middlesex, UB6",UB6,3.0
84,475000.0,"Mount Avenue, Ealing, W5",W5,2.0
88,1100000.0,"Summerlands Avenue, Acton, London, W3",W3,7.0
89,600000.0,"Oak Cottages, Hanwell, W7",W7,2.0
90,725000.0,"Hastings Road, W13",W13,3.0
92,395000.0,"Samuelson House, Greenview Court, Southall, London, UB2",UB2,1.0
93,360000.0,"Greenview Court, Merrick Road, Southall, London, UB2",UB2,1.0
95,650000.0,"Denbigh Road, Ealing, W13",W13,3.0
96,775000.0,"Priory Road, Bedford Park borders, Chiswick, London, W4",W4,3.0
97,550000.0,"Killowen Avenue, Northolt, UB5",UB5,3.0
