,price,address,postcode,number_bedrooms
0,369950.0,"Tramway Avenue, Edmonton, N9",N9,3.0
5,199950.0,"Cornish Court, Bridlington Road, Edmonton, N9",N9,1.0
7,599995.0,"Farndale Avenue, London N13",N13,4.0
11,425000.0,"Alma Road, Enfield, EN3",EN3,3.0
12,1000000.0,"Chase Road, Southgate, N14",N14,3.0
14,750000.0,"York Road, London, N11",N11,3.0
15,650000.0,"Connaught Gardens, Palmers Green, London, N13",N13,4.0
16,325000.0,"Bedford Road, London, N9",N9,2.0
17,310000.0,"John Gooch Drive, En2",En2,2.0
26,1350000.0,"Amberley Road, Palmers Green, London, N13",N13,5.0
35,220000.0,"49 Derby Road, Enfield, EN3",EN3,1.0
37,635000.0,"Connaught Gardens, Palmers Green, N13",N13,3.0
38,329950.0,"Cobham Close, Enfield, Middlesex, EN1",EN1,2.0
39,450000.0,"Tottenhall Road, Palmers Green, London, N13",N13,2.0
40,399995.0,"Tysoe Avenue, Enfield, EN3",EN3,3.0
41,395000.0,"Chalkwell Park Avenue, London, EN1",EN1,2.0
42,415000.0,"Chestnut Road, Enfield, EN3",EN3,3.0
43,315000.0,"The Ridgeway, Enfield, Middlesex, EN2",EN2,1.0
44,520000.0,"Southfield Road, Enfield, EN3",EN3,4.0
49,495000.0,"First Avenue, London, EN1",EN1,3.0
53,450000.0,"Manor Court, High Street, London, N14",N14,2.0
62,375000.0,"Chase Side Crescent, Enfield EN2",EN2,2.0
63,350000.0,"St. Marks Road, Enfield, EN1",EN1,3.0
64,639950.0,"Clay Hill, Enfield, Middlesex, EN2",EN2,3.0
75,409995.0,"Woolmer Road, Edmonton, N18",N18,3.0
76,800000.0,"Enfield Road, Enfield, EN2",EN2,5.0
79,435000.0,"Lascotts Road, London, N22",N22,2.0
85,475000.0,"Roundhill Drive, Enfield EN2",EN2,3.0
88,695000.0,"Highfield Road, N21",N21,3.0
89,1250000.0,"South Lodge Drive, Oakwood N14",N14,4.0
90,715000.0,"Lavender Hill, Enfield, Middlesex, EN2",EN2,3.0
91,399995.0,"Bury Street West, London, N9",N9,2.0
92,415000.0,"Clive Road, Enfield, EN1",EN1,3.0
98,385000.0,"Monmouth road, N9",N9,2.0
101,575000.0,"Park Nook Gardens, Enfield, EN2",EN2,2.0
102,260000.0,"Cobham Close, Enfield, EN1",EN1,1.0
103,625000.0,"Willow Road, Enfield, EN1",EN1,4.0
104,570000.0,"Ash Grove, Enfield, EN1",EN1,2.0
107,325000.0,"Eaton Park Road, Palmers Green, London, N13",N13,1.0
108,540000.0,"Oakwood, Lindal Crescent EN2",EN2,3.0
109,429995.0,"Turkey Street, EN3",EN3,3.0
110,580000.0,"Bagshot Road, Enfield, EN1",EN1,4.0
111,350000.0,"Sheldon Road, London, N18",N18,2.0
112,650000.0,"The Firs, Clay Hill, Enfield Chase, EN2 - Seldom Available Listed Grand Two Bedroom Apartment with Land",EN2,2.0
113,535000.0,"Ulleswater Road, London, N14",N14,2.0
114,299995.0,"Field House, Sebastopol Road, Edmonton, N9",N9,3.0
115,450000.0,"Park Lane, London, N9",N9,3.0
117,650000.0,"Church Street, London, N9",N9,4.0
118,750000.0,"Hoppers Road, London, N21",N21,4.0
119,775000.0,"Queen Elizabeths Drive, London, N14",N14,3.0
120,250000.0,"Gladbeck Way, Enfield, Middlesex, EN2",EN2,1.0
121,690000.0,"Connaught Gardens, Palmers Green, N13 - Renovated and Extended to a high Specification",N13,4.0
124,565000.0,"Blueberry Court, 37 Bycullah Road, Enfield, Middlesex, EN2",EN2,2.0
125,675000.0,"Wellington Road, Bush Hill Park, Enfield, EN1",EN1,3.0
127,409995.0,"Woolmer Road, Edmonton, N18",N18,3.0
128,364995.0,"Hook Gate, EN1",EN1,3.0
130,335000.0,"Halstead Road, Enfield, Middlesex, EN1",EN1,1.0
135,310000.0,"Eaton Road, Enfield, EN1",EN1,2.0
136,700000.0,"Russell Road, Enfield, EN1",EN1,4.0
137,550000.0,"Chelmsford Road, N14",N14,2.0
138,770000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
139,660000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
140,755000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
141,735000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
142,735000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
143,660000.0,"Lavender Hill, 
Enfield, 
London
EN2",EN2,4.0
144,375000.0,"Carnegie Close, Enfield, EN3",EN3,3.0
145,385000.0,"High Road, New Southgate, London, N11",N11,3.0
146,200000.0,"Chaffinch Close, London, N9",N9,1.0
147,1100000.0,"Cotswold Way, Enfield, EN2 - Immaculate Five Double Bedroom Home - Rarely Available",EN2,5.0
153,485000.0,"Ripley Road, Enfield, EN2",EN2,3.0
157,660000.0,"Plot 19, The Penrith V2, Locksley Place, Chase Farm, Lavender Hill, Enfield, Greater London",V2,4.0
162,335000.0,"Lousada Lodge, Avenue Road, Southgate, N14 4DL",N14,2.0
166,700000.0,"Percy Road, London, N21",N21,4.0
167,520000.0,"Churchbury Road, Enfield, EN1",EN1,4.0
168,365000.0,"Jules Thorn Avenue, Enfield, Middlesex, EN1",EN1,2.0
170,550000.0,"Firs Lane, London N13",N13,3.0
171,349995.0,"Totteridge Road, EN3",EN3,2.0
172,450000.0,"Grange Gardens, Southgate, N14",N14,3.0
173,825000.0,"Queen Annes Place, London, EN1",EN1,3.0
177,375000.0,"Chase Side, London, N14",N14,1.0
178,425000.0,"Sheridan Lodge, Chase Side, Southgate, London, N14",N14,2.0
180,369995.0,"Forest Road, Edmonton, N9",N9,3.0
181,675000.0,"Wellington Road, Bush Hill Park, Enfield, EN1",EN1,3.0
182,530000.0,"Carterhatch Lane, Enfield, EN1 - Extended Three Bedroom, Three Reception Family Home",EN1,3.0
183,269995.0,"Elsinge Road, Enfield, EN1",EN1,2.0
185,320000.0,"Park Road, Southgate, London, N14",N14,1.0
187,550000.0,"Park Road, Enfield, EN3",EN3,4.0
188,825000.0,"Hoodcote Gardens, London, N21",N21,3.0
189,685000.0,"Linden Way, Southgate, N14",N14,3.0
190,285000.0,"Culpepper Close, London, N18",N18,2.0
191,385000.0,"Halifax Road, Enfield, EN2",EN2,1.0
192,360000.0,"The Grangeway, N21",N21,2.0
195,315000.0,"Cunard Crescent, London, N21",N21,1.0
196,375000.0,"Tregenna Close, Chase Road, N14 4RD",N14,2.0
197,225000.0,"Millstream Close, Palmers Green, London, N13",N13,1.0
199,315000.0,"Glenville Avenue, Enfield, Middlesex, EN2",EN2,2.0
201,375000.0,"Hyde Park Avenue, Winchmore Hill, N21 - Large Apartment with Stunning Views",N21,3.0
202,575000.0,"Edenbridge Road, Enfield, EN1",EN1,3.0
203,420000.0,"Woodgrange Gardens, Enfield, EN1",EN1,3.0
204,750000.0,"York Road, London, N11",N11,3.0
207,650000.0,"Upsdell Avenue, Palmers Green, N13",N13,3.0
208,445000.0,Gladbeck Way  EN2,EN2,3.0
209,795000.0,"Gloucester Gardens, Cockfosters, EN4",EN4,3.0
210,250000.0,"Adrian Nicholas Court, Silver Street, Enfield EN1 3TD",EN1,1.0
211,135000.0,"Holmleigh Court, Glyn Road, Enfield, England, EN3",EN3,1.0
214,599995.0,"St. Joseph's Road, London, N9",N9,5.0
216,450000.0,"Oaklands Avenue, Lower Edmonton, London, Oaklands Avenue, N9",N9,3.0
218,204950.0,"Hickory Close, London, N9",N9,1.0
220,290000.0,"Shapland Way, Palmers Green, London N13",N13,1.0
221,359995.0,"Lawrence Road, Edmonton, N18",N18,2.0
222,359995.0,"Gordon Road, Edmonton, N9",N9,2.0
223,409995.0,"Doncaster Road, Edmonton, N9",N9,3.0
224,475000.0,"Fox Lane, Palmers Green, N13",N13,2.0
230,600000.0,"Worlds End Lane, Enfield, EN2",EN2,4.0
233,850000.0,"Cecil Road, London, EN2",EN2,5.0
238,499995.0,"Bromley road, London, N18",N18,3.0
239,419995.0,"Great Cambridge Road, Enfield, EN1",EN1,3.0
242,400000.0,"Morley Avenue, Edmonton, London, N18",N18,3.0
243,400000.0,"Arnos Grove Court, Palmers Road, N11",N11,3.0
244,499950.0,"Old Park Road, Western Enfield, EN2",EN2,2.0
245,450000.0,"Sporton Court, 49 Drapers Road, Enfield, EN2",EN2,3.0
248,595000.0,"Kings Avenue, N21",N21,2.0
249,775000.0,"Henrietta Gardens, N21",N21,3.0
251,440000.0,"Westmoor Gardens, EN3",EN3,3.0
253,775000.0,"Compton Road, N21",N21,3.0
254,725000.0,"Rowantree Road, London, N21",N21,4.0
255,585000.0,"Firs Lane, Palmers Green, London, N13",N13,3.0
256,425000.0,"Primrose Avenue, Enfield, EN2",EN2,2.0
258,550000.0,"Wellington House, Wellington Road, Enfield, EN1",EN1,2.0
259,585000.0,"Bury Street West, London, N9",N9,3.0
260,635000.0,"Chase Green Avenue, Enfield, Middlesex, EN2",EN2,4.0
262,700000.0,"Bury Street West, Edmonton, London, N9",N9,5.0
264,359995.0,"Vernon Avenue, Enfield, EN3",EN3,2.0
265,299995.0,"Sandhurst Road, Edmonton, N9",N9,2.0
268,450000.0,"Hazeltree Lodge, 16-18 Hazelwood Lane, London, N13",N13,2.0
269,375000.0,"Warwick Road, ENFIELD, Middlesex, EN3",EN3,3.0
270,389995.0,"Chichester Road, London, N9",N9,3.0
271,700000.0,"Queen Annes Grove, Enfield, EN1",EN1,3.0
273,325000.0,"Denleigh Court, Chase Road, Southgate, N14",N14,2.0
282,579995.0,"Ladbroke Road, London, EN1",EN1,4.0
