,price,address,postcode,number_bedrooms
0,515000.0,"Sidcup Road, London, SE9",SE9,4.0
1,649999.0,"Biring House, Royal Arsenal Riverside, Woolwich, London, SE18",SE18,3.0
2,650000.0,"Wallace Court, 42 Tizzard Grove, Kidbrooke, SE3",SE3,3.0
3,275000.0,"Abel House, Plumstead Road, Woolwich, London, SE18",SE18,2.0
4,180000.0,"Irwin Avenue, Plumstead, SE18",SE18,2.0
6,340000.0,"Durham Rise, Plumstead, London, SE18 7TQ",SE18,2.0
7,225000.0,"Eglinton Hill, London, SE18",SE18,1.0
8,195000.0,Throwley Close London SE2,SE2,1.0
9,735000.0,"Catherine Grove, Greenwich, SE10",SE10,3.0
10,725000.0,Merriman Road London SE3,SE3,5.0
12,200000.0,"Old Park Road, Abbey Wood, SE2",SE2,3.0
13,705000.0,Harrison Way Greenwich SE10,SE10,3.0
15,566000.0,"Victoria Way,
London,
SE7",SE7,3.0
16,547000.0,"Victoria Way,
London,
SE7",SE7,3.0
17,463000.0,"Victoria Way,
London,
SE7",SE7,2.0
18,495000.0,"Victoria Way,
London,
SE7",SE7,2.0
19,370000.0,"Victoria Way,
London,
SE7",SE7,1.0
20,865000.0,"Victoria Way,
London,
SE7",SE7,4.0
21,450000.0,"Tovell Court, 1 Rolfe Terrace, London, SE18",SE18,2.0
22,625000.0,"Calydon Road, Charlton, SE7",SE7,3.0
24,805000.0,"Banning Street, London, SE10",SE10,3.0
25,760000.0,John Donne Way Greenwich SE10,SE10,3.0
26,740000.0,"Banning Street, London, SE10",SE10,3.0
27,465000.0,"Station Crescent, Blackheath, London, SE3",SE3,2.0
30,399000.0,"Victory Parade, Woolwich, London, SE18",SE18,1.0
31,425000.0,"Royal Herbert Pavilions, Shooters Hill, London, SE18",SE18,2.0
32,339000.0,"West Carriage House, Royal Carriage Mews, Royal Arsenal SE18",SE18,1.0
33,335000.0,"Courtyard, Greenwich Square, 1-3 Lambarde Square, Greenwich, London, SE10",SE10,0.0
35,900000.0,"Drew House, 21 Wharf Street, London, SE8",SE8,2.0
37,365000.0,Shooters Hill Road London SE3,SE3,1.0
39,425000.0,Telcon Way London SE10,SE10,1.0
40,260000.0,"Berber Parade, Shooters Hill, London, SE18 ",SE18,2.0
41,325000.0,"Bramshot Avenue, London, SE7",SE7,2.0
42,530000.0,"Peartree Way, London, SE10",SE10,2.0
43,350000.0,"Bramshot Avenue, London, SE7",SE7,2.0
44,300000.0,"Nassau Path, Thamemead, London, SE28 8AN",SE28,3.0
45,550000.0,"414 Shooters Hill Road, London, SE18",SE18,3.0
47,330000.0,Floyd Road London SE7,SE7,2.0
48,350000.0,Riverdale Road London SE18,SE18,3.0
