,price,address,postcode,number_bedrooms
0,3115000.0,"Worship Street, London EC2A 2BA",EC2A,2.0
1,780000.0,"Dove Row, London, E2",E2,4.0
2,385000.0,"Sherard House, Frampton Park Road, London, E9",E9,2.0
4,365000.0,"Geffrye Court, Hoxton, N1",N1,1.0
6,600000.0,"Manor Road, London, N16",N16,2.0
7,425000.0,"Cottrill Gardens, Marcon Place, London, E8",E8,1.0
11,425000.0,"Kingsland Road, De Beauvoir Town, London, E8",E8,1.0
12,310000.0,"Warwick Grove, Hackney, E5",E5,1.0
13,550000.0,"Evering Road, London, E5",E5,2.0
14,1400000.0,"Bodney Road, London, E8",E8,6.0
15,1150000.0,"Principal Tower, 2 Worship Street, London, EC2A",EC2A,1.0
16,385000.0,"Clarence Road, Hackney, E5",E5,1.0
18,1550000.0,"Sutton Place, London, E9",E9,4.0
20,365000.0,"402 Seven Sisters Road, Finsbury Park, N4",N4,1.0
21,750000.0,"Benn Street, London, E9",E9,3.0
23,865000.0,"One Crown Place, Shoreditch, London, EC2A",EC2A,1.0
27,400000.0,"Stoke Newington High Street, N16",N16,2.0
28,500000.0,"Parkholme Road, London, E8",E8,1.0
29,460000.0,"Beatty Road, London, N16 8EB",N16,1.0
30,425000.0,"Whitwell House, Northwold Road, London, E5",E5,2.0
31,885000.0,"Boleyn Road, London, N16",N16,3.0
32,795000.0,"Long & Waterson, Long Street, E2",E2,1.0
33,525000.0,"Dunsmure Road, London, N16",N16,2.0
34,575000.0,"Harmony House, Piano Lane, London, N16",N16,2.0
35,1200000.0,"Parkholme Road, London, E8",E8,3.0
36,450000.0,"Kedleston Court, 70 Redwald Road, London, E5",E5,3.0
37,865000.0,"Long & Waterson, Long Street, E2",E2,2.0
39,600000.0,"Scriven Court, Livermere Road, London, E8",E8,4.0
40,750000.0,"Alvington Crescent, Hackney, London, E8",E8,1.0
43,470000.0,"Derby Court, 2 Overbury Street, London, E5",E5,3.0
44,620000.0,"Broadway Market, London, E8",E8,1.0
47,495000.0,"Shore Road, Hackney, London, E9",E9,0.0
50,415000.0,"Atkins Square, Dalston Lane, London, E8",E8,1.0
51,650000.0,"Academy Apartments, 236 Dalston Lane, London, E8",E8,2.0
52,485000.0,"Southgate Road, London, N1",N1,1.0
53,540000.0,"Buttermere Walk, London, E8",E8,2.0
54,550000.0,"Waterloo Close, London, E9",E9,3.0
55,1675000.0,"Mare Street, Hackney, London, E8",E8,4.0
56,425000.0,"Murray Grove, London, N1 ",N1,2.0
57,650000.0,"Riversdale Road, Highbury, London, N5",N5,2.0
58,435000.0,"Forburg Road, London, N16",N16,1.0
60,485000.0,"Barretts Grove, London, N16",N16,1.0
61,370000.0,"398 Seven Sisters Road, London, N4",N4,1.0
62,1150000.0,"Sheperdess Place, Hoxton, London, N1",N1,2.0
63,425000.0,"Wick Road, Hackney, London, E9",E9,3.0
64,260000.0,"Bethune Road, N16",N16,0.0
65,550000.0,"Rectory Road, N16",N16,2.0
67,1250000.0,"Paragon Road, London, E9",E9,4.0
68,425000.0,"Defoe Road, London, N16 ",N16,1.0
71,799950.0,"Riversdale Road, London, N5",N5,2.0
73,5750000.0,"Principal Place,
Worship Street,
London,
EC2A",EC2A,3.0
74,550000.0,"Fellows Court , Weymouth Terrace , London, E2 8LL",E2,3.0
76,500000.0,"31 Wenlock Road, Islington, N1",N1,1.0
78,575000.0,"Portland Rise, N4",N4,2.0
80,965000.0,"The Residence, Shoreditch, N1 ",N1,3.0
81,725000.0,"Crondall Street, London, N1",N1,2.0
82,695000.0,"Crondall Street, Shoreditch, N1",N1,2.0
83,350000.0,"Balls Pond Road, London, N1",N1,1.0
84,850000.0,"Dalston Square, London, E8",E8,3.0
85,550000.0,"Weymouth Terrace, London, E2 ",E2,3.0
86,1225000.0,"Coopersale Road, Lower Clapton, E9",E9,5.0
87,895000.0,"Eagle Point, City Road, London, EC1V",EC1V,2.0
88,1500000.0,"Dumont Road, London, N16",N16,4.0
89,550000.0,"Strand Building, 29 Urswick Road, London, E9",E9,2.0
91,695000.0,"Crondall Street, London, N1",N1,2.0
93,730000.0,"Bushberry Road, London, E9",E9,3.0
94,695000.0,"The Residence Hoxton, London, N1",N1,2.0
95,725000.0,"The Residence Hoxton, Islington, London, N1",N1,2.0
96,649000.0,"Haberdasher Street, London, N1",N1,2.0
97,420000.0,"Boundary Street, Shoreditch, E2",E2,0.0
98,1675000.0,"Mare Street, London E8",E8,4.0
100,795000.0,"Long & Waterson, Long Street, E2",E2,1.0
101,450000.0,"Kyverdale Road, Stoke Newington, N16",N16,2.0
102,599950.0,"Clapton Square, London, E5",E5,2.0
103,375000.0,"Rectory Road, London, N16",N16,1.0
104,450000.0,"Bradbury Mews, Dalston, London, N16",N16,1.0
105,375000.0,"Drysdale Place, Islington, N1",N1,1.0
106,725000.0,"Digby Crescent, N4 2HS",N4,3.0
107,525000.0,"Amhurst Park, Stoke Newington, N16",N16,2.0
109,1795000.0,"Union Wharf, Arlington Avenue, Islington, London, N1",N1,3.0
111,435000.0,"Welbury Court, 453 Kingsland Road, London, E8",E8,1.0
112,450000.0,"Stoke Newington High Street, London, N16",N16,2.0
113,525000.0,"16 Goldsmiths Row, London, E2",E2,1.0
114,650000.0,"Basing Place, London, E2",E2,2.0
115,630000.0,"Downs Park Road, London, E8",E8,2.0
116,1650000.0,"Parkholme Road, Hackney, London, E8",E8,4.0
117,500000.0,"Kingsland Road, London, E2",E2,2.0
118,420000.0,"Boundary Street, Shoreditch, London, E2",E2,1.0
119,775000.0,"Quebec Wharf, 315 Kingsland Road, London, E8",E8,1.0
120,875000.0,"Goldsmiths Row, London, E2",E2,2.0
122,570000.0,"Orwell Court, Pownall Road, London, E8",E8,3.0
124,595000.0,"Adolphus Road, N4 2AT",N4,2.0
125,600000.0,"14 Orsman Road, De Beauvoir, N1",N1,2.0
126,495000.0,"Shore Road, London, E9",E9,1.0
129,900000.0,"Whitmore Road, London, N1",N1,3.0
130,395000.0,"Gibson Gardens, Stoke Newington, N16",N16,1.0
131,4000000.0,"Graham Road, London, E8",E8,5.0
132,610000.0,"Castlewood Road, Stamford Hill,
London, 
E5 9AJ",E5,2.0
133,480000.0,"Castlewood Road, Stamford Hill,
London, 
E5 9AJ",E5,1.0
134,595000.0,"Castlewood Road, Stamford Hill,
London, 
E5 9AJ",E5,2.0
135,1050000.0,"Hassett Road, London, E9",E9,4.0
136,785000.0,"Glenarm Road, London, E5",E5,3.0
137,550000.0,"Laxfield Court, Pownall Road, London, E8",E8,3.0
138,490000.0,"Warburton House, Warburton Street, London, E8",E8,3.0
139,500000.0,"Balcorne Street, South Hackney, London, E9",E9,2.0
140,600000.0,"201 Albion Road, Stoke Newington, N16",N16,2.0
141,450000.0,"Boleyn Road, London, N16",N16,2.0
142,650000.0,"Graham Road, Hackney, E8",E8,2.0
143,475000.0,"Roseberry Place, Hackney, E8",E8,1.0
144,650000.0,"Abraham House, Roseberry Place, London, E8",E8,2.0
145,600000.0,"Denver Road, London, N16",N16,2.0
147,350000.0,"Chatsworth Road, E5 ",E5,1.0
148,875000.0,"Bayford Mews, London Fields, E8",E8,3.0
149,750000.0,"Whiston Road, Shoreditch, London, E2",E2,2.0
150,500000.0,"Sandpiper, Woodberry Down, Finsbury Park, London, N4",N4,1.0
151,600000.0,"Dalston Lane, London, E8",E8,1.0
152,625000.0,"Adolphus Road, London, N4",N4,2.0
153,850000.0,"Shacklewell Lane, London, E8",E8,2.0
154,725000.0,"Drysdale Street, Shoreditch, London, N1",N1,1.0
155,750000.0,"Kingsland Road, London, E8",E8,3.0
156,499995.0,"Brownswood Road, London, N4",N4,2.0
157,500000.0,"Reighton Road, Stoke Newington, N16",N16,1.0
158,420000.0,"Leaside Road, London, E5",E5,2.0
159,375000.0,"Chiltern House, Stamford Hill, London, N16",N16,2.0
160,900000.0,"Great Eastern Street, London EC2",EC2,1.0
161,900000.0,"Great Eastern Street, London, EC2A",EC2A,1.0
162,550000.0,"Northwold Road, Stoke Newington, London, N16",N16,2.0
164,450000.0,"Amhurst Court, Pinehurst, Cambridge, CB3",CB3,2.0
165,450000.0,"Green Lanes, London, N16",N16,1.0
166,525000.0,"Amhurst Park, Stoke Newington, N16",N16,2.0
171,700000.0,"Gloucester Drive, Finsbury Park, N4",N4,2.0
173,650000.0,"190 City Road, London, EC1V",EC1V,2.0
174,525000.0,"Balls Pond Road, Islington N1",N1,2.0
176,625000.0,"Kingsland Road, London, E8",E8,2.0
177,575000.0,"Portfleet Place, De Beauvoir Road, London, N1",N1,2.0
178,550000.0,"Purcell Street, Hoxton, London, N1",N1,3.0
179,1100000.0,"Wilmer Place, London, N16",N16,4.0
181,650000.0,"Aumbrey Apartments, Eastway, London, E9",E9,3.0
183,450000.0,"Lower Clapton Road, London, E5",E5,2.0
184,885000.0,"One Crown Place, Hackney, EC2A",EC2A,1.0
186,500000.0,"Downham Wharf, Islington, N1",N1,1.0
189,375000.0,"Warwick Grove, E5",E5,2.0
190,700000.0,"Royle Building, 31 Wenlock Road, London, N1",N1,1.0
191,525000.0,"Queens Drive, London, N4",N4,2.0
192,500000.0,"Murrain Road, London, N4",N4,1.0
194,775000.0,"Eagle Wharf Road, Hoxton, N1",N1,2.0
195,775000.0,"Eagle Wharf Road, Islington, London, N1",N1,2.0
196,425000.0,"Amhurst Road, Hackney, E8",E8,1.0
198,575000.0,City Road London EC1V,EC1V,0.0
199,550000.0,"Windus Road, Stoke Newington, N16",N16,2.0
200,775000.0,"Shoreditch Exchange, Hackney Road,
E2 8ET",E2,1.0
201,475000.0,"Kenninghall Road, London, E5",E5,2.0
202,459000.0,Woodberry Grove London N4,N4,1.0
204,475000.0,"Skyline Apartments Devan Grove London, N4",N4,1.0
206,1500000.0,"Englefield Road, London, N1",N1,3.0
207,1500000.0,"Englefield Road, London, N1",N1,3.0
208,425000.0,"Allen Road, Stoke Newington, N16",N16,1.0
209,425000.0,"Digby Crescent, London, N4",N4,1.0
210,715000.0,"Marcon Place, Hackney Downs, London, E8",E8,3.0
211,600000.0,"14 Orsman Road, De Beauvoir, N1",N1,2.0
212,925000.0,"6 Rufus Street,, N1",N1,2.0
213,475000.0,"Devan Grove, London, N4",N4,1.0
214,950000.0,"Christina Street, London, EC2A",EC2A,2.0
215,950000.0,"Sylvester Road, London, E8",E8,2.0
216,255000.0,"De Beauvoir Place, 1-3 Tottenham Road, London, N1",N1,1.0
217,350000.0,"Wellington Mansions, Shacklewell Road, London, N16",N16,1.0
218,550000.0,"Colville Estate, Shoreditch N1",N1,3.0
219,950000.0,"Kenton Road, Victoria Park, London, E9",E9,2.0
220,450000.0,"Julius Seal House, 1A Belsham Street, London, E9",E9,1.0
221,410000.0,"Clarence Road, Hackney, E5",E5,3.0
222,1575000.0,"Graham Road, Hackney, London, E8",E8,4.0
225,675000.0,"Castlewood Road, Stamford Hill,
London, 
E5 9AJ",E5,2.0
226,785000.0,"Burville House, Finsbury Park, N4",N4,3.0
227,500000.0,"Provost Street, Shoreditch, London, N1",N1,1.0
229,750000.0,"Cotton Exchange, N16",N16,3.0
230,500000.0,"Enfield Road, London, London, N1 ",N1,1.0
233,360000.0,"Salcombe Road, Dalston, N16",N16,1.0
234,750000.0,"Pellerin Road, London, N16",N16,3.0
235,1825000.0,"Southborough Road, London, E9",E9,5.0
236,415000.0,"Atkins Square, Dalston Lane, London, E8",E8,1.0
237,450000.0,"Clapton Square, Clapton, E5",E5,1.0
239,1050000.0,"Mortimer Road, London, N1",N1,3.0
241,750000.0,"Union Wharf IV, Wenlock Road, London N1",N1,1.0
245,650000.0,"Palladium Court, 319 Queensbridge Road, London, E8",E8,3.0
247,400000.0,"Stoke Newington High Street, N16",N16,1.0
249,240000.0,"Beaumont Court, Upper Clapton Road, London, E5",E5,1.0
250,785000.0,"Glenarm Road, London, E5",E5,3.0
251,300000.0,"Gascoyne Road, Victoria Park, London, E9",E9,0.0
252,420000.0,"Tolsford Road, E5, Hackney Downs, London, E5",E5,2.0
253,1350000.0,"Gloucester Drive, N4 2LN",N4,6.0
254,350000.0,"Regents Court, Pownall Road, Hackney, E8",E8,1.0
255,1175000.0,"Long & Waterson Apartments, 7 Long Street, Hackney, London, E2",E2,3.0
257,1175000.0,"Long & Waterson, Long Street, London, E2",E2,3.0
258,600000.0,"Strand Building, 29 Urswick Road, London, E9",E9,2.0
260,650000.0,"Hertford Road, London, N1",N1,2.0
261,899995.0,"Dalston Lane, London, E8",E8,2.0
262,570000.0,"Brookfield Road, Victoria Park, London, E9",E9,3.0
265,375000.0,"Woodberry Down Estate, London N4",N4,3.0
266,700000.0,"Glebe Road, London, E8",E8,2.0
267,885000.0,"Kenninghall Road, London, E5",E5,3.0
268,999950.0,"Chester Crescent, Dalston, London, E8",E8,3.0
269,650000.0,"Lynmouth Road, London, N16 ",N16,2.0
270,2775000.0,"One Crown Place, Hackney, EC2A",EC2A,3.0
271,1290000.0,"One Crown Place, Hackney, EC2A",EC2A,2.0
274,345000.0,"21 Rosina Street, Hackney, E9",E9,1.0
275,715000.0,"Marcon Place, Hackney Downs, London, E8",E8,3.0
276,400000.0,"Homerton High Street, Homerton, E9",E9,1.0
277,610000.0,"Gloucester Drive, London, N4",N4,2.0
278,775000.0,"The Textile Building, Hackney Central, E9",E9,2.0
279,439000.0,Woodberry Grove London N4,N4,1.0
280,625000.0,"Malcolm House, Hoxton, N1",N1,4.0
283,575000.0,"Shore Place, London, E9",E9,3.0
284,550000.0,"Castle Close, London, E9",E9,3.0
285,3174000.0,"Principal Tower, Worship Street EC2A",EC2A,3.0
286,1413000.0,"Principal Tower, Worship Street, EC2A",EC2A,2.0
288,350000.0,"Silver House, 10 Shacklewell Road, London, N16",N16,1.0
289,695000.0,"Arthaus Building, E8",E8,2.0
290,650000.0,"Richmond Road, London, E8",E8,3.0
291,500000.0,"Gainsborough Studios South, 1 Poole Street, London, N1",N1,1.0
292,450000.0,"4 Andre Street, Hackney, E8",E8,2.0
293,849950.0,"Amhurst Road, London, E8",E8,2.0
294,750000.0,"Barretts Grove, London, N16",N16,3.0
296,485000.0,"Castlewood Road, Stamford Hill,
London, 
E5 9AJ",E5,1.0
299,685000.0,"Cottrill Gardens, Marcon Place, Hackney, E8",E8,3.0
301,1750000.0,"One Crown Place, Hackney, EC2A",EC2A,2.0
302,900000.0,"Harrowgate Road, London, E9",E9,3.0
303,1180000.0,"One Crown Place, Hackney, EC2A",EC2A,1.0
304,995000.0,"One Crown Place, Hackney, EC2A",EC2A,1.0
305,575000.0,"Essence House, Selsea Place, N16",N16,2.0
308,450000.0,"Paragon Road, London, E9",E9,3.0
310,425000.0,"Victorian Grove, Stoke Newington, N16",N16,2.0
312,650000.0,"Digby Crescent, London, N4",N4,2.0
313,699950.0,"Hertford Road, N1",N1,2.0
314,665000.0,"Hawksley Road, Stoke Newington, London N16",N16,2.0
315,300000.0,"Upper Clapton Road, E5",E5,1.0
317,500000.0,"Grand Canal Apartments, London, N1",N1,1.0
318,500000.0,"Dunsmure Road, Stoke Newington, N16",N16,2.0
319,525000.0,"3 Casbeard Street, Clissold Park, N4",N4,1.0
320,675000.0,"Forest Road, London Fields, E8",E8,2.0
322,585000.0,"Mylne Apartments, 93 Barretts Grove, London, N16",N16,2.0
325,450000.0,"Paragon Road, London, E9",E9,3.0
327,550000.0,"Evering Road, E5",E5,2.0
328,415000.0,"Darnley Road, Hackney, London, E9",E9,2.0
329,375000.0,"Garnham Close, Stoke Newington, N16",N16,1.0
330,725000.0,"Casterton Street, London, E8 ",E8,3.0
331,335000.0,"Amhurst Park, Stoke Newington, N16",N16,1.0
332,445000.0,"Retreat Place, London, E9",E9,3.0
333,375000.0,"Forburg Road, London, N16",N16,1.0
335,1500000.0,"Arlington Avenue, Islington, N1",N1,3.0
336,435000.0,"Sach Road, London, E5",E5,1.0
337,675000.0,"Malpas Road, London, E8",E8,4.0
339,660000.0,"Osbaldeston Road, London, N16",N16,2.0
340,325000.0,"Warwick Grove, London, E5 ",E5,1.0
341,435000.0,"Balls Pond Road, London, N1",N1,1.0
342,850000.0,"Bentley Road, London, N1",N1,3.0
343,590000.0,"Bentley Road, London, N1",N1,2.0
344,500000.0,"Boundary Street, Shoreditch, E2",E2,1.0
345,775000.0,"Tudor Road, South Hackney, London, E9",E9,2.0
346,625000.0,"Queen Elizabeths Walk, London, N16",N16,2.0
347,875000.0,"Principal Tower, Worship Street, EC2A",EC2A,1.0
348,875000.0,"Principal Tower, Worship Street, EC2A",EC2A,1.0
349,450000.0,"Glenarm Road, E5",E5,1.0
350,675000.0,"Odell House, The Park Collection, Woodberry Down, N4",N4,2.0
351,290000.0,"Edmeston Close, London, E9",E9,1.0
352,595000.0,"Elderfield Road, London, E5",E5,3.0
353,450000.0,"Evelyn Walk, London N1",N1,2.0
355,1500000.0,"Forburg Road, Stoke Newington, London, N16",N16,5.0
356,325000.0,"Marshall House, Cranston Estate, London, N1",N1,0.0
357,675000.0,"Ocean House, Dalston Square, London, E8",E8,2.0
358,690000.0,"Bevenden Street,
Hoxton,
London,
N1 6BP,",N1,1.0
359,920000.0,"Bevenden Street,
Hoxton,
London,
N1 6BP,",N1,2.0
360,920000.0,"Bevenden Street,
Hoxton,
London,
N1 6BP,",N1,2.0
361,870000.0,"Bevenden Street,
Hoxton,
London,
N1 6BP,",N1,2.0
362,850000.0,"Celandine Drive, Hackney, London, E8",E8,4.0
363,600000.0,"Innovation Studios, Long Street, London, E2",E2,1.0
364,314995.0,"Trelawny Estate, Paragon Road, London, E9 6PQ",E9,1.0
365,725000.0,"2 Bedroom Apartments, Colour House, Bentley Road, London, N1",N1,2.0
366,720000.0,"3 Bedroom Apartments, Colour House, Bentley Road, London, N1",N1,3.0
367,500000.0,"1 Bedroom Apartments, Colour House, Bentley Road, London, N1",N1,1.0
368,425000.0,"Hilborough Court, Livermere Road, London, E8",E8,2.0
369,350000.0,"Clarence Mews, London, E5",E5,1.0
370,1150000.0,"Perch Street, London, E8",E8,5.0
371,425000.0,"Albion Road, N16",N16,1.0
372,550000.0,"Paradise Park, 142A Lea Bridge Road, London, E5",E5,2.0
373,425000.0,"17 Atkins Square, Hackney, E8",E8,1.0
374,85000.0,"Eagle Wharf Marina, Islington N1",N1,1.0
375,775000.0,"Barn Street Yard, Church Street, N16",N16,3.0
376,1400000.0,"Chippendale Street, London, E5",E5,5.0
378,500000.0,"Enfield Road, Islington, London, N1",N1,2.0
379,450000.0,"Holly Street, Hackney, London, E8",E8,2.0
380,550000.0,"Pellerin Road, London, N16",N16,2.0
381,450000.0,"Lauriston Road, Victoria Park, E9",E9,2.0
384,1250000.0,"Principal Tower, Worship Street, EC2A",EC2A,1.0
385,400000.0,"Wilkinson House, Cranston Estate, Hoxton, London, N1",N1,2.0
386,520000.0,"Enfield Road, London, N1 ",N1,2.0
387,375000.0,"Biggs Square, Felstead Street, London, E9",E9,1.0
389,950000.0,"Belgrade Road, London, N16",N16,4.0
390,695000.0,"The Westacre, Woodberry Down, London, N4",N4,2.0
392,635000.0,Woodberry Grove London N4,N4,2.0
393,900000.0,"Southgate Road, De Beauvoir Town, London, N1",N1,2.0
394,400000.0,"Riverside Apartments, , Goodchild Road, London, N4",N4,1.0
395,600000.0,"Willowbrook House, Woodberry Down, Finsbury Park, N4",N4,1.0
396,600000.0,"Willowbrook House, Woodberry Down, Finsbury Park, N4",N4,1.0
399,750000.0,"Eagle Wharf Road, Islington, London, N1",N1,2.0
400,1295000.0,"Ravey Street, London EC2",EC2,1.0
401,1395000.0,"Hertford Road, Islington, London, N1",N1,4.0
402,675000.0,"Crondall Street, Hoxton, London, N1",N1,3.0
406,645000.0,"Saw Mill Way, London N16",N16,2.0
408,425000.0,"Kingsland Road, Shoreditch, London, E2",E2,1.0
410,600000.0,"Southgate Road, London, N1",N1,2.0
411,550000.0,"Ufton Road, De Beauvoir, N1",N1,1.0
412,675000.0,"Balls Pond Road, London, N1",N1,2.0
413,575000.0,"Amhurst Road, Stoke Newington, London, N16",N16,1.0
414,420000.0,"Hackney Downs, Hackney, London, E5",E5,3.0
415,775000.0,"Gainsborough Studios North, 1 Poole Street, London, N1",N1,2.0
416,720000.0,"Middleton Road, London, E8",E8,3.0
421,530000.0,"Morland Estate, London, E8",E8,2.0
422,615000.0,"Adelaide Wharf, 120 Queensbridge Road, London, E2",E2,2.0
423,395000.0,"Thistlewaite Road, London, E5",E5,1.0
425,685000.0,"75-89 Wallis Road & 59 Berkshire Road, 
Hackney Wick,
London
E9",E9,3.0
426,725000.0,"Hanover Court, 5 Stean Street, London, E8",E8,3.0
427,895000.0,"Mortimer Road, London N1",N1,2.0
428,350000.0,"Forburg Road, Stoke Newington, London, N16",N16,1.0
429,570000.0,"Maldon Apartments, Micawber Street, Islington, London, N1",N1,1.0
430,500000.0,"Royle Building , 31 Wenlock Road, London, N1",N1,1.0
431,715000.0,"City Lofts ,  112 Tabernacle Street, London, EC2A",EC2A,1.0
433,699000.0,"Bradbury Mews, London, N16",N16,2.0
434,385000.0,"Glenarm Road, London, E5",E5,1.0
436,475000.0,"Upper Clapton Road, London, E5",E5,3.0
440,450000.0,"Pentland House, N16",N16,3.0
441,1205000.0,"Shoreditch Exchange, Hackney Road,
E2 8ET",E2,3.0
442,2899000.0,"City Road, Shoreditch, London, EC1V",EC1V,3.0
443,500000.0,"Gloucester Drive, N4 2LE",N4,1.0
444,1295000.0,"Ravey Street, London EC2",EC2,1.0
445,475000.0,"Dynevor Road, Stoke Newington, N16",N16,2.0
447,375000.0,"Beecholme Estate, Clapton, E5",E5,2.0
449,475000.0,"Albion Road, London, N16",N16,3.0
450,400000.0,"Watermead House, Hackney, E9",E9,3.0
451,450000.0,"Arbor Court, London, N16",N16,2.0
452,340000.0,"Upper Clapton Road, London, E5",E5,1.0
453,500000.0,"Seven Sisters Road, Finsbury Park, London, N4",N4,2.0
454,500000.0,"Shoreditch High Street, London, E1",E1,1.0
455,750000.0,"Hutley Wharf, 29 Branch Place, London, N1",N1,2.0
456,825000.0,"Haberdasher Street, London, N1",N1,3.0
458,1500000.0,"Queensbridge Road, Hackney, E8",E8,5.0
460,585000.0,"Fellows Court, Weymouth Terrace, London, E2",E2,3.0
