,price,address,postcode,number_bedrooms
0,1100000.0,"Musard Road, London, W6",W6,3.0
3,1300000.0,"Fulham Road, Fulham, London, SW6",SW6,4.0
4,250000.0,"Digby Mansions, Hammersmith Bridge Road, London, W6",W6,0.0
7,435000.0,"Elgin Avenue, Shepherd's Bush, London, W12 9NW",W12,2.0
8,500000.0,"Sinclair Gardens, London, W14",W14,1.0
9,670000.0,"Girdlers Road, Brook Green, London, W14",W14,2.0
10,750000.0,"Stephendale Road, Fulham, London, SW6 ",SW6,2.0
12,535000.0,"Fulham Road, Fulham, London, SW6 ",SW6,1.0
14,1600000.0,"Millers Court, Chiswick, W4",W4,5.0
15,625000.0,"Delaford Street, SW6",SW6,2.0
16,425000.0,"Brompton Park Crescent, London, SW6",SW6,0.0
17,1000000.0,"Crabtree Lane, Bishops Park, London, SW6",SW6,3.0
19,750000.0,"Stephendale Road, Fulham, SW6",SW6,2.0
20,675000.0,"Parkview Court, London, SW6",SW6,2.0
21,650000.0,"Comeragh Road, Barons Court, London, W14",W14,2.0
22,2250000.0,"Wardo Avenue, Munster Village, London, SW6",SW6,5.0
25,1550000.0,"Sinclair Road, 
London,
W14 0LF",W14,2.0
27,510000.0,"Barons Court Road, London, W14",W14,1.0
28,650000.0,"Doulton House, Chelsea Creek, London, SW6",SW6,1.0
29,250000.0,"Burghley Tower, Trinity Way, Acton, W3",W3,2.0
30,1000000.0,"213 Townmead Road, London, SW6",SW6,2.0
31,450000.0,"Wheatsheaf Lane, Fulham, London, SW6",SW6,1.0
32,2000000.0,"Tournay Road, London, SW6",SW6,5.0
33,900000.0,"Addison Gardens, London, W14",W14,2.0
34,380000.0,"Abbey Court, Emlyn Gardens, London, W12",W12,1.0
35,575000.0,"Rainville Road, London, W6",W6,2.0
37,975000.0,"Burlington Road, Parsons Green, Fulham, London, SW6",SW6,2.0
39,575000.0,"Askew Road, Wendell Park, London, W12",W12,3.0
42,395000.0,"Askew Road, Askew Village W12 ",W12,1.0
43,1000000.0,"Tunis Road, London, W12",W12,4.0
45,400000.0,"Sinclair Road, London, W14",W14,1.0
46,1200000.0,"Chesson Road, London, W14",W14,4.0
47,475000.0,"Barons Court Road, London, W14",W14,1.0
49,575000.0,"Heckfield House, Heckfield Place, Fulham, SW6",SW6,1.0
51,675000.0,"Ongar Road, Fulham, SW6",SW6,2.0
52,815000.0,"Bishops Road, Fulham, London, SW6",SW6,3.0
53,700000.0,"The Old Fire Station, 244 Shepherds Bush Road, Hammersmith, London, W6",W6,2.0
55,950000.0,"Fulham Broadway, London, SW6",SW6,2.0
56,875000.0,"Octavia House, 213 Townmead Road, London, SW6",SW6,2.0
