,price,address,postcode,number_bedrooms
0,2250000.0,"Eastern Road, East Finchley, London, N2",N2,4.0
1,595000.0,"Colney Hatch Lane, Muswell Hill, London, N10",N10,2.0
3,375000.0,"Cobham Road, London, N22",N22,2.0
4,359995.0,"Gascoigne Close, Tottenham, London, N17",N17,2.0
5,700000.0,"New Road, Crouch End, London, N8",N8,2.0
6,240000.0,"Compton Crescent, London N17",N17,1.0
8,360000.0,"Newnham Road, London, N22",N22,1.0
11,725000.0,"North View Road, N8",N8,3.0
12,495000.0,"Avenue Road, Highgate, London N6",N6,1.0
14,550000.0,"Hewitt Road, London, N8",N8,2.0
15,550000.0,"Hewitt Road, London, N8",N8,2.0
16,365000.0,"White Hart Lane,
London,
N17 7NA",N17,1.0
17,350000.0,"White Hart Lane,
London,
N17 7NA",N17,1.0
18,399500.0,"White Hart Lane,
London,
N17 7NA",N17,2.0
20,750000.0,"York Road, London, N11",N11,3.0
21,700000.0,"Suffield Road, Seven Sisters, N15",N15,6.0
22,415000.0,"Kimberley Gardens, London, N4",N4,1.0
23,375000.0,"High Road, London, N15",N15,2.0
24,600000.0,"Springcroft Avenue, East Finchley, N2",N2,2.0
25,525000.0,"Church Crescent, N10",N10,1.0
27,450000.0,"Glebe Road, Crouch End, London, N8",N8,2.0
29,975000.0,"Rosebery Road, Muswell Hill, London, N10",N10,3.0
31,550000.0,"Heart of Muswell Hill, N10",N10,2.0
32,375000.0,"Creighton Avenue, London, N10",N10,1.0
33,650000.0,"Bathurst Square, London, N15",N15,3.0
34,300000.0,"Parkland Road, Wood Green N22",N22,1.0
36,550000.0,"Alexandra Road, N8",N8,3.0
38,5750000.0,"Compton Avenue, N6",N6,4.0
39,475000.0,"Spring Apartments, Nightingale Lane, N8",N8,2.0
41,325000.0,"Hampden Road, Harringay Ladder, London, N8",N8,1.0
42,415000.0,"Salisbury Mansions, St. Ann's Road, London, N15",N15,2.0
43,16999999.0,"Courtenay Avenue, London, N6",N6,8.0
46,1200000.0,"Lauradale Road, East Finchley, London, N2",N2,3.0
47,250000.0,"Somerset Gardens, London, N17",N17,2.0
49,450000.0,"Tottenhall Road, Palmers Green, London, N13",N13,2.0
50,450000.0,"Trinity Road, Bounds Green, London, N22",N22,2.0
51,850000.0,"Broadwater Road, South Totteham, Haringey, London, N17",N17,5.0
52,925000.0,"Christchurch Road, Crouch End N8",N8,3.0
53,650000.0,"Sirdar Road, London, N22 ",N22,3.0
54,435000.0,"Muswell Hill Broadway, Muswell Hill, London, Greater London, N10",N10,2.0
55,1200000.0,"Muswell Avenue, Muswell Hill, London, N10",N10,3.0
56,300000.0,"Nightingale Road, London, N22",N22,1.0
58,500000.0,"Victoria Road, Alexandra Park, London, N22",N22,2.0
59,499950.0,"Whittington Court, Aylmer Road, N2",N2,2.0
60,650000.0,"Sirdar Road, London, N22",N22,3.0
61,300000.0,"Portland Road, London, N15",N15,1.0
62,400000.0,"Kessock Close, London, N17",N17,2.0
63,2375000.0,"Great North Road, Highgate, London, N6",N6,6.0
64,505000.0,"Apple Tree Road,
London,
N17 6PN",N17,2.0
65,365000.0,"Appleby Close, Tottenham, London, N15",N15,2.0
66,410000.0,"Broadwater Road, London, N17",N17,2.0
67,399950.0,"Haslemere Road, Crouch End, London, N8",N8,1.0
68,525000.0,"Maurice Avenue, London, N22",N22,2.0
69,410000.0,"Lido Square, Tottenham, London, Uk, N17",N17,2.0
71,830000.0,"Boyton Close, Hornsey N8",N8,3.0
74,425000.0,"Westpoint Apartments, Clarendon Road, N8",N8,2.0
75,715000.0,"Linley road, london, N17",N17,4.0
76,415000.0,"Salisbury Mansions, St. Ann's Road, Harringay, London, N15",N15,2.0
77,715000.0,"Cross Lane,
Hornsey,
London,
N8",N8,3.0
78,450000.0,"Amazon Apartments, New River Village, Hornsey, N8",N8,2.0
80,1750000.0,"Glasslyn Road, N8",N8,5.0
81,565000.0,"Richmond Road, London, N11",N11,2.0
82,460000.0,"Pemberton Road, London, N4",N4,2.0
83,370000.0,"Gilson Place, Coppetts Road, London, N10",N10,2.0
85,525000.0,"Milton Road, London N22",N22,3.0
86,435000.0,"Lascotts Road, London, N22",N22,2.0
89,500000.0,"Haslemere Road, Crouch End, London, N8",N8,2.0
90,425000.0,"Muswell Hill Place, Muswell Hill, London, N10",N10,1.0
91,385000.0,"Poynton road, london, N17",N17,2.0
92,553500.0,"Ferry Lane,
London,
N17",N17,2.0
93,499995.0,"Willingdon Road, N22",N22,2.0
94,700000.0,"Stanley Road, London, N15",N15,4.0
95,800000.0,"Langham Road, London N15",N15,3.0
96,517500.0,"Ferry Lane,
London,
N17",N17,2.0
97,318500.0,"Ferry Lane,
London,
N17",N17,0.0
99,395000.0,"Talbot Road, London, N15",N15,2.0
