,price,address,postcode,number_bedrooms
0,980000.0,"Athol Close, Pinner, HA5",HA5,6.0
1,970000.0,"St. Michaels Crescent, Pinner, HA5",HA5,5.0
2,375000.0,"Vaughan Road, West Harrow, Harrow, HA1",HA1,2.0
4,475000.0,"Somervell Road, Harrow, HA2 8TY ",HA2,3.0
5,650000.0,"Manor Way, Harrow, HA2",HA2,3.0
7,344000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
8,335000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
9,347000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
10,419000.0,"Honeypot Lane,
London,
NW9",NW9,2.0
11,349000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
12,2500000.0,"Common Road, Stanmore, HA7",HA7,6.0
14,425000.0,"West End Avenue, Pinner, Middlesex HA5",HA5,2.0
16,285000.0,"Dorchester Avenue, West Harrow, HA2",HA2,1.0
18,430000.0,"Camden Row, Cuckoo Hill, Pinner, Middlesex, HA5",HA5,2.0
19,450000.0,"Moorhouse Road, Harrow, HA3",HA3,3.0
20,700000.0,"Kenton Road, Greater London, HA3",HA3,5.0
23,650000.0,"Nelson Road, Harrow HA1",HA1,3.0
24,360000.0,"Coral Court, Serenity Close, Harrow, HA2 0FW ",HA2,2.0
25,132000.0,"Honeypot Lane,
London,
NW9",NW9,1.0
29,175000.0,"Sherwood Road, South Harrow, Harrow, HA2",HA2,1.0
30,800000.0,"Harrow Fields Gardens, Harrow on the Hill, Harrow, HA1",HA1,4.0
31,650000.0,"Cotman Gardens, Edgware, HA8",HA8,5.0
32,1300000.0,"Soane Square, Stanmore, HA7",HA7,3.0
36,335000.0,"Cunningham Park, Harrow, Middlesex, HA1",HA1,1.0
40,425000.0,"Greenway, Pinner, HA5",HA5,3.0
42,650000.0,"Worple Way, Harrow, Middlesex, HA2",HA2,3.0
44,285000.0,"Clewer Crescent, Harrow, HA3",HA3,2.0
47,475000.0,"Leamington Crescent, Harrow, Middlesex, HA2",HA2,4.0
48,550000.0,"Daventer Drive, Stanmore, Middlesex, HA7",HA7,3.0
49,475000.0,"Park Mead,Harrow,HA2",HA2,3.0
51,825000.0,"Headstone Lane, Harrow, Middlesex, HA2",HA2,3.0
52,875000.0,"Abbey Close, Pinner, Middlesex HA5",HA5,4.0
53,400000.0,"Elm Park Road, Pinner, Middlesex HA5",HA5,2.0
54,300000.0,"Beechcroft Avenue, Harrow, Middlesex, HA2",HA2,2.0
55,400000.0,"Belmont Road, Harrow, Middlesex, HA3",HA3,2.0
56,525000.0,"Headstone Drive, Harrow, Middlesex, HA1",HA1,3.0
57,595000.0,"Harrow View,
North Harrow,
Harrow,
HA2",HA2,3.0
58,645000.0,"Harrow View,
North Harrow,
Harrow,
HA2",HA2,5.0
59,312500.0,"Ivy Close, Harrow, Middlesex, HA2",HA2,2.0
60,700000.0,"Parkfield Crescent, Harrow, HA2",HA2,4.0
61,600000.0,"Richmond Gardens,Harrow,HA3",HA3,4.0
63,875000.0,"Clamp Hill, Stanmore, Middlesex, HA7",HA7,4.0
64,685000.0,"Wemborough Road, Stanmore, Middlesex, HA7",HA7,4.0
65,475000.0,"Wigton Gardens, Stanmore, Middlesex, HA7",HA7,3.0
66,300000.0,"Alexandra Avenue, Harrow, Middlesex, HA2",HA2,2.0
68,375000.0,"Roe Lane, London, NW9",NW9,2.0
69,750000.0,"The Chase, Stanmore, HA7",HA7,3.0
70,649950.0,"Northumberland Road, North Harrow, Middlesex HA2 7RB",HA2,3.0
72,800000.0,"Colburn Avenue, Pinner, Middlesex, HA5",HA5,3.0
73,875000.0,"Clamp Hill, Stanmore, HA7",HA7,4.0
74,365000.0,"Bolton Road, Harrow, Middlesex, HA1",HA1,1.0
75,475000.0,"Northolt Road, South Harrow, Harrow, HA2",HA2,2.0
77,700000.0,"The Ridgeway, North Harrow, Harrow, Middlesex, HA2",HA2,3.0
82,130000.0,"Jem Paterson Court, Harrow, HA1",HA1,1.0
83,175000.0,"Sherwood Road, Harrow, Middlesex, HA2",HA2,1.0
86,550000.0,"Pinner Hill Road, Pinner, Middlesex HA5",HA5,2.0
89,365000.0,"Belmont Road, Harrow, HA3",HA3,2.0
93,679950.0,"Cheyneys Avenue,Canons park,HA8",HA8,3.0
94,325000.0,"Northolt Road, Harrow, Middlesex, HA2",HA2,1.0
95,590000.0,"Lower Road, Harrow, ,, HA2 0DA",HA2,3.0
96,299950.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,0.0
97,600000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,2.0
98,385000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,1.0
99,565000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,2.0
100,1000000.0,"Elmwood Avenue, Harrow, Middlesex, HA3",HA3,6.0
101,315000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,0.0
102,355000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,1.0
103,600000.0,"Taona House, 39-45 Merrion Avenue, Stanmore, Middlesex, HA7",HA7,2.0
104,825000.0,"Malpas Drive, Pinner, Middlesex, HA5",HA5,4.0
105,295000.0,"Imperial Drive, Harrow, HA2",HA2,1.0
106,135000.0,"Sherwood Road, South Harrow, Harrow, HA2",HA2,1.0
107,475000.0,"Northolt Road, South Harrow, Harrow, HA2",HA2,2.0
108,270000.0,"Roxborough Heights, Headstone Road, Harrow, London, HA1 1GP",HA1,1.0
109,750000.0,"Kynance Gardens, Stanmore, HA7",HA7,4.0
110,325000.0,"Kent House, Stratton Close, Edgware, HA8",HA8,2.0
112,1400000.0,"Uxbridge Road,Harrow,HA3",HA3,7.0
113,649000.0,"Marsh Lane, Stanmore, HA7",HA7,3.0
114,300000.0,"Imperial Close, Harrow, HA2",HA2,1.0
115,590000.0,"Lower Road, Harrow, HA2 0DA",HA2,3.0
117,450000.0,"Carmelite Road, Harrow, Middlesex, HA3",HA3,3.0
118,800000.0,"Roxborough Road, Harrow, Middlesex, HA1",HA1,4.0
120,325000.0,"Hollydale Close, Northolt, UB5",UB5,2.0
121,410000.0,"  PARCEVEL SQUARE, COLLEGE ROAD , HARROW, HARROW, HA1",HA1,1.0
124,250000.0,"Queens House, Kymberley Road, Harrow, HA1",HA1,0.0
126,325000.0,"Bovis House, South Harrow, Harrow, HA2",HA2,1.0
127,485000.0,"Bovis House, South Harrow, Harrow, HA2",HA2,2.0
