,price,address,postcode,number_bedrooms
1,475000.0,"Hillview Avenue, Hornchurch, RM11",RM11,4.0
3,475000.0,"Standen Avenue, Hornchurch, RM12",RM12,3.0
5,450000.0,"Church Road, Romford, RM3",RM3,3.0
6,800000.0,"Wingletye Lane, Hornchurch, RM11",RM11,4.0
8,425000.0," Upper Rainham Road,  Hornchurch, RM12",RM12,3.0
9,475000.0,"Belmont Avenue, Upminster, Essex, RM14",RM14,2.0
12,350000.0,"Rush Green Road, Romford, London, RM7",RM7,3.0
13,300000.0,"Avenue Close, Romford, RM3",RM3,2.0
14,499950.0,"Fernden Way, Romford, RM7 9PJ",RM7,4.0
15,300000.0,"Walton Road, Romford, London, RM5",RM5,2.0
16,2000000.0,"Engayne Gardens, Upminster, RM14",RM14,5.0
17,280000.0,"Safflower Lane, Romford, RM3",RM3,1.0
18,375000.0,"Fontayne Avenue, Romford, RM1",RM1,2.0
19,375000.0,"New Coach House, Safflower Lane, Harold Wood, RM3",RM3,2.0
20,570000.0,"Mansfield Gardens, Hornchurch, Essex, RM12",RM12,3.0
21,225000.0,"Hazeleigh House, Market Link, ROMFORD, RM1",RM1,1.0
22,435000.0,"Wilton Drive, Collier Row, Romford, Havering, RM5",RM5,5.0
23,425000.0,"Eastern Avenue East, Gidea Park, RM2",RM2,3.0
29,1100000.0,"Benets Road, RM11 3PT",RM11,5.0
32,375000.0,"Stanford Close, Romford, London, RM7",RM7,3.0
35,450000.0,"Oak Glen, Hornchurch, RM11",RM11,3.0
36,375000.0,"Swindon Lane, Romford, RM3",RM3,3.0
37,225000.0,"Holland Close, Romford, RM7",RM7,1.0
39,325000.0,"Montgomery Crescent, Romford, RM3",RM3,3.0
41,190000.0,"Victor Close, Hornchurch, Essex, RM12",RM12,1.0
46,475000.0,"Heather Avenue, Rise Park, RM1",RM1,4.0
48,375000.0,"Taunton Road, Romford, Essex, RM3",RM3,3.0
49,450000.0,"Belgrave Avenue, Gidea Park, RM2",RM2,3.0
51,550000.0,"Goodwood Avenue, Hornchurch, RM12",RM12,3.0
52,375000.0,"Carnforth Gardens, Elm Park, Essex, ., RM12",RM12,3.0
53,1250000.0,"Broxhill Road, Havering-Atte-Bower, Romford, RM4",RM4,6.0
54,350000.0,"St. Johns Road, Romford, London, RM5",RM5,3.0
55,345000.0,"Penrith Road, Romford, RM3",RM3,3.0
57,290000.0,"Stafford Avenue, Hornchurch, Essex, RM11",RM11,2.0
58,320000.0,"Granton Avenue, Upminster, RM14",RM14,2.0
61,300000.0,"Station Lane, Hornchurch, RM12",RM12,2.0
62,220000.0,"Messant Close, Harold Wood, RM3",RM3,1.0
65,485000.0,"The Limes, Hornchurch, RM11",RM11,3.0
66,350000.0,"Daventry Road, Harold Hill, Romford, Havering, RM3",RM3,3.0
67,450000.0,"Cross Road, Mawneys, Romford, Havering, RM7",RM7,3.0
68,270000.0,"York House, 50 Western Road, Romford, RM1",RM1,2.0
69,550000.0,"Shelley Avenue, Hornchurch, RM12",RM12,4.0
70,360000.0,"Collingwood Road, Rainham, RM13",RM13,2.0
71,400000.0,"Limerick Gardens, Upminster, RM14",RM14,3.0
73,290000.0,"Chipping Lodge, 87 Western Road, Romford, RM1",RM1,2.0
74,425000.0,"Ferguson Avenue, Gidea Park, RM2",RM2,2.0
77,315000.0,"Petersfield Close, Romford, RM3",RM3,2.0
81,209000.0,"Holland Close, Romford, Essex, RM7",RM7,1.0
83,425000.0,"Stanley Road, Hornchurch, RM12",RM12,3.0
85,525000.0,"Stanley Road, Hornchurch, RM12",RM12,3.0
86,550000.0,"Ardleigh Green Road, Hornchurch, RM11",RM11,4.0
87,450000.0,"Howard Road, Upminster, Essex, RM14",RM14,2.0
88,250000.0,"Tadworth Parade, Hornchurch, RM12",RM12,2.0
89,500000.0,"Hornchurch Road, Hornchurch, RM11",RM11,3.0
90,400000.0,"Bamford Way, Romford, London, RM5",RM5,3.0
91,325000.0,"Gelsthorpe Road, Romford, London, RM5",RM5,2.0
92,600000.0,"Ardleigh Green Road, Hornchurch, RM11",RM11,2.0
93,300000.0,"Carnforth House, Carnforth Gardens, Hornchurch, RM12",RM12,2.0
94,375000.0,"Nelmes Court, Nelmes Way, Hornchurch, RM11",RM11,2.0
95,425000.0,"Laburnum Walk, Hornchurch, Essex, RM12 5RP",RM12,3.0
97,400000.0,"Lakeside, Rainham, Essex, RM13",RM13,3.0
98,260000.0,"London Road, Romford, RM7",RM7,2.0
99,170000.0,"Braithwaite Avenue, Romford, RM7",RM7,1.0
100,375000.0,"St Andrews Avenue, Elm Park, Essex, RM12 5DU",RM12,3.0
103,700000.0,"Woodlands Road, Romford, RM1",RM1,4.0
104,425000.0,"Fulmar Road, Hornchurch, Essex, ., RM12",RM12,4.0
106,375000.0,"Freeborne Gardens, Rainham, RM13",RM13,3.0
107,300000.0,"Tyrells Close, Upminster, RM14",RM14,2.0
110,725000.0,"Meadway, Romford, London, RM2",RM2,3.0
111,800000.0,"Mavis Grove, Hornchurch, RM12",RM12,5.0
112,475000.0,"Seaforth Close, Romford, London, RM1",RM1,3.0
113,550000.0,"Edison Avenue, Hornchurch, RM12",RM12,4.0
115,260000.0,"Ash Court, Jutsums Lane, Romford, RM7",RM7,2.0
116,375000.0,"Norwood Avenue, Romford, Essex, RM7",RM7,3.0
117,575000.0,"Eldred Gardens, Upminster, Essex, RM14",RM14,3.0
118,650000.0,"Steed Close, Hornchurch, Essex, RM11",RM11,5.0
119,550000.0,"Marlborough Road, Romford, RM7 ",RM7,3.0
120,260000.0,"Mercury Gardens, Romford, Havering, RM1",RM1,2.0
121,400000.0,"Farm Way, Hornchurch, RM12",RM12,3.0
122,699995.0,"Walden Road, Borders of Emerson Park, Hornchurch, London, RM11",RM11,4.0
123,495000.0,"Lynwood Close, Romford, Essex, RM5",RM5,3.0
124,400000.0,"Kerry Close, Upminster, Essex, RM14",RM14,3.0
126,425000.0,"Rosedale Road, Romford, Essex, RM1",RM1,3.0
131,1050000.0,"Grosvenor Gardens, Upminster, Essex, RM14",RM14,5.0
132,215000.0,"Marwell Close, Romford, RM1",RM1,1.0
133,400000.0,"Havering Road, Romford, London, RM1",RM1,2.0
135,400000.0,"Craven Gardens, Romford, RM3",RM3,3.0
136,300000.0,"Lucerne Way, Romford, RM3",RM3,3.0
137,575000.0,"Priory Road, Noak Hill, RM3",RM3,4.0
140,900000.0,"Wayside Close, Romford, Essex, RM1",RM1,4.0
141,365000.0,"South End Road, Elm Park, Essex, RM12",RM12,3.0
143,439995.0,"Geoffrey Avenue, Romford, London, RM3",RM3,3.0
145,275000.0,"2 Thomas Drive, Romford, RM2",RM2,2.0
146,425000.0,"St Andrews Avenue, Elm Park, Essex, RM12",RM12,3.0
148,1300000.0,"Grosvenor Gardens, Upminster, Essex, RM14",RM14,4.0
149,445000.0,"Moray Way, Romford, Essex, RM1",RM1,4.0
150,475000.0,"Standen Avenue, Hornchurch, RM12",RM12,3.0
151,250000.0,"Erith Crescent, Romford, London, RM5",RM5,2.0
153,425000.0,"Berkeley Avenue, Romford, RM5",RM5,3.0
154,416500.0,"New Road, 
Rainham, 
Essex, 
RM13 8QT",RM13,3.0
155,230000.0,"Maxwell Road, Romford, RM7",RM7,1.0
158,450000.0,"Clement Way, Upminster, Essex, RM14",RM14,3.0
159,625000.0,"Moor Lane, Upminster, RM14",RM14,4.0
163,675000.0,"Repton Avenue, Gidea Park, RM2",RM2,4.0
164,535000.0,"Orchard Avenue, Rainham, Essex, RM13",RM13,4.0
165,375000.0,"Knightsbridge Gardens, Romford, London, RM7",RM7,3.0
166,575000.0,"Riversdale Road, Romford, London, RM5",RM5,5.0
167,325000.0,"Eagle Close, Hornchurch, Essex, RM12",RM12,3.0
168,425000.0,"Cecil Avenue, Ardleigh Green, Hornchurch, London, RM11",RM11,3.0
169,375000.0,"Thurso Close,  Harold Wood, Romford, RM3",RM3,3.0
171,550000.0,"Upminster Road, Hornchurch, Essex, RM12",RM12,3.0
172,465000.0,"Macdonald Avenue, Hornchurch, RM11",RM11,3.0
