,price,address,postcode,number_bedrooms
0,360000.0,"Edwards Avenue, Ruislip, HA4",HA4,2.0
1,899950.0,"Swakeleys Road, Ickenham, UB10",UB10,4.0
2,350000.0,"Navigation Building, UB3",UB3,3.0
3,425000.0,"Burgundy Court, 31 Arla Place, Ruislip, Middlesex, HA4",HA4,2.0
4,600000.0,"Stafford Road, Ruislip, Middlesex, HA4",HA4,3.0
5,1295000.0,"Dukes Ride, Ickenham, Middlesex, UB10",UB10,4.0
8,319950.0,"Petworth Gardens, Hillingdon, UB10",UB10,2.0
9,600000.0,"Canal Way, Harefield, Uxbridge, Middlesex, UB9",UB9,3.0
10,460000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,2.0
11,320000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,1.0
12,365000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,1.0
13,470000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,2.0
14,350000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,1.0
15,475000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,2.0
16,325000.0,"Corinthian Court, 1 Station Approach, Ruislip, Middlesex, HA4",HA4,0.0
17,380000.0,"Lime Court Lime Grove, Ruislip, Middlesex, HA4",HA4,2.0
18,575000.0,"The Vale SOUTH RUISLIP, Ruislip, HA4",HA4,3.0
19,375000.0,"Springwell Lane, Rickmansworth, WD3",WD3,2.0
22,450000.0,"Berkeley Road, Hillingdon, UB10",UB10,3.0
23,575000.0,"Oxford Drive, Ruislip, Middlesex, HA4",HA4,3.0
26,520000.0,"Fifth Avenue, Hayes, UB3 2ER",UB3,4.0
27,345000.0,"Wallace Close, Uxbridge, Middlesex, UB10",UB10,2.0
28,249950.0,"West Quay Drive, Yeading, UB4 9TA",UB4,1.0
30,900000.0,"Reginald Road, Northwood, Middlesex, HA6",HA6,5.0
33,825000.0,"West End Road, Ruislip, HA4",HA4,4.0
34,749950.0,"Hawthorne Avenue, Ruislip, Middlesex, HA4",HA4,3.0
35,425000.0,"1 Wren Lane, Ruislip, HA4",HA4,2.0
36,900000.0,"Tudor Close, Eastcote, Pinner, Middlesex, HA5",HA5,5.0
37,400000.0,"Evergreen Drive, West Drayton, Middlesex, UB7 9GQ",UB7,2.0
39,640000.0,"Green Lane, Hillingdon, Uxbridge, UB8",UB8,4.0
42,475000.0,"Monarch Drive, Hayes, UB3",UB3,3.0
45,500000.0,"Misbourne Rd, Hillingdon, Middlesex, UB10",UB10,3.0
46,650000.0,"Ivy House Road, Ickenham, UB10",UB10,3.0
48,900000.0,"St. Martins Approach, Ruislip, Middlesex, HA4",HA4,3.0
49,255000.0,"Swakeleys Road, Ickenham, UB10",UB10,1.0
51,435000.0,"Perkins Gardens, Uxbridge, UB10",UB10,2.0
53,500000.0,"Sussex Road, Ickenham, UB10",UB10,2.0
54,450000.0,"Frithwood Avenue, Northwood, Middlesex, HA6",HA6,2.0
56,730000.0,"Copthall Road West, Ickenham, UB10",UB10,5.0
58,374950.0,"Long Drive, South Ruislip, Ruislip, HA4",HA4,2.0
60,1500000.0,"Highfield Drive, Ickenham, Uxbridge, Middlesex, UB10",UB10,5.0
62,600000.0,"Woodlands Avenue, Ruislip, Middlesex, HA4",HA4,3.0
63,635000.0,"Clovelly Close, Ickenham, UB10",UB10,4.0
64,350000.0,"Rosedale Avenue, Hayes, Middlesex, UB3",UB3,2.0
65,319950.0,"West End Road, Ruislip, Middlesex, HA4",HA4,2.0
68,685000.0,"Pavilion Way, Ruislip, Middlesex, HA4",HA4,4.0
69,350000.0,"Cedar Place, Gateway Close, Northwood, HA6 2RW",HA6,2.0
70,500000.0,"Carmichael Close, Ruislip, Middlesex, HA4",HA4,3.0
72,600000.0,"Pavilion Way, Ruislip, Middlesex, HA4",HA4,3.0
73,319950.0,"West End Road, Ruislip, HA4",HA4,2.0
75,730000.0,"Copthall Road West, Ickenham, UB10",UB10,5.0
80,300000.0,"Edgar Road, Yiewsley, West Drayton, UB7",UB7,2.0
81,180000.0,"Newcourt, Uxbridge, UB8",UB8,0.0
82,280000.0,"1 Hamble Drive, Hayes, UB3",UB3,1.0
84,649950.0,"Bath Road, Colnbrook By Pass, West Drayton, UB7",UB7,3.0
85,500000.0,"Violet Avenue, Hillingdon, UB8",UB8,3.0
86,474950.0,"Goshawk Gardens, Hayes, UB4 8LA",UB4,3.0
87,385000.0,"Harlington Road, Hillingdon, UB8",UB8,3.0
88,275000.0,"Crispin Way, Hillingdon, UB8",UB8,2.0
89,550000.0,"Barlee Crescent, Uxbridge, UB8",UB8,6.0
90,430000.0,"Stuart Crescent, Hayes, Middlesex, UB3",UB3,3.0
92,649950.0,"Kings Road, Uxbridge, Middlesex, UB8",UB8,4.0
93,600000.0,"Church Road, Uxbridge, Middlesex, UB8",UB8,3.0
