,price,address,postcode,number_bedrooms
2,564950,"Royston Close, Hounslow, TW5",TW5,4.0
5,425000,"Hayling Avenue, Feltham, TW13",TW13,3.0
8,285000,"Islay Gardens, Hounslow, TW4",TW4,2.0
9,450000,"Watchfield Court, London, W4",W4,1.0
10,390000,"Myrtle Road, Hounslow, TW3",TW3,3.0
11,1600000,"Millers Court, Chiswick, W4",W4,5.0
13,875000,"Ennismore Avenue, Chiswick, London, W4",W4,2.0
14,225000,"Berberis House, Highfield Road, Feltham, Middlesex, TW13",TW13,1.0
15,1250000,"Chiswick Staithe, Hartington Road, London, W4",W4,4.0
16,795000,"Prebend Gardens, London, W6",W6,3.0
17,1695000,"Quayside House, 8 Kew Bridge Road, Brentford, Middlesex, TW8",TW8,3.0
19,370000,"Twickenham Road, Isleworth, TW7",TW7,2.0
20,125000,"Ferry Quays, Brentford, TW8",TW8,2.0
21,259000,"Redford Close, Feltham, TW13",TW13,2.0
22,620000,"Syon Lane, Isleworth, Middlesex, TW7 5NQ",TW7,3.0
23,400000,"Edensor Gardens, London, W4",W4,2.0
24,1600000,"Eastbourne Road, Grove Park, Chiswick, London, W4",W4,4.0
25,835000,"Kew Bridge Road, Kew Bridge, Brentford, TW8",TW8,2.0
26,300000,"Harlington Road West, Feltham, TW14",TW14,3.0
27,975000,"Chiswick High Road, London, W4",W4,2.0
29,650000,"Concord Court, Palladian Gardens, London, W4",W4,1.0
30,475000,"Hounslow,Middlesex,TW4",TW4,3.0
32,599950,"Grove Park Gardens, London, W4",W4,2.0
34,315000,"Feltham,Middlesex,TW13",TW13,2.0
36,435000,"Shaftesbury Avenue, Feltham, Middlesex, TW14",TW14,3.0
37,359950,"Langtry Court, Lanadron Close, Isleworth, TW7",TW7,2.0
39,419950,"Lansbury Avenue, Feltham, Middlesex, TW14",TW14,3.0
40,865000,"Boston Vale, Hanwell, W7",W7,3.0
41,349950,"New Road, Hanworth, TW13",TW13,2.0
42,399950,"Norman Avenue, Hanworth, Middlesex, TW13",TW13,3.0
47,460000,"Eastbourne Road, Feltham, TW13",TW13,3.0
48,679000,"Inwood Avenue, Hounslow, TW3",TW3,5.0
51,459950,"Martindale Road, Hounslow, TW4 ",TW4,3.0
52,835000,"Kew Bridge Road, Kew Bridge, Brentford, TW8",TW8,2.0
53,2000000,"Oxford Road North, Chiswick, London, W4",W4,4.0
55,775000,"Martindale Road, Hounslow, TW4",TW4,5.0
60,235000,"Lanigan Drive, Hounslow, TW3",TW3,1.0
61,335000,"Pears Road, 
Hounslow, London,
TW3",TW3,1.0
65,3500000,"Lamb Brewery Studios, Chiswick, W4",W4,5.0
69,500000,"Sloane Court, 28 The Grove, Isleworth, TW7",TW7,2.0
70,600000,"Huntingdon Gardens, Grove Park, Chiswick, W4",W4,2.0
72,485000,"Queens Road, Feltham, Middlesex, TW13",TW13,3.0
73,240000,"Burket Close, Southall, UB2",UB2,1.0
75,450000,"Woodfield Road, Hounslow, TW4",TW4,3.0
78,725000,"Broad Walk, Heston, TW5 9AA",TW5,6.0
79,409950,"Church Road, Feltham, Surrey, TW13",TW13,3.0
80,250000,"Bracken End, Isleworth, Middlesex, TW7",TW7,1.0
81,415000,"Staveley Gardens, Grove Park, London, W4",W4,2.0
83,2650000,"Dukes Avenue, Chiswick, London, W4",W4,5.0
85,435000,"Regatta Point, 38 Kew Bridge Road, Brentford, Middlesex, TW8",TW8,1.0
88,2000000,"Pleydell Avenue, London, W6",W6,5.0
91,425000,"Ellesmere Road, London, W4",W4,3.0
94,2300000,"Airedale Avenue, Chiswick, London, W4",W4,5.0
95,535000,"Connaught Avenue, Hounslow, TW4",TW4,3.0
100,950000,"Ernest Gardens, London, W4",W4,3.0
101,374950,"Frampton Road, Hounslow, TW4",TW4,2.0
102,375000,"Saxon Avenue, Feltham, TW13",TW13,2.0
103,279950,"15 Page Road, Feltham, TW14",TW14,2.0
104,2250000,"Alwyn Avenue, Central Chiswick, Chiswick, London, W4",W4,5.0
105,1000000,"Cornwall Grove, Central Chiswick, Chiswick, London, W4",W4,4.0
107,289950,"Canalside Gardens, Southall, UB2",UB2,2.0
109,325000,"Homecross House, Chiswick, W4",W4,1.0
111,319950,"Swan Road, Hanworth, TW13",TW13,2.0
116,625000,"Osprey House, Lower Square, Old Isleworth, TW7",TW7,2.0
118,175000,"Ham Wharf, Brentford, TW8",TW8,2.0
120,230000,"Green Dragon Lane , Green Dragon Lane , TW8 ",TW8,1.0
121,1250000,"Compton Crescent, London, W4",W4,4.0
122,270000,"Rothwell House, Biscoe Close, Heston, TW5",TW5,2.0
123,825000,"Clifden Road, Brentford TW8",TW8,4.0
