,price,address,postcode,number_bedrooms
0,1150000.0,"Martineau Mews, Highbury, London, ., N5",N5,3.0
2,365000.0,"Geffrye Court, Hoxton, N1",N1,1.0
3,500000.0,"Holloway Road, Islington, London, N7",N7,2.0
6,1200000.0,"Maiden Place, London, NW5",NW5,3.0
8,425000.0,"Bunning Way, London, N7",N7,2.0
9,860000.0,"Britton Street, EC1M",EC1M,2.0
10,420000.0,"Seaforth Crescent, London, N5",N5,1.0
12,900000.0,"Dance Square, London, EC1V",EC1V,2.0
17,2850000.0,"Barnsbury Street, Barnsbury, Islington, London, N1",N1,4.0
18,800000.0,"Islington Green, London, N1",N1,2.0
19,450000.0,"Legard Works, Legard Road, Islington, London, N5",N5,0.0
20,625000.0,"Eaststand Apartments, Highbury Stadium Square, London, N5",N5,2.0
21,425000.0,"Kingsland Road, De Beauvoir Town, London, E8",E8,1.0
22,620000.0,"St John Street, London, EC1V",EC1V,1.0
23,1100000.0,"Islington Green, Angel, London, N1",N1,2.0
24,960000.0,"Aldersgate Street, Barbican, London, EC1A",EC1A,2.0
25,500000.0,"St Peter's Way, Islington, N1",N1,2.0
26,1000000.0,"Hornsey Road, Islington, London, N7",N7,4.0
30,1100000.0,"Palmerston House, St Paul Street, London, N1",N1,2.0
31,650000.0,"Essex Road, Angel, Islington, N1",N1,2.0
32,475000.0,"Howell House, Hilldrop Estate, London, N7",N7,2.0
34,650000.0,"Stradbroke Road, London, N5",N5,2.0
37,350000.0,"King Henry's Walk, N1",N1,1.0
38,750000.0,"Queensland Road, Islington, London, N7",N7,2.0
39,500000.0,"Aubert Court, Avenell Road, Highbury, London, N5",N5,2.0
40,630000.0,"Gulland Walk, London, N1",N1,3.0
41,1050000.0,"Highbury Place, London, N5",N5,2.0
42,1050000.0,"Windsor Road, Holloway, London, N7",N7,6.0
44,450000.0,"Northampton Street, N1 2UX",N1,1.0
45,375000.0,"Charlton Court, 75 Brecknock Road, London, N7",N7,1.0
46,750000.0,"Waterlow Road, Archway, N19",N19,2.0
