,price,address,postcode,number_bedrooms
0,2650000.0,Addison Place W11,W11,3.0
1,1695000.0,"Lancaster Close,St Petersburgh Pl W2,W2",W2,3.0
3,1150000.0,"Collingham Place, Earls Court, London, SW5",SW5,3.0
4,6150000.0,"Cadogan Square, London, SW1X",SW1X,3.0
5,2100000.0,"Queen's Gate Place, London, SW7",SW7,2.0
7,1300000.0,"Lennox Gardens, SW1X",SW1X,1.0
9,465000.0,"Sloane Avenue Mansions, Sloane Avenue, SW3",SW3,0.0
10,670000.0,"Girdlers Road, Brook Green, London, W14",W14,2.0
11,1850000.0,"Holland Villas, London, W14",W14,3.0
12,2000000.0,"Wallgrave Road, Kensington, London, SW5",SW5,3.0
14,895000.0,"Chelsea Towers, Chelsea Manor Gardens, Chelsea, London, SW3",SW3,1.0
15,1500000.0,"Queens Gate Place, London, SW7",SW7,2.0
16,2950000.0,"Elystan Place, Chelsea, London, SW3",SW3,3.0
17,575000.0,"Pembridge Villas, Notting Hill, London, W2",W2,1.0
18,1625000.0,"Strangways Terrace, Holland Park, London, W14",W14,2.0
19,375000.0,"Warwick Road, Earls Court, London, SW5",SW5,0.0
20,600000.0,"Chelsea Court, 95 Elm Park Gardens, London, SW10",SW10,1.0
21,850000.0,"The Sandhills, Limerston Street, London, SW10",SW10,3.0
22,2750000.0,"Courtfield Gardens, London, SW5",SW5,2.0
23,675000.0,"Pinehurst Court, 1-3 Colville Gardens, London, W11",W11,1.0
24,750000.0,"Kensington House 157-159 Notting Hill Gate, Kensington, London, W11",W11,2.0
25,800000.0,"Earls Court Square, Earls Court, London, SW5",SW5,1.0
26,2000000.0,"Hillgate Place, London, W8",W8,3.0
27,1250000.0,"Earl's Court Square, London, SW5",SW5,2.0
28,2800000.0,"Petersham Place, London, SW7",SW7,3.0
29,2295000.0,"Old Brompton Road, South Kensington, London, SW5",SW5,4.0
30,1500000.0,"Evelyn Gardens, SW7",SW7,2.0
31,695000.0,"St. Ervans Road, London, W10",W10,2.0
32,640000.0,"Fernshaw Road, London, SW10",SW10,1.0
33,650000.0,"Nevern Square, London, SW5",SW5,2.0
34,800000.0,"Marlborough, Walton Street, Chelsea, SW3",SW3,1.0
36,1500000.0,"Queen's Gate Place, South Kensington, London, SW7",SW7,2.0
37,675000.0,"Colville Gardens, NOTTING HILL, London, UK, W11",W11,1.0
38,675000.0,"Pinehurst Court, Colville Gardens, London, W11",W11,1.0
39,995000.0,"St. Lawrence Terrace, London, W10",W10,3.0
42,15000000.0,"Vicarage Gate, Kensington, London, W8",W8,8.0
43,6350000.0,"Paultons Square, London, SW3",SW3,4.0
46,2550000.0,"Palace Gardens Terrace, Kensington, London, W8",W8,3.0
47,445000.0,"Cambridge Gardens, London, W10",W10,1.0
48,1600000.0,"Gertrude Street, Chelsea, London, SW10",SW10,2.0
49,900000.0,"Troy Court, Kensington High Street, London, W8",W8,1.0
50,800000.0,"Nevern Square, London, SW5",SW5,2.0
51,500000.0,"Finborough Road, London, SW10",SW10,1.0
52,500000.0,"Ladbroke Grove, Notting Hill, London, W10",W10,1.0
53,1050000.0,"Napier Place, Holland Park, London, W14",W14,2.0
54,800000.0,"Campden Hill Gardens, Kensington, London, W8",W8,2.0
55,1050000.0,"Colville Terrace, London, W11",W11,2.0
56,1050000.0,"Colville Terrace, Notting Hill, London, W11",W11,2.0
57,1300000.0,"Embankment Gardens, London, SW3",SW3,1.0
58,1975000.0,"Kensington High Street, London, W8",W8,3.0
59,925000.0,"Cornwall Mews South, London, SW7",SW7,2.0
60,299000.0,"Chelsea Cloisters, Chelsea, SW3",SW3,0.0
61,1725000.0,"Napier Place, London, W14",W14,4.0
62,3750000.0,"Astell Street, Chelsea, London, SW3",SW3,4.0
63,2650000.0,"Draycott Place, Chelsea, London, SW3",SW3,3.0
64,385000.0,"Swan Court, Chelsea Manor Street, Chelsea, London, SW3",SW3,1.0
65,1095000.0,"Pottery Lane, London, W11",W11,2.0
66,3450000.0,"Marloes Road, London, W8",W8,8.0
67,1345000.0,"Lamont Road, Chelsea, London, SW10",SW10,2.0
68,895000.0,"Chelsea Manor Street, Chelsea, London, SW3",SW3,3.0
69,525000.0,"Notting Hill Gate, Notting Hill, London, W11",W11,1.0
70,725000.0,"Colville Square, Notting Hill, London, W11",W11,1.0
71,1150000.0,"Holland Road, Notting Hill, London, W14",W14,3.0
72,1195000.0,"Earl's Court Square, London, SW5",SW5,2.0
74,595000.0,"Cornwall Crescent, Notting Hill, London, W11",W11,1.0
76,2495000.0,"The Courtyard, Trident Place, Old Church Street, Chelsea, SW3",SW3,3.0
77,1200000.0,"Hewer Street, London, W10",W10,2.0
82,700000.0,"Hogarth Road, London, SW5",SW5,1.0
83,525000.0,"Earls Court Square, London, SW5",SW5,1.0
84,695000.0,"Hormead Road, W9",W9,2.0
85,955000.0,"Kensington Church Street, London, W8",W8,1.0
86,2495000.0,"Trident Place, Kings Road, London, SW3",SW3,3.0
87,2000000.0,"Sprimont Place, Chelsea, London, SW3",SW3,2.0
88,695000.0,"Chepstow Court, Chepstow Crescent, London, W11",W11,1.0
89,895000.0,"Wetherby Place, South Kensington, London, SW7",SW7,2.0
90,1225000.0,"Queen's Gate Gardens, London, SW7",SW7,2.0
91,1575000.0,"Gloucester Road, London, SW7",SW7,3.0
92,2295000.0,"Boltons Court, 216 Old Brompton Road, London, SW5",SW5,4.0
93,1600000.0,"Gloucester Walk, London, W8",W8,3.0
94,1800000.0,Charles House 385 Kensington High Street Kensington W14,W14,2.0
95,925000.0,"Cornwall Mews South, London, SW7",SW7,2.0
96,1350000.0,"Grenville Place, London, SW7",SW7,1.0
97,425000.0,"Gloucester Road, London, SW7",SW7,0.0
99,1000000.0,"Lower Sloane Street, Chelsea, London, SW1W",SW1W,1.0
100,725000.0,"Colville Square, Notting Hill, London, W11",W11,1.0
102,765000.0,"Munro Mews, London, W10",W10,2.0
103,2350000.0,"Pangbourne Avenue, London, W10",W10,6.0
104,765000.0,"Munro Mews, London, UK, W10",W10,2.0
105,765000.0,"Lancaster Road, W11",W11,1.0
106,750000.0,"St. Quintin Avenue, London, W10",W10,2.0
107,600000.0,"Ibberton House, Russell Road, London, W14",W14,1.0
108,3750000.0,"Queen's Gate Place Mews, London, SW7",SW7,5.0
109,600000.0,"Edith Grove, Chelsea, London, SW10",SW10,1.0
110,600000.0,"Nevern Square, Earls Court, London, SW5",SW5,1.0
111,1250000.0,"Coleherne Road, Chelsea, London, SW10",SW10,2.0
112,900000.0,"Lexham Gardens, London, W8",W8,2.0
113,625000.0,"Pembroke Road, Kensington, London, W8",W8,0.0
114,1000000.0,"Cathcart Road, London, SW10",SW10,1.0
