,price,address,postcode,number_bedrooms
5,400000.0,"Windmill Rise,, Kingston Hill, Kingston upon Thames, KT2",KT2,2.0
6,915000.0,"Wittering Close, Kingston Upon Thames, KT2",KT2,4.0
7,525000.0,"Cheltenham Close, New Malden , KT3 ",KT3,3.0
8,425000.0,"Burton Road, Kingston Upon Thames, KT2",KT2,1.0
12,199950.0,"Cox Lane, Chessington, Surrey, KT9",KT9,2.0
13,1000000.0,"Ashdown Road,
Kingston Upon Thames,
KT1 2FQ",KT1,3.0
17,760000.0,"Ashdown Road,
Kingston Upon Thames,
KT1 2FQ",KT1,2.0
19,899950.0,"Elm Road, Kingston upon Thames KT2",KT2,3.0
22,360000.0,"Millfield, Mill Place, Kingston upon Thames, Surrey, KT1",KT1,2.0
23,650000.0,"Oakdene Drive, Surbiton, KT5",KT5,3.0
24,350000.0,"Rushey Close, New Malden, KT3",KT3,2.0
25,665000.0,"Highdown, Worcester Park, KT4",KT4,3.0
26,375000.0,"Tolworth Road, Surbiton, KT6",KT6,2.0
28,600000.0,"St. James Close, New Malden, KT3",KT3,3.0
34,479950.0,"Crescent Road, Kingston upon Thames KT2",KT2,2.0
35,650000.0,"Columbia Avenue, Worcester Park, Surrey, KT4",KT4,3.0
38,409000.0,"Upper Brighton Road, Surbiton, KT6",KT6,1.0
46,450000.0,"Gladstone Road, Surbiton, KT6",KT6,3.0
48,630000.0,"Cross Road, Kingston upon Thames KT2",KT2,2.0
59,200000.0,"162 Ewell Road, Surbiton, KT6",KT6,0.0
64,390000.0,"Galsworthy Road, KT2",KT2,2.0
65,375000.0,"Tudor Drive, Kingston Upon Thames, KT2",KT2,2.0
67,300000.0,"Chiltern Drive, Berrylands, Surbiton, KT5",KT5,1.0
73,429950.0,"Grange Road, Chessington, Surrey, KT9",KT9,3.0
74,310000.0,"Ewell Road, Surbiton, Surrey, KT6",KT6,1.0
75,535000.0,"York Road, Kingston Upon Thames, Surrey, United Kingdom, KT2",KT2,2.0
78,350000.0,"Britannia Road, Surbiton, KT5",KT5,2.0
80,360000.0,"Kingsworthy Close, Kingston upon Thames KT1",KT1,2.0
83,285000.0,"Richmond Road, Kingston Upon Thames, KT2",KT2,2.0
84,325000.0,"Weston Court, Grove Crescent, Kingston upon Thames, KT1",KT1,2.0
