,price,address,postcode,number_bedrooms
0,3995000.0,"Elms Road, London, SW4",SW4,7.0
4,475000.0,"Gipsy Hill, Upper Norwood, London, SE19",SE19,2.0
5,799950.0,"Babington Road, London, SW16",SW16,6.0
6,1100000.0,"Ferndale Road, London, SW4",SW4,4.0
9,525000.0,"Lilford Road, London, SE5",SE5,2.0
11,290000.0,"Charters Close, Gipsy Hill, SE19",SE19,1.0
14,390000.0,"Salisbury Place, London SW9",SW9,1.0
17,425000.0,"Thurlow Park Road , London, SE21",SE21,2.0
19,665000.0,"LARKHALL RISE, SW4",SW4,2.0
20,330000.0,"Hamilton Road, West Norwood, London, SE27",SE27,1.0
24,450000.0,"Auckland Hill, West Norwood, London, SE27",SE27,2.0
26,850000.0,"Hamilton House, St George Wharf, Vauxhall, SW8",SW8,2.0
28,499999.0,"Shakespeare Road, SE24",SE24,1.0
29,625000.0,"Ballater Road, London, SW2",SW2,3.0
30,525000.0,UNION ROAD SW4,SW4,1.0
33,535000.0,"Arlingford Road , Brixton, London, SW2",SW2,2.0
34,320000.0," 1 Westow Hill,  London, SE19",SE19,1.0
35,400000.0,"Carpenters Place, Clapham, London, SW4 7TD",SW4,90.0
36,475000.0,"Ambleside Avenue, London, SW16",SW16,2.0
38,430000.0,"Southwell Road, London, SE5 9PG",SE5,2.0
42,430000.0,"Elmhurst Mansions, SW4",SW4,1.0
43,1750000.0,"Peninsula Heights, 93 Albert Embankment, London, SE1",SE1,2.0
44,480000.0,"Palace Road, London, SW2",SW2,2.0
45,330000.0,"Rusper Court, Clapham Road, London, SW9",SW9,1.0
46,425000.0,"63 Lewin Road, London, SW16",SW16,1.0
47,1750000.0,"Peninsula Heights, 93 Albert Embankment, SE1",SE1,2.0
48,350000.0,"Drewstead Road, London, SW16",SW16,1.0
49,500000.0,"137 Crescent Lane, London, SW4",SW4,2.0
50,499950.0,"Ellison Road, Streatham, London, SW16",SW16,2.0
51,4795000.0,"Albert Embankment, London, SE1",SE1,5.0
52,725000.0,"Sternhold Avenue, Balham, SW2",SW2,3.0
53,450000.0,"Hanway House, Brixton, London, SW9",SW9,3.0
54,525000.0,"Lilford Road, Camberwell, London, SE5",SE5,2.0
55,475000.0,"Crownstone Road, London, SW2",SW2,3.0
59,300000.0,"Brixton Water Lane, Brixton, SW2",SW2,1.0
61,5000000.0,"The Whitehouse Apartments, 9 Belvedere Road, Waterloo, SE1",SE1,3.0
62,950000.0,"Aristotle Road, London, SW4",SW4,6.0
63,799950.0,Babington Road London SW16,SW16,6.0
64,174000.0,"Printworks, Camberwell, SE5",SE5,3.0
65,600000.0,"Printworks, Camberwell, SE5",SE5,3.0
66,350000.0,Leonora Tyson Mews West Dulwich SE21,SE21,1.0
67,425000.0,"Blackburn Court, Bascombe Street, London, SW2",SW2,2.0
68,600000.0,"Aristotle Road, Clapham North, London, SW4",SW4,2.0
69,260000.0,"Loats Road, London, SW2",SW2,1.0
72,285000.0,"Challice Way, Brixton, SW2",SW2,1.0
75,550000.0,"Abbeville Road, SW4",SW4,1.0
77,550000.0,"Pinfold Road, Streatham, London, London, SW16",SW16,2.0
80,405000.0,"Santley Street, Brixton, SW4",SW4,1.0
82,495000.0,"Streatham High Road, SW16",SW16,2.0
84,699950.0,"Lyham Road, SW2",SW2,3.0
85,625000.0,"Methley Street, SE11",SE11,2.0
87,625000.0,"Coldharbour Lane, Camberwell, London, SE5",SE5,2.0
89,750000.0,"Ferndale Road, Clapham, SW4",SW4,3.0
90,475000.0,"Leigham Vale, London, SW16",SW16,3.0
96,735000.0,"Mervan Road, London, SW2",SW2,3.0
98,450000.0,"Chelsham Road, London, SW4",SW4,1.0
99,375000.0,"Conyers Road, Streatham, SW16",SW16,1.0
100,625000.0,"Coldharbour Lane, Camberwell, London, SE5",SE5,2.0
101,727500.0,"Canterbury Grove, West Norwood, London, SE27",SE27,3.0
102,350000.0,"65 Thurlow Park Road, London, SE21",SE21,2.0
103,650000.0,"Arodene Road, SW2",SW2,2.0
106,625000.0,"Trinity Rise, Tulse Hill, London, SW2",SW2,2.0
107,445000.0,"The Library Building, St Luke's Avenue, London, SW4",SW4,1.0
108,525000.0,"Streatham High Road, Streatham, London, SW16",SW16,2.0
109,585000.0,"Leander Road, London, SW2",SW2,2.0
110,575000.0,"Ferndale Road, Clapham, London, SW4",SW4,2.0
112,600000.0,"Henry Road, Brixton, London, SW9",SW9,2.0
113,535000.0,"Tremadoc Road, London, SW4",SW4,1.0
114,585000.0,"Kennington Road, London, SE11",SE11,2.0
115,375000.0,"Palace Road, Tulse Hill, SW2",SW2,1.0
116,179950.0,"Cedar Close, Thurlow Park Road, Dulwich, SE21",SE21,1.0
119,365000.0,"Woodvale Walk, London, SE27",SE27,3.0
121,325000.0,"Elderwood Place, London, SE27",SE27,1.0
122,450000.0,"Acre Lane, London, SW2",SW2,1.0
123,550000.0,"Clapham Road, Kennington, SW9",SW9,3.0
124,500000.0,Flaxman Road Camberwell SE5,SE5,2.0
125,800000.0,"Parliament View, 1 Albert Embankment, SE1",SE1,2.0
126,425000.0,"Hotspur Street, Kennington, London, SE11",SE11,1.0
127,525000.0,"Palace Road, Tulse Hill, London, SW2",SW2,2.0
128,325000.0,"Gipsy Hill, Crystal Palace, SE19",SE19,1.0
129,579950.0,"Wolfington Road, London, SE27",SE27,2.0
130,360000.0,"Challice Way, London, SW2",SW2,2.0
132,375000.0,"Ambleside Avenue, Streatham Park, London, SW16",SW16,1.0
133,700000.0,"Leithcote Gardens, Streatham, London, SW16",SW16,4.0
134,625000.0,"Criffel Avenue, London, SW2",SW2,2.0
137,490000.0,"Dumbarton Road, SW2",SW2,2.0
141,153750.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,3.0
142,102500.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,1.0
143,132500.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,2.0
144,135000.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,2.0
145,615000.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,3.0
146,530000.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,2.0
147,410000.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,1.0
148,540000.0,"18/18a Palace Road,
Streatham Hill,
Lambeth,
London,
SW2 3NG
",SW2,2.0
149,500000.0,"Upstall Street, Camberwell, SE5",SE5,2.0
150,750000.0,"Ferndale Road, Clapham, SW4",SW4,3.0
