,price,address,postcode,number_bedrooms
0,225000.0,"Octavia House, Rushey Green, London, SE6",SE6,1.0
1,220000.0,"Cumberland Place, Catford, SE6",SE6,1.0
3,650000.0,Manor Lane Lee SE12,SE12,2.0
6,425000.0,Adenmore Road Catford SE6,SE6,2.0
7,325000.0,Somerset Gardens London SE13,SE13,1.0
9,375000.0,"Taymount Rise, Forest Hill, SE23",SE23,2.0
12,625000.0,Baring Road Grove Park SE12,SE12,4.0
15,525000.0,Verdant Lane London SE6,SE6,3.0
16,625000.0,"Wickham Road, Brockley, SE4",SE4,3.0
17,375000.0,"Sybil Phoenix Close, Surrey Quays, London, .., SE8",SE8,2.0
18,899950.0,"Medusa Road, Catford, SE6",SE6,4.0
20,400000.0,"Birdwood Avenue, London, SE13",SE13,2.0
21,485000.0,"Niederwald Road, Sydenham, London, SE26",SE26,3.0
23,450000.0,Woodbury Gardens Grove Park SE12,SE12,3.0
24,425000.0,"Halesworth Road, Lewisham, SE13",SE13,2.0
26,675000.0,"Meranti Apartments, Deptford Landings, Deptford SE8",SE8,3.0
27,325000.0,"Limes Grove, London, SE13",SE13,2.0
29,850000.0,"Fernbrook Road, London, SE13",SE13,4.0
31,325000.0,Effingham Road Lee SE12,SE12,2.0
32,325000.0,Effingham Road Lee SE12,SE12,2.0
33,175000.0,"Keedonwood Road, Bromley, BR1",BR1,3.0
36,425000.0,Clayhill Crescent London SE9,SE9,3.0
37,450000.0,Woodbury Gardens SE12,SE12,3.0
38,250000.0,Champion Road London SE26,SE26,1.0
39,475000.0,"Breakspears Road, SE4",SE4,2.0
40,225000.0,Cumberland Place London SE6,SE6,1.0
42,425000.0,"Adelaide Avenue, Brockley, SE4",SE4,2.0
44,250000.0,Chinbrook Road Grove Park SE12,SE12,2.0
45,335000.0,"Lawrie Park Gardens, London, SE26",SE26,2.0
47,400000.0,"Recreation Road, Sydenham, London, SE26",SE26,2.0
48,250000.0,"Cowdrey Mews, Catford, London, SE6",SE6,1.0
50,325000.0,"Davenport Road, London, SE6",SE6,2.0
51,425000.0," 42 Canonbie Road,  Honor Oak, SE23",SE23,2.0
54,400000.0,"Laleham Road, London, SE6",SE6,2.0
55,280000.0,"Bowness Road, London, SE6",SE6,1.0
56,280000.0,"Brownhill Road, London, SE6",SE6,2.0
57,300000.0,"Lee Park, Blackheath, London, SE3",SE3,2.0
58,450000.0,"Adenmore Road, London, SE6 4FA",SE6,2.0
60,595000.0,Heather Road Lee SE12,SE12,3.0
61,675000.0," Friendly Street,  Deptford, SE8",SE8,3.0
62,450000.0,"Waller Road, New Cross, SE14",SE14,2.0
63,650000.0,"Rokeby Road, London, SE4",SE4,3.0
64,495000.0,"Poppyfield House, Copperwood Place, London, SE10",SE10,2.0
65,750000.0,Blackheath Hill London SE10,SE10,3.0
67,450000.0,"Adamsrill Road, London, SE26",SE26,2.0
68,350000.0,"63 Westwood Hill, London, SE26",SE26,2.0
69,600000.0,"Adamsrill Road, London, SE26",SE26,3.0
70,350000.0,"Erlanger Road, London, SE14",SE14,1.0
72,415000.0,"Pepys Road, Telegraph Hill, SE14",SE14,1.0
73,410000.0,"McMillan Street, Deptford, London, SE8",SE8,2.0
74,600000.0,"Manor Park, Hither Green, London, SE13",SE13,2.0
75,350000.0,Sterling Gardens London SE14,SE14,2.0
79,525000.0,"Soul Street, SE6",SE6,3.0
81,550000.0,"Tressillian Road, SE4, Brockley, London, SE4",SE4,2.0
82,485000.0,"Marine Wharf East, Surrey Quays, SE16",SE16,1.0
83,255000.0,"Riverdale House 68 Molesworth Street, Lewisham, London, SE13",SE13,0.0
84,740000.0,Manwood Road SE4,SE4,5.0
85,285000.0,Eastdown Park Lewisham SE13,SE13,2.0
86,475000.0,Mallet Road Hither Green SE13,SE13,3.0
87,300000.0,"Hither Green Lane, Hither Green, London, SE13",SE13,1.0
88,325000.0,"New Cross Road, London, SE14 6AL",SE14,1.0
91,365000.0,Stanstead Road London SE6,SE6,2.0
93,325000.0,"Morley Road, Lewisham, London, SE13",SE13,1.0
94,295000.0,"Brockley Road, SE4",SE4,2.0
95,575000.0,"Sandrock Road, Lewisham, London, SE13",SE13,2.0
97,300000.0,"Brockley Road, SE4",SE4,2.0
98,850000.0,"Pearfield Road, London, SE23",SE23,5.0
99,425000.0,"Devonshire Road, Forest Hill, London, SE23",SE23,2.0
100,564950.0,"Goodwood Road,
London,
SE14",SE14,2.0
102,330000.0,Hither Green Lane SE13,SE13,1.0
105,1350000.0,Waller Road New Cross SE14,SE14,6.0
106,400000.0,"Manor Avenue, Brockley, SE4",SE4,2.0
107,285000.0,Longbridge Way Lewisham SE13,SE13,1.0
108,389950.0,Gables Close Lee SE12,SE12,2.0
109,645000.0,"The Paragon, Blackheath, SE3",SE3,1.0
110,750000.0,"Dunoon Road, London, SE23",SE23,4.0
112,520000.0,Taymount Rise London SE23,SE23,2.0
113,475000.0,"Dressington Avenue, SE4",SE4,2.0
114,350000.0,Old Road Lewisham SE13,SE13,1.0
115,350000.0,"Northover, Bromley, KENT, BR1",BR1,2.0
116,285000.0,"Slaithwaite Road, London, SE13",SE13,1.0
118,510000.0,"Mandara Place, Deptford SE8",SE8,2.0
119,450000.0,"Champion Crescent, London, SE26",SE26,2.0
