,price,address,postcode,number_bedrooms
0,965000.0,"Sandringham Avenue, SW20",SW20,4.0
1,385000.0,"London Road, Mitcham, Surrey, CR4",CR4,2.0
4,355000.0,"Canterbury Road, Morden, SM4 ",SM4,2.0
14,350000.0,"Milner Road, Morden, SM4",SM4,2.0
16,435000.0,"Middleton Road, Morden, SM4",SM4,3.0
17,1050000.0,"Queensland Avenue, Wimbledon, SW19",SW19,4.0
19,350000.0,"London Road, Tooting Junction, SW17",SW17,2.0
21,499950.0,"Warren Road, London SW19",SW19,2.0
22,925000.0,"Granville Road, Wimbledon, SW19",SW19,4.0
23,650000.0,"Kingston Road, London, SW19",SW19,3.0
25,650000.0,"Windermere Road, Streatham, London, SW16",SW16,4.0
29,650000.0,"Kingston Road, Wimbledon, SW19",SW19,3.0
31,650000.0,"Kingston Road, London, SW19",SW19,3.0
32,625000.0,"Park Avenue, Mitcham, Surrey, CR4",CR4,5.0
34,700000.0,"Chase Side Avenue, London, SW20",SW20,3.0
41,1395000.0,"Seymour Road, Wimbledon Village, SW19",SW19,3.0
43,925000.0,"Graham Road, Wimbledon, London, SW19",SW19,4.0
44,650000.0,"Rectory Close, London, SW20",SW20,3.0
45,575000.0,"Sunnymead Avenue, Mitcham, CR4",CR4,4.0
48,975000.0,"Kingsley Road, Wimbledon, SW19 ",SW19,5.0
50,1150000.0,"Earlsfield Riverside,
London,
SW18 4RL",SW18,3.0
52,390000.0,"Chester Gardens, Morden, SM4",SM4,2.0
54,485000.0,"Pembroke Road,Mitcham,CR4 2LJ",CR4,3.0
55,425000.0,"Marian Road, Streatham Vale, London, SW16",SW16,2.0
57,400000.0,"Phipps Bridge Road, Mitcham, CR4 3PD",CR4,3.0
58,600000.0,"Gore Road, London, SW20",SW20,2.0
60,300000.0,"Cairns Avenue, London, London, SW16",SW16,1.0
65,275000.0,"Lowry Crescent, Mitcham, CR4",CR4,2.0
67,300000.0,"Mitcham Parkside, Commonside East, CR4",CR4,1.0
68,320000.0,"10 Beech Court, Wimbledon Beaumont, Arterberry Road, London, SW20",SW20,1.0
72,795000.0,"Links Road, Tooting, SW17",SW17,5.0
73,425000.0,"Milner Road, Wimbledon, SW19 ",SW19,1.0
75,650000.0,"Martin Grove, Morden, SM4",SM4,3.0
76,490000.0,"Seymour Avenue, Morden, SM4",SM4,3.0
79,330000.0,"Justin Plaza, 341 London Road, Mitcham, CR4",CR4,2.0
80,425000.0,"Kingsbridge Road, Morden, SM4",SM4,3.0
81,500000.0,"Glenthorpe Road, Morden, SM4",SM4,3.0
85,899000.0,"Spencer Hill Road, London, SW19",SW19,3.0
88,328000.0,"Farnham Gardens, Raynes Park, SW20",SW20,2.0
89,330000.0,"Mitcham Parkside, Commonside East, CR4",CR4,1.0
90,400000.0,"Mitcham Parkside, Commonside East, CR4",CR4,2.0
93,495000.0,"Stanley Road, Wimbledon, SW19",SW19,2.0
94,389950.0,"Worple Road, London, SW19",SW19,1.0
95,735000.0,"Prince Georges Avenue, London, SW20",SW20,2.0
98,4000000.0,"Crescent Road, Wimbledon, London, SW20",SW20,6.0
100,650000.0,"Hatherleigh Close, Morden, SM4",SM4,3.0
101,825000.0,"Fortescue Road, Wimbledon, SW19",SW19,4.0
103,550000.0,"Brickfield Road, Mitcham, CR4",CR4,4.0
107,1425000.0,"Durham Road, West Wimbledon, London, SW20",SW20,4.0
108,325000.0,"Pearce Close, Mitcham, CR4",CR4,2.0
109,1000000.0,"Seaforth Avenue, London, KT3",KT3,5.0
111,250000.0,"Meopham Road, Mitcham, CR4",CR4,1.0
112,385000.0,"Alexandra Road, London, SW19",SW19,1.0
113,450000.0,"Bristol Road, Morden, SM4",SM4,2.0
117,245000.0,"Kathleen Godfree Court, Wimbledon, SW19 8LB",SW19,1.0
118,475000.0,"Hartfield Road, Wimbledon, SW19",SW19,1.0
119,550000.0,"Edge Hill, Wimbledon, SW19",SW19,2.0
120,499950.0,"Montague Road, London, SW19",SW19,2.0
123,465000.0,"Plough Lane, SW17",SW17,1.0
124,300000.0,"Rialto Road, Mitcham, CR4",CR4,1.0
125,8500000.0,"Burghley Road, Wimbledon, SW19",SW19,5.0
126,415000.0,"Chesham Road, Colliers Wood, London, SW19",SW19,2.0
130,335000.0,"Greenview Drive, London, SW20",SW20,1.0
134,825000.0,"The Clockhouse, 4 Windmill Road, London, SW19",SW19,2.0
137,415000.0,"Alexandra Road, London, SW19",SW19,1.0
143,550000.0,"Ravensbury Terrace, Earlsfield, SW18",SW18,1.0
149,1100000.0,"Coombe Lane, London, SW20",SW20,4.0
150,330000.0,"Haydons Road, Wimbledon, SW19",SW19,1.0
151,950000.0,"Aylward Road, Merton Park, London, SW20",SW20,3.0
152,1325000.0,"Gladstone Road, Wimbledon, London, SW19",SW19,4.0
153,650000.0,"Windermere Road, Streatham, London, SW16",SW16,4.0
154,550000.0,"Wandle Road, Morden, SM4",SM4,3.0
155,525000.0,"Wentworth Close, Morden, SM4",SM4,3.0
157,420000.0,"Cranleigh House, West Barnes Lane, London, SW20",SW20,2.0
158,895000.0,"Grosvenor Court, Grosvenor Hill, Wimbledon, London, SW19",SW19,2.0
160,795000.0,"Lancaster Place, Wimbledon Village, SW19",SW19,1.0
161,900000.0,"Parkway, London, SW20",SW20,5.0
162,274000.0,"Middleton Road, Morden, Surrey, SM4",SM4,2.0
163,385000.0,"Merton Road, Wimbledon, SW19",SW19,1.0
166,300000.0,"Three Kings Court, 27 Clarendon Grove, Mitcham, CR4",CR4,2.0
167,849950.0,"Cochrane Road, London, SW19",SW19,2.0
168,350000.0,"Eveline Road, Mitcham, CR4",CR4,2.0
172,530000.0,"Veals Mead, Mitcham, CR4",CR4,4.0
175,500000.0,"Walshingham Road, Mitcham, CR4",CR4,3.0
177,895000.0,"Palmerston Road, London, SW19",SW19,3.0
179,965000.0,"Sandringham Avenue, SW20",SW20,4.0
182,475000.0,"University Road, London, SW19",SW19,2.0
189,280000.0,"23 Schoolgate Drive, Morden, SM4",SM4,1.0
190,385000.0,"Devonshire Road, London, SW19",SW19,1.0
192,1100000.0,"Parkside, Wimbledon, SW19",SW19,2.0
193,500000.0,"Walshingham Road, Mitcham, CR4",CR4,3.0
194,1900000.0,"Hill Court, 104 Wimbledon Hill Road, Wimbledon, London, SW19",SW19,3.0
195,950000.0,"Worple Road, London, SW19",SW19,2.0
196,950000.0,"Chatsworth Avenue, Wimbledon Chase, SW20",SW20,4.0
199,415000.0,"Middleton Road, Morden, Surrey, SM4",SM4,2.0
200,849950.0,"Cochrane Road, London, SW19",SW19,2.0
201,800000.0,"Deal Road, London SW17",SW17,4.0
207,465000.0,"Stanley Avenue, New Malden, KT3",KT3,3.0
210,425000.0,"Kingston Road, Raynes Park, SW20",SW20,2.0
212,425000.0,"Ashbourne Road, Mitcham, CR4",CR4,3.0
213,625000.0,"Palmerston Road, London, SW19",SW19,2.0
214,475000.0,"Cambridge Road, London, SW20",SW20,2.0
216,290000.0,"17 Mitcham Park, Mitcham, CR4",CR4,2.0
217,350000.0,"Thirsk Road, Mitcham, CR4",CR4,1.0
218,300000.0,"Aragon Place, Morden, SM4",SM4,2.0
219,350000.0,"Elmhurst Avenue, Mitcham, London, CR4",CR4,2.0
220,730000.0,"Durham Road, West Wimbledon , London, SW20",SW20,4.0
222,875000.0,"Cannon Close, London, SW20",SW20,3.0
225,535000.0,"Vision House, Wimbledon Chase, London, SW20",SW20,2.0
