,price,address,postcode,number_bedrooms
0,400000,"Romford Road, Stratford, London, E15",E15,2.0
1,300000,"Candlelight Court, 124 Romford Road, London, England, E15",E15,2.0
2,385000,"Tweedmouth Road, London, E13",E13,2.0
3,475000,"Azure Building, Stratford, London, E15",E15,1.0
4,900000,"Defoe House, London City Island, E14",E14,3.0
5,400000,"Varley Road, Canning Town E16",E16,3.0
6,290000,"Rowan Court, High Street, Plaistow, London E13",E13,2.0
9,415000,"4 Woolwich Manor Way, London, E16",E16,2.0
10,170000,"Wellington Road, Forest Gate, E7",E7,1.0
11,450000,"Macaulay Road, East Ham, London, E6",E6,3.0
12,375000,"Thorpe Road, East Ham, London, E6",E6,3.0
13,500000,"Sky View Tower, 12 High Street, Stratford, London, E15",E15,2.0
14,220000,"Charlemont Road, East Ham, E6",E6,1.0
16,475000,"Clifton Road, London, E7",E7,3.0
17,700000,"Royal Victoria Dock, Rayleigh Road, West Silvertown, E16",E16,4.0
18,300000,"North Street, Plaistow , London, E13",E13,2.0
19,425000,"Latimer Avenue, E6 2LQ",E6,3.0
21,420000,"Pandora Court, Docklands, London, E16",E16,2.0
22,380000,"Lowestoft Mews, Galleons Lock, E16",E16,2.0
23,369995,"Sheerness Mews, Galleons Lock, E16",E16,2.0
24,280000,"Maud Road, London, E13",E13,2.0
25,750000,"Warehouse K, E16",E16,3.0
26,389995,"Boston Road,  East Ham, E6",E6,3.0
29,550000,"Braemar Road, Plaistow, London, UK, E13",E13,3.0
30,450000,"Boxley Street, Canning Town E16",E16,2.0
32,390000,"Barking Road, East Ham, London, E6",E6,3.0
33,375000,"119 The Grove, London, E15",E15,2.0
35,475000,"Odessa Road, London, E7",E7,2.0
37,525000,"Kildare Road, Canning Town, London, E16",E16,4.0
38,600000,"Lovage Approach, London, E6",E6,4.0
39,999000,"1 Hyett Terrace,
Honour Lea Avenue,
Stratford,
London,
E20 1HH",E20,5.0
40,250000,"Romford Road, Forest Gate, London, E7",E7,1.0
41,275000,"Angelica Drive, Beckton, London, E6",E6,2.0
42,400000,"Jutland Road, Plaistow, London, England, E13",E13,2.0
43,550000,"Meath Road, Stratford , London, E15",E15,5.0
44,400000,"Pelly Road, London, E13",E13,3.0
45,250000,"Wards Wharf Approach, Royal Docks, E16",E16,0.0
46,540000,"Park View House, Royal Wharf, E16",E16,2.0
47,300000,"Romford Road, Forest Gate E7",E7,2.0
48,490000,"West Road, London, E15",E15,3.0
51,525000,"Barrier Point Road, London, E16",E16,2.0
53,400000,"High Street, Stratford, London, E15",E15,2.0
54,305000,"Barking Road, Plaistow, E13",E13,2.0
56,310000,"High Street, Plaistow, London, E13 0AD",E13,2.0
58,580000,"Edge Apartments, 1 Lett Road, Stratford, London, E15",E15,3.0
60,725000,"Atlantic Building, 144 Leyton Road, London, E15",E15,3.0
61,390000,"Shaftesbury Road, London, E7",E7,2.0
64,180000,"315 Barking Road, Plaistow, London , Greater London, E13 8EE",E13,2.0
65,800000,"Trinity Tower, Canary Wharf, London, E14",E14,2.0
66,455000,"Aldworth Road, Stratford E15",E15,2.0
67,550000,"Chaucer Road, London, E7",E7,3.0
70,450000,"Neatscourt Road, London, E6",E6,3.0
71,250000,"Gadwall Close, London, E16",E16,1.0
73,319995,"Garvary Road, Custom House, E16",E16,2.0
74,400000,"Macaulay Road, London, E6",E6,2.0
76,350000,"Joseph House, 110-112 Grange Road, London E13 0EP",E13,2.0
78,300000,"Eastbourne Road, London, E6",E6,3.0
80,350000,"Paul Street, Stratford, London, England, E15",E15,3.0
81,325000,"Romford Road, London, E7",E7,2.0
82,625000,"Ronald Avenue, West Ham E15",E15,4.0
85,325000,"Henniker Point, Maryland, London, E15",E15,3.0
86,425000,"High Street, Stratford, London, E15",E15,2.0
88,525000,"Dundee Road, London E13",E13,4.0
89,350000,"Albert Road, Silvertown, London, E16",E16,2.0
90,180000,"315 Barking Road, London, E13",E13,2.0
91,250000,"Eastbourne Road, London, E15",E15,1.0
92,329995,"The Sphere, 1 Hallsville Road, London, E16",E16,1.0
93,650000,"Albany Road, London, E12",E12,5.0
94,475000,"Wolseley Road, London, E7",E7,3.0
96,600000,"Geere Road, London, E15",E15,4.0
97,600000,"St. Georges Road, London, E7",E7,5.0
98,500000,"Ranelagh Road, East Ham, London, E6",E6,3.0
99,650000,"Maryland Street, Maryland, London, E15",E15,3.0
100,625000,"Wise Road, Stratford, E15",E15,3.0
101,850000,"Stopford Road, Upton Park, London, E13",E13,6.0
102,325000,"6 Woolwich Manor Way, London, E16",E16,2.0
103,750000,"Capel Road, London, E12",E12,3.0
105,475000,"Defoe House, London City Island, London, E14",E14,1.0
