,price,address,postcode,number_bedrooms
1,725000.0,"Halstead Road, London, E11",E11,2.0
2,850000.0,"Addison Road, London, E11",E11,3.0
5,740000.0,"Woodford Road, London, E7",E7,3.0
6,729999.0,"Kensington House, Richmond Drive, Repton Park, IG8",IG8,2.0
10,380000.0,"Green Lane, Seven Kings, Essex, IG3 ",IG3,2.0
11,500000.0,"Ardwell Avenue, Ilford, Essex, IG6",IG6,3.0
12,800000.0,"Woodlands Road, Ilford, Essex, IG1",IG1,6.0
13,600000.0,"Broadmead Road, Woodford Green, Essex, IG8",IG8,3.0
14,450000.0,"Hermitage Court, Woodford Road, London, E18",E18,2.0
15,750000.0,"Elmcroft Avenue, Wanstead, E11",E11,3.0
17,470000.0,"Eagle Court, Hermon Hill, London, E11",E11,2.0
19,335000.0,"High Road, Woodford Green, IG8",IG8,2.0
20,650000.0,"Greenway, Woodford, IG8",IG8,4.0
21,800000.0,"Gordon Road, Wanstead, E11",E11,4.0
22,525000.0,"Mallards Road, Woodford, Green, Essex, IG8",IG8,3.0
23,375000.0,"Churchfields, South Woodford, E18",E18,2.0
27,300000.0,"The Ridings, Romford Road, Chigwell, Essex, IG7",IG7,2.0
28,760000.0,"Deynecourt Gardens, London, E11",E11,3.0
29,425000.0,"Westwood Road, Seven Kings, IG3",IG3,2.0
30,439995.0,"Chafford Way, Chadwell Heath, RM6",RM6,3.0
31,550000.0,"Rivington Avenue, Woodford Green, IG8",IG8,3.0
33,300000.0,"Hermon Hill, South Woodford, London, E18",E18,1.0
36,435000.0,"Jarrow Road, Romford, London, RM6",RM6,3.0
38,750000.0,"Bathurst Road, ILFORD, IG1",IG1,4.0
41,240000.0,"Friars Close, Ilford, Essex, IG1 ",IG1,1.0
43,465000.0,"Eastern Avenue, Ilford, IG2",IG2,3.0
45,325000.0,"B, The Broadway, Woodford, Green, IG8",IG8,2.0
47,700000.0,"Romford Road, Chigwell, Essex, IG7",IG7,4.0
48,350000.0,"York Road, ILFORD, IG1",IG1,2.0
49,400000.0,"Ilford Lane, Ilford, Essex, IG1",IG1,3.0
52,750000.0,"Goodmayes Lane, Goodmayes, Essex, IG3 ",IG3,5.0
54,500000.0,"Hastings Avenue, Ilford, IG6",IG6,3.0
56,450000.0,"Cypress Grove, Hainaultl, Essex, IG6",IG6,3.0
60,559995.0,"Freshwell Avenue, Romford, London, RM6",RM6,4.0
64,475000.0,"Vernon Road, Seven Kings, IG3",IG3,3.0
