,price,address,postcode,number_bedrooms
0,375000.0,"White Hart Lane, Barnes, SW13",SW13,1.0
1,625000.0,"Castelnau, London, SW13",SW13,1.0
2,750000.0,"Forest Road, Kew, Surrey, TW9",TW9,3.0
6,300000.0,"Lower Mortlake Road, Richmond, TW9",TW9,1.0
7,575000.0,"Lichfield Court, Sheen Road, Richmond, TW9",TW9,2.0
11,285000.0,"Crieff Court, Teddington, TW11",TW11,1.0
12,2150000.0,"Cambrian Road, Richmond, TW10",TW10,4.0
13,1350000.0,"Lillian Road, Barnes, London, SW13",SW13,3.0
15,2950000.0,"Magnificent newly re furbished house ! Madrid Road, London, SW13",SW13,5.0
16,850000.0,"Kings Road, East Sheen, London, SW14",SW14,3.0
17,2000000.0,"Paradise Road, Richmond, TW9",TW9,6.0
18,975000.0,"Kingsway, London, SW14",SW14,4.0
21,575000.0,"Voltaire Court, Ennerdale Road, Kew, Richmond, Surrey, TW9",TW9,2.0
23,1250000.0,"Melbourne Road, Teddington, Middlesex, TW11",TW11,3.0
24,1895000.0,"Jocelyn Road, Richmond, TW9",TW9,4.0
26,550000.0,"Lower Richmond Road, East Sheen, SW14",SW14,2.0
30,500000.0,"Deanhill Court, Upper Richmond Road West, London, SW14",SW14,2.0
31,559950.0,"Clarendon Court, Kew Gardens Road, Kew, Richmond, Surrey, TW9",TW9,2.0
32,1250000.0,"Avenue Road, Teddington, TW11",TW11,3.0
33,695000.0,"Wickham House, 14 King Street, Richmond, TW9",TW9,2.0
37,725000.0,"Lion Road, Twickenham, TW1",TW1,2.0
41,1250000.0,"Manor Road, Richmond, Surrey, TW9",TW9,4.0
42,560000.0,"Candler Mews, Twickenham, TW1",TW1,2.0
44,420000.0,"Richmond,TW9,TW9",TW9,2.0
46,1600000.0,"Pagoda Avenue, Richmond, Surrey, TW9",TW9,4.0
51,575000.0,"Richmond Hill,TW10,TW10",TW10,1.0
54,1500000.0,"Manning Place, Richmond, Surrey, TW10",TW10,3.0
62,670000.0,"Church Court, Richmond, Surrey, TW9",TW9,2.0
66,395000.0,"Chertsey Court, East Sheen, SW14",SW14,2.0
68,600000.0,"Constance Road, Whitton, Twickenham, TW2",TW2,3.0
69,595000.0,"Second Avenue, Mortlake, SW14",SW14,2.0
74,679000.0,"Church Road, TW9",TW9,2.0
75,800000.0,"White Hart Lane, Barnes, SW13",SW13,2.0
83,595000.0,"Langdon Park, Teddington, TW11",TW11,2.0
87,650000.0,"Colne Road, Twickenham, TW2",TW2,3.0
88,575000.0,"Prospect Crescent, Whitton, Twickenham, TW2",TW2,3.0
89,550000.0,"Stanley Road, East Sheen, SW14",SW14,2.0
91,625000.0,"Queens Road, Richmond, Surrey, TW10",TW10,2.0
93,375000.0,"Upper Richmond Road West, Sheen, SW14",SW14,1.0
94,370000.0,"Mullins Path, Mortlake, SW14",SW14,1.0
95,575000.0,"Niton Road, Kew, Surrey, TW9",TW9,2.0
97,510000.0,"WONDERFUL SPLIT LEVEL ONE BEDROOM FLAT FOR SALE!  Castelnau, Barnes London SW13",SW13,1.0
100,2995000.0,"Martineau Drive, Twickenham, TW1",TW1,6.0
103,650000.0,"Stanley Road, London, SW14",SW14,2.0
104,2295000.0,"Cole Park Road, Twickenham, TW1",TW1,6.0
110,3650000.0,"Sheen Common Drive, Richmond, TW10",TW10,5.0
113,3650000.0,"Sheen Common Drive, Richmond, Surrey, TW10",TW10,5.0
114,655000.0,"Salisbury Road, Richmond, Surrey, TW9",TW9,2.0
117,750000.0,"Chatsworth Place, Teddington, TW11",TW11,3.0
118,450000.0,"Cherrywood Court, Cambridge Road, Teddington, TW11",TW11,2.0
119,334950.0,"Vicarage Road, Hampton Wick, KT1",KT1,1.0
120,600000.0,"Richmond,London,TW10",TW10,2.0
121,107500.0,"Wharf House, Twickenham, Middlesex, TW1",TW1,1.0
123,600000.0,"Princes Road, Teddington, TW11",TW11,3.0
125,685000.0,"Richmond Hill Court, Richmond, Surrey, TW10",TW10,2.0
130,730000.0,"Sandycombe Road, Richmond, TW9",TW9,2.0
