,price,address,postcode,number_bedrooms
0,499950.0,"Underhill Road, London, SE22",SE22,3.0
1,425000.0,"Nigel Road, Peckham Rye, London, SE15",SE15,2.0
2,220000.0,"Crystal Palace Parade, London, SE19",SE19,1.0
4,700000.0,"Camberwell Grove, London, SE5",SE5,3.0
7,485000.0,Forest Hill Road East Dulwich SE22,SE22,2.0
8,700000.0,"119 Newington Causeway, Elephant & Castle, SE1",SE1,3.0
9,500000.0,"Crofton Road, Camberwell, SE5",SE5,2.0
10,695000.0,"Hicks House, Frean Street, London, SE16",SE16,2.0
11,500000.0,"Hayes Grove, London, SE22",SE22,2.0
12,950000.0,"Piermont Road, East Dulwich, London, SE22 0LN",SE22,5.0
13,500000.0,"Barset Road, London, SE15",SE15,2.0
14,449500.0,"New Place Square, London, SE16",SE16,3.0
15,2500000.0,"Butlers Wharf Building, 36 Shad Thames, London, SE1",SE1,2.0
16,725000.0,"Herne Hill, Herne Hill, SE24",SE24,3.0
17,475000.0,"Grove Lane, Camberwell, SE5",SE5,2.0
18,400000.0,"Queens Road, Peckham, SE15",SE15,1.0
22,680000.0,"Constable Walk, College Road, Dulwich, London, SE21",SE21,3.0
23,550000.0,Alvey Street London SE17,SE17,2.0
24,450000.0,"Camberwell Passage, Camberwell, SE5",SE5,1.0
25,700000.0,"119 Newington Causeway, Elephant & Castle, SE1",SE1,3.0
26,495000.0,"Champion Hill, Camberwell, SE5",SE5,2.0
29,600000.0,"Pollard House, 122A Spa Road, London, SE16",SE16,2.0
30,1500000.0,"Ildersly Grove, London, SE21",SE21,4.0
31,390000.0,"William Rushbrooke House, Eveline Lowe Estate, London, SE16",SE16,2.0
32,875000.0,"Upland Road, London, SE22",SE22,3.0
33,400000.0,"Wood Vale, London, SE23",SE23,2.0
34,450000.0,"Therapia Road, East Dulwich, London, SE22",SE22,2.0
35,900000.0,"242 Underhill Road, Dulwich, SE22",SE22,5.0
36,499950.0,"Underhill Road, London, SE22",SE22,3.0
37,375000.0,"Grove Lane, Denmark Hill, London, SE5",SE5,1.0
38,925000.0,"Wilds Rents, London Bridge, London, SE1",SE1,2.0
39,360000.0,"Bew Court, Lordship Lane, London, SE22",SE22,3.0
41,650000.0,"Forest Hill Road, Dulwich, SE22",SE22,2.0
43,625000.0,"East Street, London SE17",SE17,3.0
44,375000.0,"Woods Road, Peckham, SE15",SE15,2.0
46,500000.0,"Jowett Street, Peckham, SE15",SE15,2.0
47,310000.0,"Havil St, SE5",SE5,1.0
48,450000.0,Sumner Road London SE15,SE15,2.0
49,675000.0,"Larch Court, Royal Oak Yard, SE1  ",SE1,2.0
50,750000.0,"Queen's Road,
Peckham,
London,
SE15 2DH",SE15,3.0
54,450000.0,Dawes Street Walworth SE17,SE17,2.0
55,435000.0,"East Street, London, SE17",SE17,1.0
56,189000.0,"Empire Square South, Empire Square, London, SE1",SE1,1.0
61,850000.0,"Oliver Mews, Peckham, SE15",SE15,3.0
62,425000.0,"Skyline Court, 9 Grange Yard, London, SE1",SE1,1.0
63,375000.0,"Dunstans Road, Dulwich, SE22 ",SE22,1.0
64,900000.0,"Barry Road, Dulwich, SE22",SE22,4.0
67,1100000.0,"Upper Ground, London, SE1",SE1,1.0
69,500000.0,"Maude Road, Camberwell, SE5",SE5,2.0
70,500000.0,"Mary Datchelor Close, Camberwell, London, SE5",SE5,3.0
71,950000.0,"Quadrangle Close, London Bridge, London, SE1",SE1,3.0
72,445000.0,"Lordship Lane, East Dulwich, SE22",SE22,2.0
73,450000.0,"Lordship Lane, East Dulwich, London, SE22",SE22,1.0
75,550000.0,"Dunstans Road, SE22",SE22,3.0
76,319950.0,"Croft Street, London, SE8",SE8,1.0
77,330000.0,Half Moon Lane Herne Hill SE24 9HS,SE24,1.0
79,550000.0,"Casino Avenue, Herne Hill, London, SE24",SE24,2.0
80,2000000.0,"Southbank, London, SE1",SE1,2.0
81,700000.0,"Keston Road, Peckham, SE15",SE15,2.0
82,1150000.0,"Plover Way, London, SE16",SE16,3.0
84,425000.0,"10 Odessa Street, Surrey Quays, SE16",SE16,2.0
85,385000.0,"Empire Square South, Empire Square, London, SE1",SE1,1.0
86,324950.0,"Melville Court, Croft Street, London, SE8",SE8,1.0
87,1000000.0,"Langford Green, London, SE5",SE5,5.0
88,580000.0,"Upland Road, London, SE22",SE22,2.0
89,625000.0,"Tamarind Court, 18 Gainsford Street, London, SE1",SE1,1.0
90,875000.0,"River View Heights, 27 Bermondsey Wall West, London, SE16",SE16,1.0
91,1245000.0,"Sawyer Street, Brigade Court, Southwark, SE1",SE1,3.0
92,400000.0,"Valmar Road, Camberwell, SE5",SE5,1.0
93,450000.0,"Candle Grove, Nunhead, London, SE15",SE15,2.0
94,389950.0,"Middleton House, Grenard Close, Peckham, London, SE15",SE15,2.0
100,300000.0,"Pearlec House, Walworth Place, London, SE17",SE17,1.0
102,375000.0,"2 Beckwith Road, West Dulwich, SE24",SE24,1.0
103,375000.0,Orb Street Kennington SE17,SE17,2.0
104,1300000.0,"The Circle, Queen Elizabeth Street, London, SE1",SE1,2.0
105,660000.0,Peckham Hill Street Peckham SE15,SE15,2.0
106,670000.0,"Manor Place, SE17",SE17,2.0
108,1450000.0,"55 Upper Ground, London, SE1",SE1,2.0
109,575000.0,Elsted Street London SE17,SE17,3.0
110,800000.0,Jennings Road East Dulwich SE22,SE22,2.0
