,price,address,postcode,number_bedrooms
0,550000.0,"Millharbour, London, E14",E14,2.0
1,730000.0,"Neroli House, Goodmans Fields, London, E1",E1,0.0
2,550000.0,"24 Nellie Cressall Way, London, E3",E3,2.0
4,495000.0,"Old Castle Street,London,E1",E1,2.0
5,725000.0,"The Wardian, Canary Wharf, E14",E14,1.0
7,650000.0,"Andersens Wharf, 20 Copenhagen Place, London, E14",E14,3.0
8,650000.0,"Courtyard Apartments, London, E1",E1,1.0
9,925000.0,"Avant Garde, London, E1",E1,2.0
10,540000.0,"Landmark Pinnacle, Canary Wharf, E14",E14,1.0
11,751000.0,"Marsh Wall, London, E14",E14,2.0
12,595000.0,"Brabazon Street, Poplar, E14",E14,3.0
13,925000.0,"Marsh Wall, London, E14",E14,2.0
14,400000.0,"Old School Square, Canary Wharf, London, E14",E14,1.0
15,635000.0,"Perilla House, Stable Walk, E1",E1,1.0
16,900000.0,"Rococco House, 65 Princelet Street, London, E1",E1,2.0
17,410000.0,"Chrisp Street, London, E14",E14,2.0
19,650000.0,"Andersens Wharf, Limehouse, E14",E14,3.0
20,620000.0,"49 Durant Street, London, E2",E2,2.0
21,510000.0,"Pegasus House, Beaumont Square, London, E1",E1,3.0
25,385000.0,"Mallard Point, Rainhill Way, London E3",E3,1.0
26,389995.0,"Solebay Street, E1",E1,2.0
27,750000.0,"Park Drive Develompent, 10 Upper Bank Street, E14",E14,1.0
28,500000.0,"Baltimore Wharf, Canary Wharf, London, E14",E14,1.0
29,975000.0,"Maine Tower, 9 Harbour Way, London, E14",E14,2.0
30,650000.0,"Alie Street, E1",E1,1.0
31,885000.0,"Alie Street, E1",E1,2.0
32,399999.0,"Katherine Bell Tower, 52 Pancras Way, London, E3",E3,1.0
33,430000.0,"Old Ford Road, Bethnal Green, London, E2",E2,2.0
34,1300000.0,"Riverview Court, Isle Of Dogs, London, E14",E14,3.0
35,275000.0,"Hayfield Passage, Stepney Green, E1",E1,0.0
36,869995.0,"The Highway, London, E1W",E1W,2.0
37,395000.0,"Portelet Road, E1 4EN",E1,2.0
38,825000.0,"Temple Yard, London, E2",E2,2.0
39,475000.0,"Charrington Tower, New Providence Wharf, London, E14",E14,1.0
43,500000.0,"Augusta Street, Poplar, London, E14 6DY",E14,4.0
45,1200000.0,"Landmark Pinnacle, Canary Wharf, E14",E14,2.0
46,400000.0,"Moore House Cassilis Road, London, E14",E14,1.0
48,108750.0,"Marsh Wall,
London,
E14 9SH",E14,0.0
49,350000.0,"Oxley Square, Bromley-By-Bow, London, E3",E3,1.0
50,600000.0,"Coopers Close, London, E1",E1,2.0
52,550000.0,"Treadway Street, Bethnal Green, London, E2",E2,2.0
53,650000.0,"New Road, London, E1",E1,2.0
