,price,address,postcode,number_bedrooms
0,290000.0,"St James Apartments, Pretoria Avenue, Walthamstow, London, E17",E17,1.0
1,650000.0,"Falmer Road, Walthamstow, London, E17",E17,3.0
2,875000.0,"Hillside Gardens, London, E17",E17,5.0
3,600000.0,"Burwell Road, Leyton, London, E10",E10,5.0
4,875000.0,"Castleton Road, Walthamstow, London, E17",E17,4.0
6,375000.0,"Leyton Green Road, Leyton, E10",E10,2.0
7,625000.0,"Abbotts Crescent, Highams Park, E4",E4,4.0
8,850000.0,"Forest Glade, Highams Park, London. E4 9RJ",E4,4.0
9,725000.0,"Frith Road, Leyton, E11",E11,3.0
11,435000.0,"Naseberry Court, Larkshall Road,
Highams Park, 
London, 
E4 9JQ",E4,2.0
13,290000.0,"St James Apartments, Pretoria Avenue, Walthamstow, London, E17",E17,1.0
14,577500.0,"Boundary Road, Walthamstow, London, E17",E17,3.0
15,500000.0,"Temple Close, Wadley Road, Leytonstone, E11",E11,2.0
17,595000.0,"Forest View Road, London, E17",E17,4.0
18,440000.0,"Withy Mead, Chingford, E4",E4,3.0
22,350000.0,"Mersey Road, Walthamstow, London, E17",E17,1.0
23,575000.0,"Gateway Apartments, Station Approach, Hoe Street, Walthamstow, London, E17",E17,2.0
24,850000.0,"Livingstone Road, Walthamstow, London, E17",E17,4.0
25,450000.0,"Hainault Road, Leyton, London, E11",E11,2.0
31,750000.0,"Tower Hamlets Road, Walthamstow, London, E17",E17,3.0
35,375000.0,"Shingly Place, Chingford, E4",E4,2.0
38,375000.0,"Fairlop Road, Leytonstone, E11",E11,2.0
39,475000.0,"Odessa Road, London, E7",E7,2.0
41,170000.0,"Kingswood Court, Chingford, E4 8LL",E4,1.0
42,470000.0,"Waltham Way, London, E4",E4,3.0
44,350000.0,"Stocksfield Road, London, E17",E17,3.0
48,330000.0,"Ringwood House, Ringwood Road, Walthamstow, E17",E17,2.0
49,575000.0,"Lancaster Road, Leytonstone, E11",E11,3.0
50,675000.0,"Downsfield Road, Walthamstow, London, E17",E17,3.0
51,300000.0,"Forest Drive West, Leytonstone, London, E11",E11,1.0
55,625000.0,"Chingford Road, Walthamstow, E17",E17,5.0
57,500000.0,"Selby Road,, London, E11",E11,3.0
58,270000.0,"26 Forest Road, Walthamstow, E17",E17,1.0
61,450000.0,"Scotts Road, Leyton, London, E10",E10,2.0
66,495000.0,"Carr Road, London, E17",E17,2.0
67,230000.0,"Beaufort Close, Chingford, E4",E4,1.0
