,price,address,postcode,number_bedrooms
0,1500000,"Fanthorpe Street, Putney, SW15 ",SW15,4
1,550000,"Coteford Street, Tooting, SW17",SW17,2
3,439999,"BALHAM HILL, SW12",SW12,1
4,795000,"Langridge House, Ram Quarter, SW18",SW18,2
5,750000,"Elsynge Road, Wandsworth, London, SW18",SW18,2
7,525000,"Lanson Building, Chelsea Bridge Wharf, London, SW11",SW11,1
8,129000,"Byron Court, Tooting, London, SW17",SW17,2
10,799950,"83-89 Upper Richmond Road, 
London, 
SW15 2FU",SW15,2
11,825000,"Burnelli Building, Chelsea Bridge Wharf, London, SW11",SW11,2
12,730000,"Rossiter Road, SW12",SW12,2
13,519000,"Lancaster Mews, Wandsworth, SW18",SW18,2
14,600000,"Vantage Apartments, Putney, SW15",SW15,2
15,765000,"Fernside Road, SW12",SW12,2
16,700000,"Denning Mews, London, SW12",SW12,2
17,435000,"Henry Doulton Drive, London, SW17",SW17,2
20,849950,"83-89 Upper Richmond Road, 
London, 
SW15 2FU",SW15,2
22,1100000,"Simpson Street, Battersea, London, SW11",SW11,4
23,450000,"Wandsworth High Street, Wandsworth, London, SW18",SW18,3
26,1625000,"Manchuria Road, London, SW11",SW11,4
27,800000,"Holdernesse Road, London, SW17",SW17,3
28,650000,"Stapleton Road, London, SW17",SW17,3
30,550000,"Byton Road, London, SW17",SW17,2
31,525000,"Ludo Building, 375 Earlsfield Road, London, SW18",SW18,2
32,850000,"Salvin Road, Putney, SW15 ",SW15,4
33,900000,"Mossbury Road, London, SW11",SW11,3
34,3250000,"Montevetro, Battersea Church Road, SW11 3YJ",SW11,2
35,315000,"Warwick Building, Chelsea Bridge Wharf, London, SW11",SW11,0
36,615000,"Lanson Building, Chelsea Bridge Wharf, London, SW11",SW11,1
37,800000,"Eustace Building, Chelsea Bridge Wharf, London., SW11",SW11,2
38,725000,"Stormont Road, London, SW11",SW11,2
39,650000,"Elsenham Street, SW18",SW18,2
40,600000,"Wimbledon Park Side, Wimbledon, SW19",SW19,2
42,675000,"West Hill, Putney, SW15",SW15,2
44,825000,"Burnelli Building, Chelsea Bridge Wharf, 352 Queenstown Road, London, SW11",SW11,2
45,539950,"Prince Albert Mews, London, SW11",SW11,1
46,570000,"Grant Road, London, SW11",SW11,1
47,580000,"Grant Road, London, SW11",SW11,1
48,699000,"98 York Road, 
Battersea, 
SW11",SW11,2
51,350000,"Kingham Close, London, SW18 ",SW18,1
52,790000,"Willow Lodge, Cedars Road, SW4",SW4,2
54,1300000,"Thorney Crescent, London, SW11",SW11,3
55,620000,"Bridges Court Road, Battersea, London, SW11",SW11,2
56,1000000,"Bramcote Road, Putney, London, SW15",SW15,2
57,725000,"Mallinson Road, London, SW11",SW11,2
58,315000,"ALFREDA STREET, SW11",SW11,1
59,425000,"HUGUENOT TERRACE, SW18",SW18,1
60,1050000,"Putney Bridge Road, SW15",SW15,3
61,950000,"Eversleigh Road, London, SW11",SW11,3
62,950000,"Lower Richmond Road, Putney, London, SW15",SW15,4
64,520000,"Rosenau Road, SW11",SW11,1
65,575000,"Lavender Hill, London, SW11",SW11,2
66,600000,"Westleigh Avenue, Putney, SW15",SW15,2
67,1295000,"Dungarvan Avenue, Putney, London, SW15",SW15,4
68,800000,"Lavender Sweep, Battersea, SW11",SW11,3
72,550000,"Massingberd Way, London, SW17",SW17,2
73,625000,"Harvard House, Putney, SW15 ",SW15,2
74,400000,"Caistor House, Caistor Road, SW12",SW12,1
75,455000,"Beaumont Road, London, SW19",SW19,1
77,700000,"Westwood House, Old Devonshire Road, Balham, London, SW12",SW12,2
79,1500000,"Battersea Park Road, London, SW11",SW11,6
81,750000,"Alston Road, London, SW17",SW17,3
82,1100000,"Dinsmore Road, London, SW12",SW12,5
84,350000,Fayland Avenue London SW16,SW16,2
85,350000,"Harwood Court, Upper Richmond Road, London, SW15",SW15,1
86,3425000,"Clapham Common North Side, London, SW4",SW4,6
87,325000,"Siward Road, Earlsfield, London, SW17",SW17,1
89,1425000,"Cicada Road, London SW18",SW18,5
91,800000,"Eustace Building, Chelsea Bridge Wharf, 372 Queenstown Road, London, SW11",SW11,2
92,525000,"Khartoum Road, London, SW17",SW17,2
94,1180000,"Mascotte Road, London, SW15",SW15,4
95,775000,"Fountain Road, London SW17",SW17,4
99,255000,"Medfield Street, Roehampton, SW15",SW15,1
103,875000,"Balham Park Road, London, SW12",SW12,2
106,900000,"Wildcroft Manor, Wildcroft Road, London, SW15",SW15,4
109,227500,"Whitman Court, Earlsfield, Wandsworth, SW17",SW17,1
113,160000,"Chadwick House, 1 Latchmere Street, London, SW11 5JR",SW11,2
114,500000,"Charles Court , Putney, SW15",SW15,2
115,425000,"Blackshaw Road, Tooting, Tooting, SW17",SW17,2
116,325000,"Gilbey Road, Tooting, Tooting, SW17",SW17,1
117,500000,"Trafalgar House, Battersea Reach, Juniper Drive, Wandsworth, SW18",SW18,1
118,1335000,"Beech Close, Putney, London, SW15",SW15,3
119,450000,"Queenstown Road, SW8",SW8,2
120,1550000,"Broomwood Road, London, SW11",SW11,5
121,360000,"Wayford Street, Battersea, London, SW11",SW11,1
122,1175000,"Bemish Road, SW15",SW15,3
124,700000,"Haldon Road, Putney, London, SW18",SW18,2
127,1200000,"Balham Grove, Nightingale Triangle, London, SW12",SW12,4
128,1960000,"Rodway Road, London, SW15",SW15,5
133,750000,"Kenlor Road, Tooting, SW17",SW17,3
138,560000,"Louisville Road, London SW17",SW17,2
141,650000,"Earlsfield House, Swaffield Road, SW18, ",SW18,2
143,560000,"Primrose Mansions, Prince Of Wales Drive, Battersea, London, SW11",SW11,1
144,1225000,"Brocklebank Road, Wandsworth, London, SW18",SW18,4
145,450000,"Battersea Park Road, Battersea, SW11",SW11,2
147,465000,"Marcus Street, Wandsworth, SW18",SW18,2
148,1525000,"Nottingham Road, London SW17",SW17,4
150,837000,Lexington Gardens London SW8,SW8,2
151,1075000,"Southfields Road, Wandsworth, London, SW18",SW18,2
152,450000,"Kingswater Place, London, SW11",SW11,1
155,500000,"Aldrington Road, London, SW16",SW16,3
156,500000,"Rowena Crescent, Battersea, London, SW11",SW11,1
157,1250000,"Whistlers Avenue, Battersea, London, SW11",SW11,3
158,530000,"Renmuir Street, London, SW17",SW17,2
159,717000,"The Skyline Collection, Osiers Square, SW18",SW18,2
160,445000,"Lisle Close, Tooting Bec, SW17",SW17,2
161,639950,"Osiers Point, Wandsworth, SW18",SW18,2
162,600000,"St. Benets Close, London, SW17",SW17,2
163,480000,"West Hill, SW15",SW15,1
164,799995,"The Tramyard, Balham, London, SW17",SW17,2
165,839995,"The Tramyard, Balham, London, SW17",SW17,2
166,849995,"The Tramyard, Balham, London, SW17",SW17,3
167,864995,"The Tramyard, Balham, London, SW17",SW17,3
168,625000,"Queenstown Road, Battersea, London, SW8",SW8,2
169,895000,"Falcon Wharf, 34 Lombard Road, London, SW11",SW11,2
170,460000,"Albert Drive, London, SW19",SW19,3
173,425000,"Cargill Road, Wandsworth, London, SW18",SW18,2
174,500000,"Hardwicks Square, Wandsworth, SW18",SW18,2
175,774995,"Balham High Road,
London,
SW17 7FD",SW17,2
176,485000,"Vanderbilt Road, London, SW18",SW18,1
177,825000,"Grandison Road, SW11",SW11,2
178,600000,"Spencer Walk, Putney, SW15",SW15,1
179,550000,"56 Thrale Road, Streatham, SW16",SW16,2
180,374950,"Binstead House, Vermont Road, London, SW18",SW18,2
181,325000,"Littlecombe Close, Kersfield Road, London, SW15",SW15,1
183,375000,"Hayward Gardens, Putney, SW15",SW15,2
184,965000,"Laitwood, Balham, SW12",SW12,2
185,300000,"Park South, Austin Road, London, SW11",SW11,1
186,450000,"Eardley Road, London, SW16",SW16,2
189,2250000,"Gorst Road, London, SW11",SW11,5
190,549950,"West Hill Road, London, SW18",SW18,2
191,800000,"Lavender Sweep, London, SW11",SW11,2
194,375000,"Bedford Hill, SW12",SW12,1
195,725000,"Ambassador Building, Embassy Gardens, Nine Elms Lane, SW11",SW11,1
196,475000,"Byrne Road, London, SW12",SW12,1
200,900000,"Winsham Grove, London, SW11",SW11,2
207,625000,"George View House, 36 Knaresborough Drive, London, SW18",SW18,2
209,450000,"Maysoule Road, Battersea, London, SW11",SW11,3
210,385000,"Claudia Place, LONDON, SW19",SW19,2
213,315000,"Shelburne Court, 3 Carlton Drive, Putney, SW15 ",SW15,0
215,545000,"Renmuir Street, London, SW17",SW17,3
219,485000,"Gwynne Road, Battersea, London, SW11 ",SW11,1
220,450000,"Trade Tower, Coral Row, London, SW11",SW11,1
222,700000,"Juniper Drive, Battersea, SW18",SW18,2
223,775000,"Glenalmond House, Manor Fields, London, SW15",SW15,2
224,385000,"Lambeth Court, Frogmore, London, SW18",SW18,1
231,775000,"Upper Richmond Road, London, SW15",SW15,2
233,375000,"15-21 East Hill, Battersea, SW18",SW18,1
234,1750000,"Crestway, London, SW15",SW15,5
235,675000,"Broomwood Road, London, SW11",SW11,2
240,500000,"Roebuck House, London, SW15",SW15,2
241,475000,"Vanderbilt Road, London, SW18",SW18,1
242,675000,"Elspeth Road, Battersea, London, SW11",SW11,2
243,700000,"Battersea Rise, Battersea, London, SW11",SW11,2
244,850000,"Ambassador Building, Embassy Gardens, London, SW11",SW11,2
245,830000,"Nimrod Road, London, SW16",SW16,3
249,650000,"Battersea Park Road, SW11",SW11,2
250,707000,"Osiers Road,
London,
SW18 1NR",SW18,3
252,635000,"Felsham Road, Putney, SW15",SW15,2
253,899950,"Cromford Road, Putney, London, SW18",SW18,2
254,435000,"Barmouth Court, Barmouth Road, SW18",SW18,1
255,1650000,"Brodrick Road, Wandsworth, London, SW17",SW17,3
256,599950,"Cambridge Road, London, SW11",SW11,2
257,1850000,"Bridge Lane, London, SW11",SW11,3
260,649950,"Primrose Mansions, Prince Of Wales Drive, Battersea, London, SW11",SW11,1
261,2150000,"Brodrick Road, Wandsworth Common, Wandsworth, London, SW17",SW17,5
262,1225000,"Embassy Gardens, Ponton Road, Nine Elms, Vauxhall, London, SW8",SW8,2
263,1635000,"Embassy Gardens, Ponton Road, Nine Elms, Vauxhall, London, SW8",SW8,2
264,500000,"Lavender Gardens, Battersea, SW11",SW11,1
