,price,address,postcode,number_bedrooms
0,675000.0,"Great Western Road, Notting Hill, London, W11",W11,2.0
2,599950.0,"Ashmore Road, London, W9",W9,2.0
3,3500000.0,"Devonshire Place, W1G 6JN",W1G,4.0
4,440000.0,"MARBLE ARCH APARTMENTS, HARROWBY STREET, London, W1H",W1H,0.0
5,2700000.0,"Marconi House, 335 Strand, London, WC2R",WC2R,3.0
6,575000.0,"Inverness Place, London, W2",W2,1.0
8,465000.0,"Westbourne Terrace,W2,W2",W2,1.0
10,925000.0,"Castellain Mansions, Castellain Road, London, W9",W9,3.0
11,1800000.0,"Abell House, John Islip Street, SW1P",SW1P,3.0
12,700000.0,"Cambridge Square, Hyde Park Estate, London, W2",W2,2.0
13,950000.0,"Castellain Mansions, Castellain Road, Maida Vale, London, W9",W9,3.0
14,495000.0,"Homer Street, London, W1H",W1H,1.0
15,3750000.0,"St John's Wood Terrace, St John's Wood, London, NW8 ",NW8,5.0
17,975000.0,"Regent House, Wellington Place, London, NW8",NW8,2.0
21,575000.0,"Shelley House, Churchill Gardens Estate, London, SW1V",SW1V,2.0
22,1250000.0,"THE QUADRANGLE TOWER, CAMBRIDGE SQUARE, London, W2",W2,3.0
23,1695000.0,"St Petersburgh Place, Bayswater, W2",W2,3.0
25,425000.0,"Frampton Street, London NW8",NW8,1.0
27,650000.0,"Abbey Road,St John's Wood,NW8",NW8,1.0
28,899000.0,"Balmoral Apartments, 2 Praed Street, London, W2",W2,2.0
29,835000.0,"11 Sheldon Square, Paddington, London, W2",W2,2.0
31,850000.0,"Whitcomb Street, Covent Garden, London, WC2H",WC2H,1.0
32,815000.0,"Westbourne Grove, London, W2",W2,2.0
33,1795000.0,"St Ann's Terrace, St John's Wood, London, NW8",NW8,3.0
34,899000.0,"Balmoral Apartments, London, W2",W2,2.0
35,625000.0,"Sheridan Buildings, Martlett Court, Covent Garden, London, WC2B",WC2B,1.0
36,3950000.0,"South Eaton Place, Belgravia, SW1W",SW1W,4.0
37,485000.0,"Prince Albert Road, St John's Wood, London, NW8",NW8,1.0
38,675000.0,"Great Western Road, Notting Hill, London, W11",W11,2.0
39,485000.0,"Edgware Road, Hyde Park Estate, London, W2",W2,1.0
40,1795000.0,"St. Ann's Terrace, St. John's Wood, London, NW8",NW8,2.0
41,850000.0,"Marlborough, Maida Vale, W9",W9,2.0
42,700000.0,"Great Titchfield Street, Fitzrovia, London W1",W1,3.0
43,1900000.0,"Bowland Yard, London, SW1X",SW1X,2.0
44,2950000.0,"Kendal Street, Hyde Park, W2",W2,5.0
45,1250000.0,"Marconi House, 335 Strand, London, WC2R",WC2R,2.0
46,950000.0,"Castellain Road, Maida Vale, London, W9",W9,3.0
47,850000.0,"Castellain Road, Maida Vale, London, W9",W9,2.0
48,1250000.0,"Quadrangle Tower, Cambridge Square, London, W2",W2,3.0
49,8995000.0,"Blandford Street, Marylebone, London, W1U",W1U,3.0
51,500000.0,"Portnall Road, London, W9 ",W9,2.0
